1589314389.856208454 1 sina.com.cn sina.com.cn 59
1589314390.854950388 1 www.sina.com.cn spool.grid.sinaedge.com 59
1589314390.854950388 2 spool.grid.sinaedge.com www.sina.com.cn 29
1589314392.664122418 1 d3.sina.com.cn adiwlbs.gslb.sinaedge.com 59
1589314392.664122418 2 adiwlbs.gslb.sinaedge.com kln.grid.sinaedge.com 29
1589314392.664122418 3 kln.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 11 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 12 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 13 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 14 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 15 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 16 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 17 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 29
1589314392.664122418 18 ww1.sinaimg.cn.w.alikunlun.com d3.sina.com.cn 29
1589314392.683278380 1 news.sina.com.cn spool.grid.sinaedge.com 59
1589314392.683278380 2 spool.grid.sinaedge.com news.sina.com.cn 27
1589314392.965900987 1 n3.sinaimg.cn nsinaimg.gslb.sinaedge.com 59
1589314392.965900987 2 nsinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589314392.965900987 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589314392.965900987 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 230
1589314392.965900987 5 e4141.dscb.akamaiedge.net n3.sinaimg.cn 19
1589314393.298076044 1 n.sinaimg.cn nsinaimg.gslb.sinaedge.com 59
1589314393.298076044 2 nsinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589314393.298076044 3 kln.grid.sinaedge.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 4 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 5 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 6 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 7 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 8 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 9 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 10 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 11 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 12 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 13 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 14 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 15 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
1589314393.298076044 16 ww1.sinaimg.cn.w.alikunlun.com ww1.sinaimg.cn.w.alikunlun.com 59
