1589393575.721509134 1 zhanqi.tv zhanqi.tv 599
1589393578.321598607 1 www.zhanqi.tv www.zhanqi.tv.fastcdn.com 9
1589393578.321598607 2 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 3 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 4 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 5 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 6 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 7 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 8 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 9 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 10 www.zhanqi.tv.fastcdn.com www.zhanqi.tv.fastcdn.com 119
1589393578.321598607 11 www.zhanqi.tv.fastcdn.com www.zhanqi.tv 119
1589393587.021657520 1 static.zhanqi.tv static.zhanqi.tv.fastcdn.com 599
1589393587.021657520 2 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 3 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 4 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 5 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 6 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 7 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 8 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 9 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 10 static.zhanqi.tv.fastcdn.com static.zhanqi.tv.fastcdn.com 119
1589393587.021657520 11 static.zhanqi.tv.fastcdn.com static.zhanqi.tv 119
1589393589.268244245 1 img2.zhanqi.tv img2.zhanqi.tv.fastcdn.com 557
1589393589.268244245 2 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 3 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 4 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 5 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 6 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 7 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 8 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 9 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 10 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv.fastcdn.com 77
1589393589.268244245 11 img2.zhanqi.tv.fastcdn.com img2.zhanqi.tv 77
1589393589.661250673 1 h5player.zhanqi.tv h5player.zhanqi.tv.fastcdn.com 599
1589393589.661250673 2 h5player.zhanqi.tv.fastcdn.com h5player.zhanqi.tv.fastcdn.com 119
1589393589.661250673 3 h5player.zhanqi.tv.fastcdn.com h5player.zhanqi.tv 119
1589393591.173320261 1 img3.zhanqi.tv iduzhok.qiniudns.com 599
1589393591.173320261 2 iduzhok.qiniudns.com tiny009.china.line.qiniudns.com 299
1589393591.173320261 3 tiny009.china.line.qiniudns.com tiny.china.qiniu.com.trpcdn.net 299
1589393591.173320261 4 tiny.china.qiniu.com.trpcdn.net zqnweb.v.trpcdn.net 599
1589393591.173320261 5 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 6 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 7 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 8 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 9 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 10 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 11 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 12 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 13 zqnweb.v.trpcdn.net zqnweb.v.trpcdn.net 117
1589393591.173320261 14 zqnweb.v.trpcdn.net img3.zhanqi.tv 117
1589393591.404720934 1 log.reyun.com log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 599
1589393591.404720934 2 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 49
1589393591.404720934 3 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 49
1589393591.404720934 4 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn 49
1589393591.404720934 5 log-reyun-com-606039304.cn-north-1.elb.amazonaws.com.cn log.reyun.com 49
1589393591.435922969 1 img4.zhanqi.tv img4.zhanqi.tv.qiniudns.com 599
1589393591.435922969 2 img4.zhanqi.tv.qiniudns.com tiny32.china.line.qiniudns.com 599
1589393591.435922969 3 tiny32.china.line.qiniudns.com chinacdnweb.qiniu.com.w.kunlunno.com 299
1589393591.435922969 4 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 5 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 6 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 7 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 8 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 9 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 10 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393591.435922969 11 chinacdnweb.qiniu.com.w.kunlunno.com img4.zhanqi.tv 59
1589393592.365317873 1 img5.zhanqi.tv img5.zhanqi.tv.qiniudns.com 599
1589393592.365317873 2 img5.zhanqi.tv.qiniudns.com tiny32.china.line.qiniudns.com 599
1589393592.365317873 3 tiny32.china.line.qiniudns.com chinacdnweb.qiniu.com.w.kunlunno.com 299
1589393592.365317873 4 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 5 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 6 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 7 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 8 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 9 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 10 chinacdnweb.qiniu.com.w.kunlunno.com chinacdnweb.qiniu.com.w.kunlunno.com 59
1589393592.365317873 11 chinacdnweb.qiniu.com.w.kunlunno.com img5.zhanqi.tv 59
