1589344373.028254808 1 imgur.com imgur.com 21599
1589344373.150984448 1 accounts.google.com accounts.google.com 299
1589344373.665050182 1 s.imgur.com ipv4.imgur.map.fastly.net 20050
1589344373.665050182 2 ipv4.imgur.map.fastly.net s.imgur.com 29
1589344373.668975271 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1589344373.668975271 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1589344373.939595446 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1589344373.939595446 2 www-google-analytics.l.google.com www.google-analytics.com 299
1589344373.979625405 1 connect.facebook.net scontent.xx.fbcdn.net 3558
1589344373.979625405 2 scontent.xx.fbcdn.net connect.facebook.net 19
1589344373.999524610 1 secure.quantserve.com 2kpixel.quantserve.com 299
1589344373.999524610 2 2kpixel.quantserve.com global.px.quantserve.com 21599
1589344373.999524610 3 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 4 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 5 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 6 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 7 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 8 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 9 global.px.quantserve.com global.px.quantserve.com 59
1589344373.999524610 10 global.px.quantserve.com secure.quantserve.com 59
1589344374.017504464 1 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589344374.017504464 2 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589344374.017504464 3 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589344374.017504464 4 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589344374.032882914 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 21240
1589344374.032882914 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 21543
1589344374.032882914 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1589344374.566354291 1 api.amplitude.com api.amplitude.com 47
1589344374.566354291 2 api.amplitude.com api.amplitude.com 47
1589344374.566354291 3 api.amplitude.com api.amplitude.com 47
1589344374.566354291 4 api.amplitude.com api.amplitude.com 47
1589344374.566354291 5 api.amplitude.com api.amplitude.com 47
1589344374.566354291 6 api.amplitude.com api.amplitude.com 47
1589344374.566354291 7 api.amplitude.com api.amplitude.com 47
1589344374.566354291 8 api.amplitude.com api.amplitude.com 47
1589344374.849364979 1 api.imgur.com ipv4.imgur.map.fastly.net 21287
1589344374.849364979 2 ipv4.imgur.map.fastly.net api.imgur.com 29
1589344374.854243797 1 translate.googleapis.com translate.googleapis.com 299
1589344374.897960578 1 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589344374.897960578 2 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589344374.897960578 3 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589344374.897960578 4 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589344375.008848779 1 certify.alexametrics.com certify.alexametrics.com 59
1589344375.008848779 2 certify.alexametrics.com certify.alexametrics.com 59
1589344375.008848779 3 certify.alexametrics.com certify.alexametrics.com 59
1589344375.008848779 4 certify.alexametrics.com certify.alexametrics.com 59
1589344375.028058841 1 rules.quantcount.com d2fashanjl7d9f.cloudfront.net 18476
1589344375.028058841 2 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589344375.028058841 3 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589344375.028058841 4 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589344375.028058841 5 d2fashanjl7d9f.cloudfront.net rules.quantcount.com 59
1589344377.836263756 1 clients1.google.com clients.l.google.com 299
1589344377.836263756 2 clients.l.google.com clients1.google.com 299
1589344377.848318448 1 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589344377.848318448 2 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589344377.848318448 3 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589344377.848318448 4 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589344377.855004107 1 www.facebook.com star-mini.c10r.facebook.com 3019
1589344377.855004107 2 star-mini.c10r.facebook.com www.facebook.com 50
1589344377.881945451 1 i.imgur.com ipv4.imgur.map.fastly.net 16218
1589344377.881945451 2 ipv4.imgur.map.fastly.net i.imgur.com 29
1589344378.369010574 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 3336
1589344378.369010574 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589344378.369010574 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589344378.369010574 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589344378.369010574 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1589344378.544642048 1 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589344378.544642048 2 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589344378.544642048 3 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589344378.544642048 4 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589344379.036540192 1 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589344379.036540192 2 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589344379.036540192 3 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589344379.036540192 4 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589344379.701335307 1 <Root> yrmmcpjfxf 86397
1589344379.702070726 1 <Root> jdvefmscmopsec 86396
1589344379.703055026 1 <Root> axnjatsjjol 86398
1589344387.604509314 1 ssl.gstatic.com ssl.gstatic.com 75
1589344387.611574104 1 update.googleapis.com update.googleapis.com 299
