1589290216.125036039 1 mama.cn mama.cn 599
1589290216.654965131 1 www.mama.cn cname.mama.cn 599
1589290216.654965131 2 cname.mama.cn www.mama.cn 0
1589290217.325074864 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 568
1589290217.325074864 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 568
1589290217.325074864 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 9 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 10 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 11 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 148
1589290217.325074864 12 1922114.p23.tc.cdntip.com static1.cdnmama.com 148
1589290219.612565072 1 pics.cdnmama.com pics.cdnmama.com.cdn.dnsv1.com 570
1589290219.612565072 2 pics.cdnmama.com.cdn.dnsv1.com 1920363.p23.tc.cdntip.com 570
1589290219.612565072 3 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 4 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 5 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 6 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 7 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 8 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 9 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 10 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 11 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 150
1589290219.612565072 12 1920363.p23.tc.cdntip.com pics.cdnmama.com 150
1589290219.621961442 1 m.mama.cn cname.mama.cn 599
1589290219.621961442 2 cname.mama.cn m.mama.cn 0
1589290220.600697645 1 avatar.mama.cn avatar-mama-cn-idv9gs0.qiniudns.com 0
1589290220.600697645 2 avatar-mama-cn-idv9gs0.qiniudns.com tiny45.china.line.qiniudns.com 599
1589290220.600697645 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589290220.600697645 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589290220.600697645 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com avatar.mama.cn 59
1589290220.956909891 1 imagesyuansu.bjmama.net imagesyuansu.bjmama.net.cdn.dnsv1.com 569
1589290220.956909891 2 imagesyuansu.bjmama.net.cdn.dnsv1.com 287123.p23.tc.cdntip.com 569
1589290220.956909891 3 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 4 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 5 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 6 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 7 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 8 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 9 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 10 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 11 287123.p23.tc.cdntip.com 287123.p23.tc.cdntip.com 149
1589290220.956909891 12 287123.p23.tc.cdntip.com imagesyuansu.bjmama.net 149
1589290221.198070530 1 pt-images1.cdnmama.com pt-images1.cdnmama.com.qiniudns.com 484
1589290221.198070530 2 pt-images1.cdnmama.com.qiniudns.com tiny45.china.line.qiniudns.com 570
1589290221.198070530 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 270
1589290221.198070530 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 30
1589290221.198070530 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com pt-images1.cdnmama.com 30
1589290222.841398731 1 statis1.mama.cn gzcname.gzmama.com 0
1589290222.841398731 2 gzcname.gzmama.com statis1.mama.cn 299
