1589396656.199957484 1 mama.cn mama.cn 599
1589396656.568147099 1 accounts.google.com accounts.google.com 90
1589396660.159366338 1 www.mama.cn cname.mama.cn 599
1589396660.159366338 2 cname.mama.cn www.mama.cn 0
1589396661.513748574 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589396661.513748574 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589396661.513748574 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 9 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 10 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 11 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 12 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 13 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 14 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 15 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 16 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589396661.513748574 17 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589396662.972155689 1 <Root> kypgsdlrqht 86397
1589396662.972312385 1 <Root> gmogaqxafglzuqb 86390
1589396663.015274721 1 <Root> fuagprxnsduhtto 86399
1589396663.207637008 1 api-luke.mama.cn api-luke.mama.cn.cdn.dnsv1.com 599
1589396663.207637008 2 api-luke.mama.cn.cdn.dnsv1.com 395745.p23.tc.cdntip.com 599
1589396663.207637008 3 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 4 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 5 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 6 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 7 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 8 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 9 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 10 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 11 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 12 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 13 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 14 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 15 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 16 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589396663.207637008 17 395745.p23.tc.cdntip.com api-luke.mama.cn 179
1589396663.217100395 1 m.mama.cn cname.mama.cn 599
1589396663.217100395 2 cname.mama.cn m.mama.cn 0
1589396663.531787803 1 avatar.mama.cn avatar-mama-cn-idv9gs0.qiniudns.com 0
1589396663.531787803 2 avatar-mama-cn-idv9gs0.qiniudns.com tiny45.china.line.qiniudns.com 599
1589396663.531787803 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589396663.531787803 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589396663.531787803 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
