1589343382.046335271 1 accounts.google.com accounts.google.com 236
1589343382.231465506 1 sina.com.cn sina.com.cn 59
1589343385.455711832 1 www.sina.com.cn spool.grid.sinaedge.com 59
1589343385.455711832 2 spool.grid.sinaedge.com www.sina.com.cn 59
1589343387.697378104 1 n.sinaimg.cn nsinaimg.gslb.sinaedge.com 59
1589343387.697378104 2 nsinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589343387.697378104 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589343387.697378104 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 218
1589343387.697378104 5 e4141.dscb.akamaiedge.net n.sinaimg.cn 19
1589343387.698481351 1 news.sina.com.cn spool.grid.sinaedge.com 59
1589343387.698481351 2 spool.grid.sinaedge.com news.sina.com.cn 59
1589343387.714903657 1 d3.sina.com.cn adiwlbs.gslb.sinaedge.com 59
1589343387.714903657 2 adiwlbs.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589343387.714903657 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589343387.714903657 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 225
1589343387.714903657 5 e4141.dscb.akamaiedge.net d3.sina.com.cn 19
1589343387.719441038 1 n3.sinaimg.cn nsinaimg.gslb.sinaedge.com 59
1589343387.719441038 2 nsinaimg.gslb.sinaedge.com kln.grid.sinaedge.com 59
1589343387.719441038 3 kln.grid.sinaedge.com d.sinaimg.cn.edgekey.net 59
1589343387.719441038 4 d.sinaimg.cn.edgekey.net e4141.dscb.akamaiedge.net 299
1589343387.719441038 5 e4141.dscb.akamaiedge.net n3.sinaimg.cn 19
1589343390.132756560 1 <Root> lvrvnnyps 86397
1589343390.133342718 1 <Root> kqrtvaixgyy 86395
1589343390.133967564 1 <Root> eiktlezp 86398
1589343390.628203460 1 sbeacon.sina.com.cn sbeacon.sina.com.cn 59
1589343390.628203460 2 sbeacon.sina.com.cn sbeacon.sina.com.cn 59
