1589439729.914143060 1 imgur.com imgur.com 21599
1589439730.066824753 1 accounts.google.com accounts.google.com 299
1589439730.730392770 1 s.imgur.com ipv4.imgur.map.fastly.net 21031
1589439730.730392770 2 ipv4.imgur.map.fastly.net s.imgur.com 29
1589439730.735695133 1 d1fh3f0kkan5vq.cloudfront.net d1fh3f0kkan5vq.cloudfront.net 59
1589439730.735695133 2 d1fh3f0kkan5vq.cloudfront.net d1fh3f0kkan5vq.cloudfront.net 59
1589439730.735695133 3 d1fh3f0kkan5vq.cloudfront.net d1fh3f0kkan5vq.cloudfront.net 59
1589439730.735695133 4 d1fh3f0kkan5vq.cloudfront.net d1fh3f0kkan5vq.cloudfront.net 59
1589439730.741415933 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1589439730.741415933 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1589439731.082931399 1 i.clean.gg i.clean.gg 24
1589439731.092835185 1 dw7nrwnn2bkh1.cloudfront.net dw7nrwnn2bkh1.cloudfront.net 0
1589439731.092835185 2 dw7nrwnn2bkh1.cloudfront.net dw7nrwnn2bkh1.cloudfront.net 0
1589439731.092835185 3 dw7nrwnn2bkh1.cloudfront.net dw7nrwnn2bkh1.cloudfront.net 0
1589439731.092835185 4 dw7nrwnn2bkh1.cloudfront.net dw7nrwnn2bkh1.cloudfront.net 0
1589439731.432841682 1 api.amplitude.com api.amplitude.com 49
1589439731.432841682 2 api.amplitude.com api.amplitude.com 49
1589439731.432841682 3 api.amplitude.com api.amplitude.com 49
1589439731.432841682 4 api.amplitude.com api.amplitude.com 49
1589439731.432841682 5 api.amplitude.com api.amplitude.com 49
1589439731.432841682 6 api.amplitude.com api.amplitude.com 49
1589439731.432841682 7 api.amplitude.com api.amplitude.com 49
1589439731.432841682 8 api.amplitude.com api.amplitude.com 49
1589439731.547683359 1 api.imgur.com ipv4.imgur.map.fastly.net 21362
1589439731.547683359 2 ipv4.imgur.map.fastly.net api.imgur.com 29
1589439731.623660339 1 translate.googleapis.com translate.googleapis.com 200
1589439731.716778517 1 www.google-analytics.com www-google-analytics.l.google.com 17702
1589439731.716778517 2 www-google-analytics.l.google.com www.google-analytics.com 299
1589439731.746083864 1 secure.quantserve.com 2kpixel.quantserve.com 178
1589439731.746083864 2 2kpixel.quantserve.com global.px.quantserve.com 21478
1589439731.746083864 3 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 4 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 5 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 6 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 7 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 8 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 9 global.px.quantserve.com global.px.quantserve.com 59
1589439731.746083864 10 global.px.quantserve.com secure.quantserve.com 59
1589439731.758158806 1 connect.facebook.net scontent.xx.fbcdn.net 1333
1589439731.758158806 2 scontent.xx.fbcdn.net connect.facebook.net 59
1589439731.770644627 1 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589439731.770644627 2 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589439731.770644627 3 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589439731.770644627 4 certify-js.alexametrics.com certify-js.alexametrics.com 59
1589439731.781851211 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 8966
1589439731.781851211 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 8979
1589439731.781851211 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1589439731.794786057 1 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589439731.794786057 2 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589439731.794786057 3 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589439731.794786057 4 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1589439732.353187987 1 i.imgur.com ipv4.imgur.map.fastly.net 2128
1589439732.353187987 2 ipv4.imgur.map.fastly.net i.imgur.com 29
1589439732.655657287 1 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589439732.655657287 2 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589439732.655657287 3 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589439732.655657287 4 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1589439732.703028673 1 certify.alexametrics.com certify.alexametrics.com 59
1589439732.703028673 2 certify.alexametrics.com certify.alexametrics.com 59
1589439732.703028673 3 certify.alexametrics.com certify.alexametrics.com 59
1589439732.703028673 4 certify.alexametrics.com certify.alexametrics.com 59
1589439732.717746983 1 rules.quantcount.com d2fashanjl7d9f.cloudfront.net 16435
1589439732.717746983 2 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589439732.717746983 3 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589439732.717746983 4 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1589439732.717746983 5 d2fashanjl7d9f.cloudfront.net rules.quantcount.com 59
1589439733.167992052 1 ced.sascdn.com akamai.smartadserver.com.edgesuite.net 115
1589439733.167992052 2 akamai.smartadserver.com.edgesuite.net a1184.g.akamai.net 21429
1589439733.167992052 3 a1184.g.akamai.net a1184.g.akamai.net 19
1589439733.167992052 4 a1184.g.akamai.net ced.sascdn.com 19
1589439733.178366149 1 c.amazon-adsystem.com d1ykf07e75w7ss.cloudfront.net 131
1589439733.178366149 2 d1ykf07e75w7ss.cloudfront.net c.amazon-adsystem.com 59
1589439733.181339991 1 ced-ns.sascdn.com 2-01-275d-001e.cdx.cedexis.net 507
1589439733.181339991 2 2-01-275d-001e.cdx.cedexis.net akns.sascdn.com.edgesuite.net 1199
1589439733.181339991 3 akns.sascdn.com.edgesuite.net a1845.dscg1.akamai.net 20934
1589439733.181339991 4 a1845.dscg1.akamai.net a1845.dscg1.akamai.net 19
1589439733.181339991 5 a1845.dscg1.akamai.net ced-ns.sascdn.com 19
1589439733.467400392 1 www.facebook.com star-mini.c10r.facebook.com 2588
1589439733.467400392 2 star-mini.c10r.facebook.com www.facebook.com 47
1589439733.697343724 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 791
1589439733.697343724 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589439733.697343724 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589439733.697343724 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1589439733.697343724 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1589439733.916656071 1 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589439733.916656071 2 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589439733.916656071 3 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589439733.916656071 4 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 59
1589439735.689357713 1 p.imgur.com ipv4.imgur.map.fastly.net 21489
1589439735.689357713 2 ipv4.imgur.map.fastly.net p.imgur.com 29
1589439735.969645240 1 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589439735.969645240 2 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589439735.969645240 3 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589439735.969645240 4 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 59
1589439736.719764274 1 <Root> jpzfkch 86394
1589439736.720885072 1 <Root> rsqaehczfjgzid 86390
1589439736.722482467 1 <Root> ibmnocbkfphyg 86391
1589439739.724868818 1 ssl.gstatic.com ssl.gstatic.com 100
1589439744.578632541 1 m.imgur.com ipv4.imgur.map.fastly.net 21565
1589439744.578632541 2 ipv4.imgur.map.fastly.net m.imgur.com 29
1589439744.579507390 1 update.googleapis.com update.googleapis.com 123
