1589386076.657419749 1 mama.cn mama.cn 599
1589386076.867565846 1 accounts.google.com accounts.google.com 87
1589386081.406088090 1 www.mama.cn cname.mama.cn 599
1589386081.406088090 2 cname.mama.cn www.mama.cn 0
1589386083.269149159 1 <Root> bgshioz 86396
1589386083.269838834 1 <Root> kpjblnckraeu 86389
1589386083.271337200 1 <Root> upxuwei 86390
1589386084.111981198 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589386084.111981198 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589386084.111981198 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589386084.111981198 9 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589386086.272362935 1 ssl.gstatic.com ssl.gstatic.com 299
1589386086.853766393 1 m.mama.cn cname.mama.cn 599
1589386086.853766393 2 cname.mama.cn m.mama.cn 0
1589386089.415986099 1 pics.cdnmama.com pics.cdnmama.com.cdn.dnsv1.com 599
1589386089.415986099 2 pics.cdnmama.com.cdn.dnsv1.com 1920363.p23.tc.cdntip.com 599
1589386089.415986099 3 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 4 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 5 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 6 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 7 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 8 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589386089.415986099 9 1920363.p23.tc.cdntip.com pics.cdnmama.com 179
1589386089.987508921 1 statis1.mama.cn gzcname.gzmama.com 0
1589386089.987508921 2 gzcname.gzmama.com statis1.mama.cn 299
1589386090.845943200 1 pt-images5.cdnmama.com pt-images5.cdnmama.com.qiniudns.com 599
1589386090.845943200 2 pt-images5.cdnmama.com.qiniudns.com tiny45.china.line.qiniudns.com 599
1589386090.845943200 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589386090.845943200 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 13 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386090.845943200 14 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com pt-images5.cdnmama.com 59
1589386091.905272840 1 pt-images5.cdnmama.com pt-images5.cdnmama.com.qiniudns.com 599
1589386091.905272840 2 pt-images5.cdnmama.com.qiniudns.com tiny45.china.line.qiniudns.com 599
1589386091.905272840 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589386091.905272840 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386091.905272840 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589386091.905272840 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
