1589425243.082465111 1 accounts.google.com accounts.google.com 193
1589425243.143154176 1 mama.cn mama.cn 599
1589425247.251852431 1 www.mama.cn cname.mama.cn 599
1589425247.251852431 2 cname.mama.cn www.mama.cn 0
1589425249.524507536 1 <Root> nzauosssspkf 86397
1589425249.524959220 1 <Root> rqjpanyqcezqdxs 86396
1589425249.525820581 1 <Root> sqvopgyhxtci 86390
1589425249.562818751 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589425249.562818751 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589425249.562818751 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 9 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 10 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 11 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 12 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 13 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 14 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 15 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 16 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589425249.562818751 17 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589425251.316641800 1 m.mama.cn cname.mama.cn 599
1589425251.316641800 2 cname.mama.cn m.mama.cn 0
1589425251.347976208 1 api-luke.mama.cn api-luke.mama.cn.cdn.dnsv1.com 599
1589425251.347976208 2 api-luke.mama.cn.cdn.dnsv1.com 395745.p23.tc.cdntip.com 599
1589425251.347976208 3 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 4 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 5 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 6 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 7 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 8 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 9 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 10 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 11 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 12 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 13 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 14 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 15 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 16 395745.p23.tc.cdntip.com 395745.p23.tc.cdntip.com 179
1589425251.347976208 17 395745.p23.tc.cdntip.com api-luke.mama.cn 179
1589425251.600903964 1 pics.cdnmama.com pics.cdnmama.com.cdn.dnsv1.com 599
1589425251.600903964 2 pics.cdnmama.com.cdn.dnsv1.com 1920363.p23.tc.cdntip.com 599
1589425251.600903964 3 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 4 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 5 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 6 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 7 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 8 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 9 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 10 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 11 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 12 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 13 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 14 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 15 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 16 1920363.p23.tc.cdntip.com 1920363.p23.tc.cdntip.com 179
1589425251.600903964 17 1920363.p23.tc.cdntip.com pics.cdnmama.com 179
1589425251.639688202 1 qimg.cdnmama.com qimg.cdnmama.com.cdn.dnsv1.com 599
1589425251.639688202 2 qimg.cdnmama.com.cdn.dnsv1.com 1920388.p23.tc.cdntip.com 599
1589425251.639688202 3 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 4 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 5 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 6 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 7 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 8 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 9 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 10 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 11 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 12 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 13 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 14 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 15 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 16 1920388.p23.tc.cdntip.com 1920388.p23.tc.cdntip.com 179
1589425251.639688202 17 1920388.p23.tc.cdntip.com qimg.cdnmama.com 179
1589425251.709421476 1 avatar.mama.cn avatar-mama-cn-idv9gs0.qiniudns.com 0
1589425251.709421476 2 avatar-mama-cn-idv9gs0.qiniudns.com tiny45.china.line.qiniudns.com 599
1589425251.709421476 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589425251.709421476 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 7 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 8 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 9 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 10 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 11 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 12 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 13 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 14 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 15 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 16 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 17 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 18 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 19 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425251.709421476 20 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com avatar.mama.cn 59
1589425252.406802485 1 avatar.mama.cn avatar-mama-cn-idv9gs0.qiniudns.com 0
1589425252.406802485 2 avatar-mama-cn-idv9gs0.qiniudns.com tiny45.china.line.qiniudns.com 599
1589425252.406802485 3 tiny45.china.line.qiniudns.com tinychinacdnweb.qiniu.com.w.kunlunno.com 299
1589425252.406802485 4 tinychinacdnweb.qiniu.com.w.kunlunno.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425252.406802485 5 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
1589425252.406802485 6 tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com tinychinacdnweb.qiniu.com.w.kunlunno.com.qr.uuhimalayanqm.com 59
