1589309019.878736502 1 accounts.google.com accounts.google.com 299
1589309019.893079360 1 mama.cn mama.cn 599
1589309023.867891285 1 www.mama.cn cname.mama.cn 599
1589309023.867891285 2 cname.mama.cn www.mama.cn 0
1589309025.179041861 1 static1.cdnmama.com static1.cdnmama.com.cdn.dnsv1.com 599
1589309025.179041861 2 static1.cdnmama.com.cdn.dnsv1.com 1922114.p23.tc.cdntip.com 599
1589309025.179041861 3 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 4 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 5 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 6 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 7 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 8 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 9 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 10 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 11 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 12 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 13 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 14 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 15 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 16 1922114.p23.tc.cdntip.com 1922114.p23.tc.cdntip.com 179
1589309025.179041861 17 1922114.p23.tc.cdntip.com static1.cdnmama.com 179
1589309026.217245636 1 <Root> esylkotwkxg 86392
1589309026.219251802 1 <Root> eiqcuwycenhrx 86368
1589309026.221676179 1 <Root> jeksugmazxfn 86390
1589309027.082736659 1 m.mama.cn cname.mama.cn 599
