1589349996.245284647 1 accounts.google.com accounts.google.com 225
1589349996.358269403 1 yy.com yy.com 119
1589349996.358269403 2 yy.com yy.com 119
1589349997.342092250 1 www.yy.com www.yy.com 59
1589349997.342092250 2 www.yy.com www.yy.com 59
1589349997.342092250 3 www.yy.com www.yy.com 59
1589349997.342092250 4 www.yy.com www.yy.com 59
1589350002.808046834 1 <Root> yenbforx 86398
1589350002.808982405 1 <Root> lboqekwhkspdicl 86389
1589350002.810201024 1 <Root> fydnlsripwnut 86394
1589350003.625358043 1 zonemin.bs2.yy.com zonemin.bs2.yy.com 119
1589350003.771259348 1 image.yy.com hd-72487473530344212.b0.aicdn.com 59
1589350003.771259348 2 hd-72487473530344212.b0.aicdn.com web-sched.hd.aicdn2.com 1799
1589350003.771259348 3 web-sched.hd.aicdn2.com image.yy.com 299
1589350003.963875024 1 web.yystatic.com web.yystatic.com.w.kunlunpi.com 119
1589350003.963875024 2 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 3 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 4 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 5 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 6 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 7 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 8 web.yystatic.com.w.kunlunpi.com web.yystatic.com.w.kunlunpi.com 59
1589350003.963875024 9 web.yystatic.com.w.kunlunpi.com web.yystatic.com 59
1589350003.973909238 1 web2.yystatic.com web2.yystatic.com.w.kunlungr.com 119
1589350003.973909238 2 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 3 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 4 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 5 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 6 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 7 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 8 web2.yystatic.com.w.kunlungr.com web2.yystatic.com.w.kunlungr.com 59
1589350003.973909238 9 web2.yystatic.com.w.kunlungr.com web2.yystatic.com 59
1589350004.020209654 1 emyfs.bs2cdn.yy.com emyfs.bs2cdn.yy.com.w.alikunlun.com 119
1589350004.020209654 2 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 3 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 4 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 5 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 6 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 7 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 8 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com.w.alikunlun.com 59
1589350004.020209654 9 emyfs.bs2cdn.yy.com.w.alikunlun.com emyfs.bs2cdn.yy.com 59
1589350004.291505202 1 res.udb.duowan.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 2 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 3 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 4 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 5 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 6 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 7 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 8 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
1589350004.291505202 9 res.udb.duowan.com.w.kunlunhuf.com res.udb.duowan.com.w.kunlunhuf.com 59
