1579671798.218580524 1 www.gstatic.com www.gstatic.com 191
1579671798.411149406 1 accounts.google.com accounts.google.com 285
1579671798.619405359 1 104.com.tw 104.com.tw 9
1579671799.597624666 1 www.104.com.tw www.104.com.tw 9
1579671801.627884827 1 static.104.com.tw static.104.com.tw 9
1579671801.639083350 1 cdn.104.com.tw cdn.104.com.tw 59
1579671801.639083350 2 cdn.104.com.tw cdn.104.com.tw 59
1579671801.639083350 3 cdn.104.com.tw cdn.104.com.tw 59
1579671801.639083350 4 cdn.104.com.tw cdn.104.com.tw 59
1579671805.040832682 1 www.googletagmanager.com www-googletagmanager.l.google.com 21454
1579671805.040832682 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579671805.144583585 1 <Root> moilpcqn 86380
1579671805.144821441 1 <Root> sjwvtrc 86396
1579671805.145319565 1 <Root> pfdfbsaqj 86368
1579671805.403613444 1 clients1.google.com clients.l.google.com 299
1579671805.403613444 2 clients.l.google.com clients1.google.com 299
1579671805.419136911 1 bubble.104.com.tw bubble.104.com.tw 9
1579671805.436882505 1 translate.googleapis.com translate.googleapis.com 299
1579671805.691840219 1 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579671805.691840219 2 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579671805.691840219 3 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579671805.691840219 4 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579671805.937341823 1 aidma.104.com.tw aidma.104.com.tw 9
1579671805.979761191 1 d31qbv1cthcecs.cloudfront.net d31qbv1cthcecs.cloudfront.net 59
1579671805.979761191 2 d31qbv1cthcecs.cloudfront.net d31qbv1cthcecs.cloudfront.net 59
1579671805.979761191 3 d31qbv1cthcecs.cloudfront.net d31qbv1cthcecs.cloudfront.net 59
1579671805.979761191 4 d31qbv1cthcecs.cloudfront.net d31qbv1cthcecs.cloudfront.net 59
1579671806.028786701 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579671806.028786701 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579671806.056866221 1 static.hotjar.com static.hotjar.com.c.section.io 479
1579671806.056866221 2 static.hotjar.com.c.section.io map16-100.s.section.io 187
1579671806.056866221 3 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 4 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 5 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 6 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 7 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 8 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 9 map16-100.s.section.io map16-100.s.section.io 54
1579671806.056866221 10 map16-100.s.section.io static.hotjar.com 54
1579671806.111275978 1 certify.alexametrics.com certify.alexametrics.com 59
1579671806.111275978 2 certify.alexametrics.com certify.alexametrics.com 59
1579671806.111275978 3 certify.alexametrics.com certify.alexametrics.com 59
1579671806.111275978 4 certify.alexametrics.com certify.alexametrics.com 59
1579671806.170570443 1 stats.g.doubleclick.net stats.l.doubleclick.net 21495
1579671806.170570443 2 stats.l.doubleclick.net stats.l.doubleclick.net 195
1579671806.170570443 3 stats.l.doubleclick.net stats.l.doubleclick.net 195
1579671806.170570443 4 stats.l.doubleclick.net stats.l.doubleclick.net 195
1579671806.170570443 5 stats.l.doubleclick.net stats.g.doubleclick.net 195
1579671806.284951468 1 script.hotjar.com script.hotjar.com.c.section.io 1812
1579671806.284951468 2 script.hotjar.com.c.section.io map16-100.s.section.io 36
1579671806.284951468 3 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 4 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 5 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 6 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 7 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 8 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 9 map16-100.s.section.io map16-100.s.section.io 119
1579671806.284951468 10 map16-100.s.section.io script.hotjar.com 119
1579671806.298630341 1 www.googleadservices.com pagead.l.doubleclick.net 299
1579671806.298630341 2 pagead.l.doubleclick.net www.googleadservices.com 299
1579671806.316262887 1 www.google.com www.google.com 155
1579671806.347870848 1 vars.hotjar.com vars.hotjar.com.c.section.io 475
1579671806.347870848 2 vars.hotjar.com.c.section.io map16-100.s.section.io 281
1579671806.347870848 3 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 4 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 5 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 6 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 7 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 8 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 9 map16-100.s.section.io map16-100.s.section.io 119
1579671806.347870848 10 map16-100.s.section.io vars.hotjar.com 119
1579671806.381208480 1 uts.104.com.tw uts.104.com.tw 9
1579671806.413675560 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 190
1579671806.413675560 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 190
1579671806.414576034 1 www.google.es www.google.es 166
1579671808.147336423 1 ssl.gstatic.com ssl.gstatic.com 299
1579671818.211374310 1 update.googleapis.com update.googleapis.com 240
