1579657284.580483463 1 aiou.edu.pk aiou.edu.pk 3599
1579657293.032028712 1 detectportal.firefox.com detectportal.prod.mozaws.net 5
1579657293.032028712 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1579657293.032028712 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18299
1579657293.032028712 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579657293.032028712 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579657293.032278861 1 detectportal.firefox.com detectportal.prod.mozaws.net 5
1579657293.032278861 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1579657293.032278861 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18299
1579657293.032278861 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579657293.032278861 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579657293.136124220 1 mozilla.org mozilla.org 8
1579657293.139443368 1 mozilla.org mozilla.org 36
1579657293.139496546 1 mozilla.org mozilla.org 1797
1579657293.162560201 1 detectportal.firefox.com detectportal.prod.mozaws.net 5
1579657293.162560201 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1579657293.162560201 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18299
1579657293.162560201 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579657293.162560201 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579657293.166896403 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 49
1579657293.166896403 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 30
1579657293.166896403 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 30
1579657293.166896403 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 30
1579657293.166926443 1 location.services.mozilla.com prod.mozaws.net 49
1579657293.166926443 2 prod.mozaws.net location.services.mozilla.com 193
1579657293.169061438 1 detectportal.firefox.com detectportal.prod.mozaws.net 13
1579657293.169061438 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 11
1579657293.169061438 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 3993
1579657293.169061438 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579657293.169061438 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579657293.342076525 1 ocsp.digicert.com cs9.wac.phicdn.net 3547
1579657293.342076525 2 cs9.wac.phicdn.net ocsp.digicert.com 193
1579657293.362067765 1 ocsp.digicert.com wac.phicdn.net 3382
1579657293.362067765 2 wac.phicdn.net ocsp.digicert.com 38
1579657293.933182930 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 13
1579657293.933182930 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579657293.933182930 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579657293.933182930 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579657293.933182930 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579657293.933845203 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 18
1579657293.933845203 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579657294.918452906 1 push.services.mozilla.com autopush.prod.mozaws.net 33
1579657294.918452906 2 autopush.prod.mozaws.net push.services.mozilla.com 33
1579657294.938233752 1 push.services.mozilla.com prod.mozaws.net 31
1579657294.938233752 2 prod.mozaws.net push.services.mozilla.com 110
1579657294.948014556 1 shavar.services.mozilla.com shavar.prod.mozaws.net 34
1579657294.948014556 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
1579657294.948014556 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 14
