1579671419.879131645 1 americanas.com.br americanas.com.br 299
1579671420.121435556 1 www.americanas.com.br dsa-wildsan.b2wdigital.com.edgekey.net 0
1579671420.121435556 2 dsa-wildsan.b2wdigital.com.edgekey.net e6654.dscb.akamaiedge.net 21144
1579671420.121435556 3 e6654.dscb.akamaiedge.net www.americanas.com.br 19
1579671420.520131513 1 statics-americanas.b2w.io wildsan.b2wdigital.com.edgekey.net 59
1579671420.520131513 2 wildsan.b2wdigital.com.edgekey.net e6654.dscg.akamaiedge.net 21533
1579671420.520131513 3 e6654.dscg.akamaiedge.net statics-americanas.b2w.io 19
1579671420.547251448 1 images-americanas.b2w.io wildsan.b2wdigital.com.edgekey.net 0
1579671420.547251448 2 wildsan.b2wdigital.com.edgekey.net e6654.dscg.akamaiedge.net 9129
1579671420.547251448 3 e6654.dscg.akamaiedge.net images-americanas.b2w.io 19
1579671420.780958774 1 client.perimeterx.net f4.shared.global.fastly.net 1758
1579671420.780958774 2 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579671420.780958774 3 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579671420.780958774 4 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579671420.780958774 5 f4.shared.global.fastly.net client.perimeterx.net 29
1579671420.786467618 1 assets.adobedtm.com cn-assets.adobedtm.com.edgekey.net 30
1579671420.786467618 2 cn-assets.adobedtm.com.edgekey.net cn-assets.adobedtm.com.edgekey.net.globalredir.akadns.net 1002
1579671420.786467618 3 cn-assets.adobedtm.com.edgekey.net.globalredir.akadns.net e7808.g.akamaiedge.net 552
1579671420.786467618 4 e7808.g.akamaiedge.net assets.adobedtm.com 19
1579671421.138381705 1 spacey-api-v2-americanas.b2w.io wildsan.b2wdigital.com.edgekey.net 0
1579671421.138381705 2 wildsan.b2wdigital.com.edgekey.net e6654.dscg.akamaiedge.net 20965
1579671421.138381705 3 e6654.dscg.akamaiedge.net spacey-api-v2-americanas.b2w.io 19
1579671421.279764743 1 dpm.demdex.net gslb-2.demdex.net 270
1579671421.279764743 2 gslb-2.demdex.net edge-irl1.demdex.net 870
1579671421.279764743 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 870
1579671421.279764743 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 27
1579671421.279764743 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dpm.demdex.net 27
1579671421.439729458 1 collector-pxzd817sic.perimeterx.net collector-pxzd817sic.perimeterx.net 761
1579671421.919788239 1 b2w.d3.sc.omtrdc.net b2w.d3.sc.omtrdc.net 236
1579671421.919788239 2 b2w.d3.sc.omtrdc.net b2w.d3.sc.omtrdc.net 236
1579671421.919788239 3 b2w.d3.sc.omtrdc.net b2w.d3.sc.omtrdc.net 236
1579671421.927003740 1 cm.everesttech.net cm.everesttech.net.akadns.net 72
1579671421.927003740 2 cm.everesttech.net.akadns.net cm.everesttech.net 299
1579671421.928340096 1 b2w.demdex.net gslb-2.demdex.net 236
1579671421.928340096 2 gslb-2.demdex.net edge-irl1.demdex.net 899
1579671421.928340096 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 899
1579671421.928340096 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 59
1579671421.928340096 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com b2w.demdex.net 59
1579671422.835726535 1 blackbox-v1-americanas.b2w.io wildsan.b2wdigital.com.edgekey.net 0
1579671422.835726535 2 wildsan.b2wdigital.com.edgekey.net e6654.dscg.akamaiedge.net 19688
1579671422.835726535 3 e6654.dscg.akamaiedge.net blackbox-v1-americanas.b2w.io 19
1579671423.353015613 1 static.hotjar.com static.hotjar.com.c.section.io 1944
1579671423.353015613 2 static.hotjar.com.c.section.io map16-100.s.section.io 231
1579671423.353015613 3 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 4 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 5 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 6 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 7 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 8 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 9 map16-100.s.section.io map16-100.s.section.io 95
1579671423.353015613 10 map16-100.s.section.io static.hotjar.com 95
1579671423.636631738 1 sqs.us-west-2.amazonaws.com us-west-2.queue.amazonaws.com 19438
1579671423.636631738 2 us-west-2.queue.amazonaws.com sqs.us-west-2.amazonaws.com 16
1579671423.637676700 1 ed925ef03c80.cdn4.forter.com ed925ef03c80.cdn4.forter.com 59
