1579640487.328158917 1 androidcaptcha.info androidcaptcha.info 299
1579640495.384664728 1 detectportal.firefox.com detectportal.prod.mozaws.net 50
1579640495.384664728 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 23
1579640495.384664728 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12831
1579640495.384664728 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579640495.384664728 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579640495.385976647 1 detectportal.firefox.com detectportal.prod.mozaws.net 2
1579640495.385976647 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 26
1579640495.385976647 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4312
1579640495.385976647 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579640495.385976647 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579640495.487265942 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 20
1579640495.487265942 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 20
1579640495.487265942 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 20
1579640495.487265942 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 20
1579640495.490579146 1 mozilla.org mozilla.org 13
1579640495.495877680 1 mozilla.org mozilla.org 22
1579640495.496136022 1 mozilla.org mozilla.org 1787
1579640495.506403586 1 location.services.mozilla.com prod.mozaws.net 13
1579640495.506403586 2 prod.mozaws.net location.services.mozilla.com 51
1579640495.522532985 1 detectportal.firefox.com detectportal.prod.mozaws.net 31
1579640495.522532985 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 41
1579640495.522532985 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20791
1579640495.522532985 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579640495.522532985 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579640495.522967462 1 detectportal.firefox.com detectportal.prod.mozaws.net 39
1579640495.522967462 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 44
1579640495.522967462 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12971
1579640495.522967462 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579640495.522967462 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579640495.694660945 1 ocsp.digicert.com cs9.wac.phicdn.net 3517
1579640495.694660945 2 cs9.wac.phicdn.net ocsp.digicert.com 2987
1579640495.695003985 1 ocsp.digicert.com wac.phicdn.net 11972
1579640495.695003985 2 wac.phicdn.net ocsp.digicert.com 454
1579640496.215910917 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 39
1579640496.215910917 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579640496.217493129 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 39
1579640496.217493129 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579640496.217493129 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579640496.217493129 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579640496.217493129 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579640497.073039356 1 shavar.services.mozilla.com prod.mozaws.net 55
1579640497.073039356 2 prod.mozaws.net shavar.services.mozilla.com 31
1579640497.073086982 1 shavar.services.mozilla.com shavar.prod.mozaws.net 39
1579640497.073086982 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 48
1579640497.073086982 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 48
1579640497.073086982 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 48
1579640497.073086982 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 48
1579640497.073086982 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 48
1579640497.073086982 7 shavar.prod.mozaws.net shavar.services.mozilla.com 48
1579640497.082102615 1 push.services.mozilla.com prod.mozaws.net 48
1579640497.082102615 2 prod.mozaws.net push.services.mozilla.com 250
1579640497.082128457 1 push.services.mozilla.com autopush.pr
