1580638199.307352817 1 www.gstatic.com www.gstatic.com 174
1580638199.504717207 1 angel.co angel.co 267
1580638199.504717207 2 angel.co angel.co 267
1580638199.588072307 1 accounts.google.com accounts.google.com 299
1580638203.666676995 1 ajax.cloudflare.com ajax.cloudflare.com 239
1580638203.666676995 2 ajax.cloudflare.com ajax.cloudflare.com 239
1580638203.672913338 1 fullstory.com fullstory.com 159
1580638203.672913338 2 fullstory.com fullstory.com 159
1580638203.672913338 3 fullstory.com fullstory.com 159
1580638203.672913338 4 fullstory.com fullstory.com 159
1580638203.673916447 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1580638203.673916447 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580638203.681880645 1 cdn.segment.com d296je7bbdd650.cloudfront.net 226
1580638203.681880645 2 d296je7bbdd650.cloudfront.net cdn.segment.com 59
1580638203.708165467 1 static.hotjar.com static.hotjar.com.c.section.io 2925
1580638203.708165467 2 static.hotjar.com.c.section.io map20-100.s.section.io 243
1580638203.708165467 3 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 4 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 5 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 6 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 7 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 8 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 9 map20-100.s.section.io map20-100.s.section.io 119
1580638203.708165467 10 map20-100.s.section.io static.hotjar.com 119
1580638204.269468305 1 clients1.google.com clients.l.google.com 299
1580638204.269468305 2 clients.l.google.com clients1.google.com 299
1580638205.052319525 1 script.hotjar.com script.hotjar.com.c.section.io 2350
1580638205.052319525 2 script.hotjar.com.c.section.io map20-100.s.section.io 127
1580638205.052319525 3 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 4 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 5 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 6 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 7 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 8 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 9 map20-100.s.section.io map20-100.s.section.io 119
1580638205.052319525 10 map20-100.s.section.io script.hotjar.com 119
1580638205.171725761 1 api.segment.io api.segment.io 22
1580638205.171725761 2 api.segment.io api.segment.io 22
1580638205.171725761 3 api.segment.io api.segment.io 22
1580638205.171725761 4 api.segment.io api.segment.io 22
1580638205.171725761 5 api.segment.io api.segment.io 22
1580638205.171725761 6 api.segment.io api.segment.io 22
1580638205.171725761 7 api.segment.io api.segment.io 22
1580638205.171725761 8 api.segment.io api.segment.io 22
1580638205.225357039 1 cdn.amplitude.com cdn.amplitude.com 26
1580638205.225357039 2 cdn.amplitude.com cdn.amplitude.com 26
1580638205.225357039 3 cdn.amplitude.com cdn.amplitude.com 26
1580638205.225357039 4 cdn.amplitude.com cdn.amplitude.com 26
1580638205.253777626 1 vars.hotjar.com vars.hotjar.com.c.section.io 2286
1580638205.253777626 2 vars.hotjar.com.c.section.io map16-100.s.section.io 283
1580638205.253777626 3 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 4 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 5 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 6 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 7 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 8 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 9 map16-100.s.section.io map16-100.s.section.io 119
1580638205.253777626 10 map16-100.s.section.io vars.hotjar.com 119
1580638208.720444945 1 update.googleapis.com update.googleapis.com 299
1580638210.299748797 1 api.amplitude.com api.amplitude.com 51
1580638210.299748797 2 api.amplitude.com api.amplitude.com 51
1580638210.299748797 3 api.amplitude.com api.amplitude.com 51
1580638210.299748797 4 api.amplitude.com api.amplitude.com 51
1580638210.299748797 5 api.amplitude.com api.amplitude.com 51
1580638210.299748797 6 api.amplitude.com api.amplitude.com 51
1580638210.299748797 7 api.amplitude.com api.amplitude.com 51
1580638210.299748797 8 api.amplitude.com api.amplitude.com 51
1580638210.303829030 1 <Root> nlvcbtjac 86392
1580638210.310386730 1 <Root> prnjnmneqi 86394
1580638210.312059093 1 <Root> yphjmdwkmaf 86391
1580638210.328739667 1 ssl.gstatic.com ssl.gstatic.com 299
1580638210.336580271 1 stats.g.doubleclick.net stats.l.doubleclick.net 21562
1580638210.336580271 2 stats.l.doubleclick.net stats.l.doubleclick.net 262
1580638210.336580271 3 stats.l.doubleclick.net stats.l.doubleclick.net 262
1580638210.336580271 4 stats.l.doubleclick.net stats.l.doubleclick.net 262
1580638210.336580271 5 stats.l.doubleclick.net stats.g.doubleclick.net 262
1580638210.445393369 1 www.google.com www.google.com 299
1580638210.541971402 1 www.google.es www.google.es 299
