1580718905.929856049 1 bitgame.ir bitgame.ir 21599
1580718906.477516759 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1580718906.477516759 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580718914.645001178 1 detectportal.firefox.com detectportal.prod.mozaws.net 34
1580718914.645001178 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 10
1580718914.645001178 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 303
1580718914.645001178 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580718914.645001178 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580718914.645716036 1 detectportal.firefox.com detectportal.prod.mozaws.net 28
1580718914.645716036 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 9
1580718914.645716036 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4444
1580718914.645716036 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580718914.645716036 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580718914.759174453 1 mozilla.org mozilla.org 45
1580718914.762508320 1 mozilla.org mozilla.org 44
1580718914.762538351 1 mozilla.org mozilla.org 1783
1580718914.788450297 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 16
1580718914.788450297 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 18
1580718914.788450297 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 18
1580718914.788450297 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 18
1580718914.789210882 1 location.services.mozilla.com prod.mozaws.net 16
1580718914.789210882 2 prod.mozaws.net location.services.mozilla.com 204
1580718914.794516401 1 detectportal.firefox.com detectportal.prod.mozaws.net 43
1580718914.794516401 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 16
1580718914.794516401 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 2067
1580718914.794516401 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580718914.794516401 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580718914.795066326 1 detectportal.firefox.com detectportal.prod.mozaws.net 1
1580718914.795066326 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 40
1580718914.795066326 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21034
1580718914.795066326 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580718914.795066326 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580718915.001804191 1 ocsp.digicert.com cs9.wac.phicdn.net 19730
1580718915.001804191 2 cs9.wac.phicdn.net ocsp.digicert.com 1164
1580718915.021655785 1 ocsp.digicert.com wac.phicdn.net 18654
1580718915.021655785 2 wac.phicdn.net ocsp.digicert.com 512
1580718915.541449865 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 27
1580718915.541449865 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 31
1580718915.570043544 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 36
1580718915.570043544 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580718915.570043544 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580718915.570043544 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580718915.570043544 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580718916.627515054 1 push.services.mozilla.com autopush.prod.mozaws.net 13
1580718916.627515054 2 autopush.prod.mozaws.net push.services.mozilla.com 13
1580718916.627544669 1 push.services.mozilla.com prod.mozaws.net 46
1580718916.627544669 2 prod.mozaws.net push.services.mozilla.com 227
1580718916.652844955 1 push.services.mozilla.com prod.mozaws.net 55
1580718916.652844955 2 prod.mozaws.net push.services.mozilla.com 194
1580718916.652864032 1 push.services.mozilla.com autopush.prod.mozaws.net 53
1580718916.652864032 2 autopush.prod.mozaws.net push.services.mozilla.com 4
1580718916.658198812 1 shavar.services.mozilla.com prod.mozaws.net 26
1580718916.658198812 2 prod.mozaws.net shava
