1580666807.259549246 1 bupt.edu.cn bupt.edu.cn 52
1580666815.394733485 1 detectportal.firefox.com detectportal.prod.mozaws.net 14
1580666815.394733485 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1580666815.394733485 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 10706
1580666815.394733485 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580666815.394733485 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580666815.395133749 1 detectportal.firefox.com detectportal.prod.mozaws.net 14
1580666815.395133749 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1580666815.395133749 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 10706
1580666815.395133749 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580666815.395133749 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580666815.479295415 1 mozilla.org mozilla.org 17
1580666815.484797851 1 mozilla.org mozilla.org 46
1580666815.484822733 1 mozilla.org mozilla.org 1777
1580666815.495201448 1 location.services.mozilla.com prod.mozaws.net 30
1580666815.495201448 2 prod.mozaws.net location.services.mozilla.com 270
1580666815.495257803 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 30
1580666815.495257803 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 31
1580666815.495257803 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 31
1580666815.495257803 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 31
1580666815.509718358 1 detectportal.firefox.com detectportal.prod.mozaws.net 17
1580666815.509718358 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 22
1580666815.509718358 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9479
1580666815.509718358 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580666815.509718358 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580666815.509756222 1 detectportal.firefox.com detectportal.prod.mozaws.net 17
1580666815.509756222 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 22
1580666815.509756222 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9479
1580666815.509756222 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580666815.509756222 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580666815.685380034 1 ocsp.digicert.com wac.phicdn.net 9255
1580666815.685380034 2 wac.phicdn.net ocsp.digicert.com 344
1580666815.685414996 1 ocsp.digicert.com cs9.wac.phicdn.net 6954
1580666815.685414996 2 cs9.wac.phicdn.net ocsp.digicert.com 2267
1580666816.212410455 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 46
1580666816.212410455 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 50
1580666816.242875803 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 48
1580666816.242875803 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580666816.242875803 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580666816.242875803 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580666816.242875803 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580666817.304829722 1 shavar.services.mozilla.com shavar.prod.mozaws.net 14
1580666817.304829722 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 4
1580666817.304829722 9 shavar.prod.mozaws.net shavar.services.mozilla.com 4
1580666817.314085815 1 push.services.mozilla.com autopush.prod.mozaws.net 47
1580666817.314085815 2 autopush.prod.mozaws.net push.services.mozilla.com 47
1580666817.324609132 1 shavar.services.mozilla.com prod.mozaws.n
