1579661963.178061132 1 www.gstatic.com www.gstatic.com 50
1579661963.341917632 1 buzzfeed.com buzzfeed.com 59
1579661963.341917632 2 buzzfeed.com buzzfeed.com 59
1579661963.341917632 3 buzzfeed.com buzzfeed.com 59
1579661963.341917632 4 buzzfeed.com buzzfeed.com 59
1579661963.368777625 1 accounts.google.com accounts.google.com 299
1579661963.710789994 1 www.buzzfeed.com buzzfeed-ev.map.fastly.net 29
1579661963.710789994 2 buzzfeed-ev.map.fastly.net buzzfeed-ev.map.fastly.net 2
1579661963.710789994 3 buzzfeed-ev.map.fastly.net buzzfeed-ev.map.fastly.net 2
1579661963.710789994 4 buzzfeed-ev.map.fastly.net buzzfeed-ev.map.fastly.net 2
1579661963.710789994 5 buzzfeed-ev.map.fastly.net www.buzzfeed.com 2
1579661963.771587260 1 ocsp.digicert.com cs9.wac.phicdn.net 12184
1579661963.771587260 2 cs9.wac.phicdn.net ocsp.digicert.com 234
1579661963.985865040 1 polyfill.io polyfill.io 21560
1579661963.985865040 2 polyfill.io polyfill.io 21560
1579661963.985865040 3 polyfill.io polyfill.io 21560
1579661963.985865040 4 polyfill.io polyfill.io 21560
1579661964.012138286 1 img.buzzfeed.com buzzfeed2.map.fastly.net 11
1579661964.012138286 2 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012138286 3 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012138286 4 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012138286 5 buzzfeed2.map.fastly.net img.buzzfeed.com 29
1579661964.012853142 1 recsys-api.buzzfeed.com buzzfeed2.map.fastly.net 248
1579661964.012853142 2 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012853142 3 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012853142 4 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.012853142 5 buzzfeed2.map.fastly.net recsys-api.buzzfeed.com 29
1579661964.022939999 1 abeagle-public.buzzfeed.com buzzfeed2.map.fastly.net 194
1579661964.022939999 2 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.022939999 3 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.022939999 4 buzzfeed2.map.fastly.net buzzfeed2.map.fastly.net 29
1579661964.022939999 5 buzzfeed2.map.fastly.net abeagle-public.buzzfeed.com 29
1579661964.032151377 1 unpkg.com unpkg.com 290
1579661964.032151377 2 unpkg.com unpkg.com 290
1579661964.032151377 3 unpkg.com unpkg.com 290
1579661964.032151377 4 unpkg.com unpkg.com 290
1579661964.032151377 5 unpkg.com unpkg.com 290
1579661964.043015458 1 pixiedust.buzzfeed.com pixiedust.buzzfeed.com 23
1579661964.043015458 2 pixiedust.buzzfeed.com pixiedust.buzzfeed.com 23
1579661964.043015458 3 pixiedust.buzzfeed.com pixiedust.buzzfeed.com 23
