1580652572.183089449 1 www.gstatic.com www.gstatic.com 299
1580652572.339197965 1 daily-stuff.com daily-stuff.com 7
1580652572.339197965 2 daily-stuff.com daily-stuff.com 7
1580652572.339197965 3 daily-stuff.com daily-stuff.com 7
1580652572.339197965 4 daily-stuff.com daily-stuff.com 7
1580652572.369697841 1 accounts.google.com accounts.google.com 299
1580652576.106000606 1 www.daily-stuff.com daily-stuff.com 899
1580652576.106000606 2 daily-stuff.com d3bkwdr45rh0aq.cloudfront.net 899
1580652576.106000606 3 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.106000606 4 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.106000606 5 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.106000606 6 d3bkwdr45rh0aq.cloudfront.net www.daily-stuff.com 59
1580652576.393590565 1 js.daily-stuff.com daily-stuff.com 899
1580652576.393590565 2 daily-stuff.com d3bkwdr45rh0aq.cloudfront.net 899
1580652576.393590565 3 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.393590565 4 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.393590565 5 d3bkwdr45rh0aq.cloudfront.net d3bkwdr45rh0aq.cloudfront.net 59
1580652576.393590565 6 d3bkwdr45rh0aq.cloudfront.net js.daily-stuff.com 59
1580652576.537286843 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 21599
1580652576.537286843 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1580652576.540333556 1 cookiepro.blob.core.windows.net blob.ams06prdstr07a.store.core.windows.net 12
1580652576.540333556 2 blob.ams06prdstr07a.store.core.windows.net cookiepro.blob.core.windows.net 1
1580652576.613877561 1 acdn.adnxs.com prod.appnexus.map.fastly.net 179
1580652576.613877561 2 prod.appnexus.map.fastly.net acdn.adnxs.com 3
1580652576.616761744 1 adservice.google.com pagead46.l.doubleclick.net 299
