1579660419.608221163 1 www.gstatic.com www.gstatic.com 203
1579660419.743435049 1 deviantart.com deviantart.com 59
1579660419.743435049 2 deviantart.com deviantart.com 59
1579660419.743435049 3 deviantart.com deviantart.com 59
1579660419.743435049 4 deviantart.com deviantart.com 59
1579660419.780845043 1 accounts.google.com accounts.google.com 299
1579660420.848892477 1 www.deviantart.com www.deviantart.com 59
1579660420.848892477 2 www.deviantart.com www.deviantart.com 59
1579660420.848892477 3 www.deviantart.com www.deviantart.com 59
1579660420.848892477 4 www.deviantart.com www.deviantart.com 59
1579660421.722303832 1 st.deviantart.net st.deviantart.net 28
1579660421.722303832 2 st.deviantart.net st.deviantart.net 28
1579660421.722303832 3 st.deviantart.net st.deviantart.net 28
1579660421.722303832 4 st.deviantart.net st.deviantart.net 28
1579660421.724250855 1 js.sentry-cdn.com js.sentry-cdn.com 21178
1579660421.724250855 2 js.sentry-cdn.com js.sentry-cdn.com 21178
1579660421.724250855 3 js.sentry-cdn.com js.sentry-cdn.com 21178
1579660421.724250855 4 js.sentry-cdn.com js.sentry-cdn.com 21178
1579660421.725358476 1 images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com img.wix-mp-infra.wixmp.com 99
1579660421.725358476 2 img.wix-mp-infra.wixmp.com images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com 99
1579660421.732816649 1 a.deviantart.net a.deviantart.net 59
1579660421.732816649 2 a.deviantart.net a.deviantart.net 59
1579660421.732816649 3 a.deviantart.net a.deviantart.net 59
1579660421.732816649 4 a.deviantart.net a.deviantart.net 59
1579660421.740289827 1 static.parastorage.com n2.shared.global.fastly.net 19
1579660421.740289827 2 n2.shared.global.fastly.net n2.shared.global.fastly.net 29
1579660421.740289827 3 n2.shared.global.fastly.net n2.shared.global.fastly.net 29
1579660421.740289827 4 n2.shared.global.fastly.net n2.shared.global.fastly.net 29
1579660421.740289827 5 n2.shared.global.fastly.net static.parastorage.com 29
1579660422.090581027 1 frog.wix.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 77
1579660422.090581027 2 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 3 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 4 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 5 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 6 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 7 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 8 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com 34
1579660422.090581027 9 bi-flogger-alb-ext-343643057.us-east-1.elb.amazonaws.com frog.wix.com 34
1579660422.092292099 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579660422.092292099 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579660422.466021392 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 14490
1579660422.466021392 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 13915
1579660422.466021392 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1579660425.598423205 1 translate.googleapis.com translate.googleapis.com 299
1579660425.703404640 1 stats.g.doubleclick.net stats.l.doubleclick.net 21303
1579660425.703404640 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579660425.703404640 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579660425.703404640 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579660425.703404640 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579660426.188893614 1 www.wix.com wwworigin.wix.com 299
1579660426.188893614 2 wwworigin.wix.com 179.www.dc11.wix.com 29
1579660426.188893614 3 179.www.dc11.wix.com www.wix.com 59
1579660426.205148382 1 js-agent.newrelic.com f4.shared.global.fastly.net 7793
1579660426.205148382 2 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579660426.205148382 3 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579660426.205148382 4 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579660426.205148382 5 f4.shared.global.fastly.net js-agent.newrelic.com 29
1579660426.326261582 1 bam.nr-data.net bam.nr-data.net 21508
1579660426.326261582 2 bam.nr-data.net bam.nr-data.net 21508
1579660426.326261582 3 bam.nr-data.net bam.nr-data.net 21508
1579660426.326261582 4 bam.nr-data.net bam.nr-data.net 21508
1579660426.554595499 1 <Root> jjziokanwdwmwi 86389
1579660426.554624345 1 <Root> rgzeeuuclzot 86393
1579660426.554653468 1 <Root> bwplzqhm 86390
1579660429.896355288 1 update.googleapis.com update.googleapis.com 10
1579660431.266442865 1 ssl.gstatic.com ssl.gstatic.com 4
