1579649309.487987948 1 www.gstatic.com www.gstatic.com 299
1579649309.633744784 1 digikala.com digikala.com 331
1579649309.663844140 1 accounts.google.com accounts.google.com 41
1579649310.069747338 1 www.digikala.com points.digikalacloud.com 284
1579649310.069747338 2 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 3 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 4 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 5 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 6 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 7 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 8 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 9 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 10 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 11 points.digikalacloud.com points.digikalacloud.com 13
1579649310.069747338 12 points.digikalacloud.com www.digikala.com 13
1579649310.825553926 1 www.googletagmanager.com www-googletagmanager.l.google.com 21580
1579649310.825553926 2 www-googletagmanager.l.google.com www.googletagmanager.com 280
1579649310.858484325 1 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579649310.858484325 2 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579649310.858484325 3 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579649310.858484325 4 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579649310.998525984 1 dkstatics-public.digikala.com points.digikalacloud.com 592
1579649310.998525984 2 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 3 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 4 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 5 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 6 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 7 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 8 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 9 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 10 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 11 points.digikalacloud.com points.digikalacloud.com 52
1579649310.998525984 12 points.digikalacloud.com dkstatics-public.digikala.com 52
1579649312.307483673 1 dkstatics-public-2.digikala.com points.digikalacloud.com 299
1579649312.307483673 2 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 3 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 4 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 5 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 6 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 7 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 8 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 9 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 10 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 11 points.digikalacloud.com points.digikalacloud.com 59
1579649312.307483673 12 points.digikalacloud.com dkstatics-public-2.digikala.com 59
1579649312.927144605 1 www.google-analytics.com www-google-analytics.l.google.com 21565
1579649312.927144605 2 www-google-analytics.l.google.com www.google-analytics.com 265
1579649312.963093193 1 certify.alexametrics.com certify.alexametrics.com 59
1579649312.963093193 2 certify.alexametrics.com certify.alexametrics.com 59
1579649312.963093193 3 certify.alexametrics.com certify.alexametrics.com 59
1579649312.963093193 4 certify.alexametrics.com certify.alexametrics.com 59
1579649312.996981073 1 cdn.mouseflow.com rec.mouseflowaps.netdna-cdn.com 13616
1579649312.996981073 2 rec.mouseflowaps.netdna-cdn.com cdn.mouseflow.com 299
1579649314.310649497 1 clients1.google.com clients.l.google.com 232
1579649314.310649497 2 clients.l.google.com clients1.google.com 232
1579649314.319332932 1 trustseal.enamad.ir trustseal.enamad.ir 564
1579649314.340118313 1 logo.samandehi.ir logo.samandehi.ir 171
1579649314.342221107 1 prod.webpu.sh prod.webpu.sh 26
1579649314.342221107 2 prod.webpu.sh prod.webpu.sh 26
1579649314.342221107 3 prod.webpu.sh prod.webpu.sh 26
1579649314.342221107 4 prod.webpu.sh prod.webpu.sh 26
1579649314.342221107 5 prod.webpu.sh prod.webpu.sh 26
1579649314.342221107 6 prod.webpu.sh prod.webpu.sh 26
1579649314.362834117 1 translate.googleapis.com translate.googleapis.com 142
1579649314.574765571 1 repository.certum.pl repository.uzto.netdna-cdn.com 51
1579649314.574765571 2 repository.uzto.netdna-cdn.com repository.certum.pl 299
1579649314.812038555 1 cdn-3.convertexperiments.com cdn-3.convertexperiments.com.edgekey.net 845
1579649314.812038555 2 cdn-3.convertexperiments.com.edgekey.net e5289.g.akamaiedge.net 20776
1579649314.812038555 3 e5289.g.akamaiedge.net cdn-3.convertexperiments.com 19
1579649315.705417257 1 api.stickytracker.net api.stickytracker.net 299
1579649315.705417257 2 api.stickytracker.net api.stickytracker.net 299
1579649316.264866792 1 recommender.scarabresearch.com recommender.scarabresearch.com 59
1579649316.264866792 2 recommender.scarabresearch.com recommender.scarabresearch.com 59
1579649316.264866792 3 recommender.scarabresearch.com recommender.scarabresearch.com 59
1579649316.420341073 1 <Root> fhvkskduxnnzxpf 86369
1579649316.420551001 1 <Root> shguajtm 86394
1579649316.420798311 1 <Root> pmgsajwyrcp 86377
1579649317.898102665 1 logs.convertexperiments.com convert-logs.eu-central-1.elasticbeanstalk.com 21089
1579649317.898102665 2 convert-logs.eu-central-1.elasticbeanstalk.com convert-logs.eu-central-1.elasticbeanstalk.com 59
1579649317.898102665 3 convert-logs.eu-central-1.elasticbeanstalk.com logs.convertexperiments.com 59
1579649317.925913481 1 10005940.track.convertexperiments.com track.convertexperiments.com 202
1579649317.925913481 2 track.convertexperiments.com convert-tracking.elasticbeanstalk.com 299
1579649317.925913481 3 convert-tracking.elasticbeanstalk.com convert-tracking.elasticbeanstalk.com 59
1579649317.925913481 4 convert-tracking.elasticbeanstalk.com 10005940.track.convertexperiments.com 59
1579649319.032509429 1 api.adro.co production-api-servers-602978923.eu-west-1.elb.amazonaws.com 735
1579649319.032509429 2 production-api-servers-602978923.eu-west-1.elb.amazonaws.com production-api-servers-602978923.eu-west-1.elb.amazonaws.com 25
1579649319.032509429 3 production-api-servers-602978923.eu-west-1.elb.amazonaws.com production-api-servers-602978923.eu-west-1.elb.amazonaws.com 25
1579649319.032509429 4 production-api-servers-602978923.eu-west-1.elb.amazonaws.com production-api-servers-602978923.eu-west-1.elb.amazonaws.com 25
1579649319.032509429 5 production-api-servers-602978923.eu-west-1.elb.amazonaws.com production-api-servers-602978923.eu-west-1.elb.amazonaws.com 25
1579649319.032509429 6 production-api-servers-602978923.eu-west-1.elb.amazonaws.com production-api-servers-602978923.eu-west-1.elb.amazonaws.com 25
1579649319.032509429 7 production-api-servers-602978923.eu-west-1.elb.amazonaws.com api.adro.co 25
1579649319.431118458 1 ssl.gstatic.com ssl.gstatic.com 21
1579649320.116860887 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579649320.116860887 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649320.116860887 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649320.116860887 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649320.116860887 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579649320.669050042 1 www.google.com www.google.com 91
1579649320.767564185 1 www.google.es www.google.es 258
1579649331.728573058 1 update.googleapis.com update.googleapis.com 228
