1579749792.739140962 1 diva-portal.org diva-portal.org 3599
1579749792.904233943 1 www.diva-portal.org www.diva-portal.org 3220
1579749802.227940038 1 detectportal.firefox.com detectportal.prod.mozaws.net 24
1579749802.227940038 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1579749802.227940038 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8430
1579749802.227940038 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579749802.227940038 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579749802.229774577 1 detectportal.firefox.com detectportal.prod.mozaws.net 24
1579749802.229774577 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1579749802.229774577 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8430
1579749802.229774577 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579749802.229774577 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579749802.333397790 1 mozilla.org mozilla.org 47
1579749802.337456405 1 mozilla.org mozilla.org 16
1579749802.363265138 1 mozilla.org mozilla.org 1799
1579749802.365279072 1 detectportal.firefox.com detectportal.prod.mozaws.net 50
1579749802.365279072 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 18
1579749802.365279072 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21220
1579749802.365279072 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579749802.365279072 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579749802.365785223 1 detectportal.firefox.com detectportal.prod.mozaws.net 54
1579749802.365785223 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 25
1579749802.365785223 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14105
1579749802.365785223 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579749802.365785223 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579749802.367752908 1 location.services.mozilla.com prod.mozaws.net 59
1579749802.367752908 2 prod.mozaws.net location.services.mozilla.com 233
1579749802.377455754 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 59
1579749802.377455754 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 59
1579749802.377455754 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 59
1579749802.377455754 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 59
1579749802.577249882 1 ocsp.digicert.com cs9.wac.phicdn.net 17254
1579749802.577249882 2 cs9.wac.phicdn.net ocsp.digicert.com 3243
1579749802.603517116 1 ocsp.digicert.com wac.phicdn.net 14650
1579749802.603517116 2 wac.phicdn.net ocsp.digicert.com 599
1579749803.088605339 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 21
1579749803.088605339 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579749803.088605339 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579749803.088605339 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579749803.088605339 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579749803.090009311 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 44
1579749803.090009311 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579749804.061830681 1 shavar.services.mozilla.com shavar.prod.mozaws.net 32
1579749804.061830681 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 28
1579749804.061830681 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 28
1579749804.061830681 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 28
1579749804.061830681 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 28
1579749804.061830681 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 28
1579749804.061830681 7 shavar.prod.mozaws.net shavar.services.mozilla.com 28
1579749804.069758198 1 push.services.mozilla.com autopush.prod.mozaws.net 29
1579749804.069758198 2 autopush.prod.mozaws.net push.services.mozilla.com 29
1579749804.081350211 1 shavar.services.mozilla.com prod.mozaws.net 17
1579749804.081350211 2 prod.mozaws.net shavar.serv
