1579789110.802224308 1 diynetwork.com diynetwork.com 3599
1579789111.093240532 1 www.diynetwork.com secure-api.scrippsnetworks.com.edgekey.net 21594
1579789111.093240532 2 secure-api.scrippsnetworks.com.edgekey.net e2401.g.akamaiedge.net 21594
1579789111.093240532 3 e2401.g.akamaiedge.net www.diynetwork.com 19
1579789111.303385651 1 www.foodnetwork.com secure-api.scrippsnetworks.com.edgekey.net 21185
1579789111.303385651 2 secure-api.scrippsnetworks.com.edgekey.net e2401.g.akamaiedge.net 21358
1579789111.303385651 3 e2401.g.akamaiedge.net www.foodnetwork.com 19
1579789111.440977922 1 s.go-mpulse.net wildcard.go-mpulse.net.edgekey.net 789
1579789111.440977922 2 wildcard.go-mpulse.net.edgekey.net e4518.x.akamaiedge.net 21522
1579789111.440977922 3 e4518.x.akamaiedge.net s.go-mpulse.net 19
1579789119.287546081 1 detectportal.firefox.com detectportal.prod.mozaws.net 34
1579789119.287546081 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 27
1579789119.287546081 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 96
1579789119.287546081 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 8
1579789119.287546081 5 a1089.dscd.akamai.net detectportal.firefox.com 8
1579789119.302772588 1 detectportal.firefox.com detectportal.prod.mozaws.net 58
1579789119.302772588 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 30
1579789119.302772588 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 6569
1579789119.302772588 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579789119.302772588 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579789119.400065747 1 location.services.mozilla.com prod.mozaws.net 26
1579789119.400065747 2 prod.mozaws.net location.services.mozilla.com 216
1579789119.400126816 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 51
1579789119.400126816 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 52
1579789119.400126816 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 52
1579789119.400126816 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 52
1579789119.452238942 1 mozilla.org mozilla.org 57
1579789119.456294834 1 detectportal.firefox.com detectportal.prod.mozaws.net 7
1579789119.456294834 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 18
1579789119.456294834 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4232
1579789119.456294834 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 11
1579789119.456294834 5 a1089.dscd.akamai.net detectportal.firefox.com 11
1579789119.475463924 1 mozilla.org mozilla.org 54
1579789119.476604892 1 mozilla.org mozilla.org 1764
1579789119.484734349 1 detectportal.firefox.com detectportal.prod.mozaws.net 46
1579789119.484734349 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 41
1579789119.484734349 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 3022
1579789119.484734349 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579789119.484734349 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579789119.569479859 1 ocsp.digicert.com cs9.wac.phicdn.net 19731
1579789119.569479859 2 cs9.wac.phicdn.net ocsp.digicert.com 2711
1579789119.569518711 1 ocsp.digicert.com wac.phicdn.net 19534
1579789119.569518711 2 wac.phicdn.net ocsp.digicert.com 512
1579789120.097372816 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 47
1579789120.097372816 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 53
1579789120.126996045 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 42
1579789120.126996045 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579789120.126996045 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579789120.126996045 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579789120.126996045 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579789121.080041073 1 shavar.services.mozilla.com shavar.prod.mozaws.net 38
1579789121.080041073 2 shavar.prod.mozaws.net sh
