1580766090.992508219 1 www.gstatic.com www.gstatic.com 36
1580766091.166194458 1 dolcegabbana.com dolcegabbana.com 7251
1580766091.203249905 1 accounts.google.com accounts.google.com 299
1580766094.832477325 1 www.dolcegabbana.com dp66d3v30j8wn.cloudfront.net 17055
1580766094.832477325 2 dp66d3v30j8wn.cloudfront.net dp66d3v30j8wn.cloudfront.net 59
1580766094.832477325 3 dp66d3v30j8wn.cloudfront.net dp66d3v30j8wn.cloudfront.net 59
1580766094.832477325 4 dp66d3v30j8wn.cloudfront.net dp66d3v30j8wn.cloudfront.net 59
1580766094.832477325 5 dp66d3v30j8wn.cloudfront.net www.dolcegabbana.com 59
1580766095.030480689 1 d2ls16jjuwnppu.cloudfront.net d2ls16jjuwnppu.cloudfront.net 59
1580766095.030480689 2 d2ls16jjuwnppu.cloudfront.net d2ls16jjuwnppu.cloudfront.net 59
1580766095.030480689 3 d2ls16jjuwnppu.cloudfront.net d2ls16jjuwnppu.cloudfront.net 59
1580766095.030480689 4 d2ls16jjuwnppu.cloudfront.net d2ls16jjuwnppu.cloudfront.net 59
1580766095.373601826 1 static.hotjar.com static.hotjar.com.c.section.io 813
1580766095.373601826 2 static.hotjar.com.c.section.io map20-100.s.section.io 290
1580766095.373601826 3 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 4 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 5 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 6 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 7 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 8 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 9 map20-100.s.section.io map20-100.s.section.io 119
1580766095.373601826 10 map20-100.s.section.io static.hotjar.com 119
1580766095.376618955 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1580766095.376618955 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1580766095.401143078 1 connect.facebook.net scontent.xx.fbcdn.net 1798
1580766095.401143078 2 scontent.xx.fbcdn.net connect.facebook.net 59
1580766096.287514318 1 www.youtube.com youtube-ui.l.google.com 21599
1580766096.287514318 2 youtube-ui.l.google.com youtube-ui.l.google.com 299
1580766096.287514318 3 youtube-ui.l.google.com youtube-ui.l.google.com 299
