1579670473.617603178 1 www.gstatic.com www.gstatic.com 271
1579670473.748578552 1 douyu.com douyu.com.wscdns.com 572
1579670473.748578552 2 douyu.com.wscdns.com douyu.com.wscdns.com 59
1579670473.748578552 3 douyu.com.wscdns.com douyu.com 59
1579670473.901839757 1 accounts.google.com accounts.google.com 299
1579670474.292536302 1 www.douyu.com www.douyu.com.w.kunluncan.com 275
1579670474.292536302 2 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 3 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 4 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 5 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 6 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 7 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 8 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 9 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 10 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 11 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 12 www.douyu.com.w.kunluncan.com www.douyu.com.w.kunluncan.com 46
1579670474.292536302 13 www.douyu.com.w.kunluncan.com www.douyu.com 46
1579670474.469578541 1 p2psdk.wscdns.com p2psdk.wscdns.com 59
1579670474.469578541 2 p2psdk.wscdns.com p2psdk.wscdns.com 59
1579670474.469578541 3 p2psdk.wscdns.com p2psdk.wscdns.com 59
1579670474.483681358 1 h5tk.p2plive.8686c.com h5tk.p2plive.8686c.com.wsdvs.com 599
1579670474.483681358 2 h5tk.p2plive.8686c.com.wsdvs.com h5tk.p2plive.8686c.com.wsdvs.com 59
1579670474.483681358 3 h5tk.p2plive.8686c.com.wsdvs.com h5tk.p2plive.8686c.com.wsdvs.com 59
1579670474.483681358 4 h5tk.p2plive.8686c.com.wsdvs.com h5tk.p2plive.8686c.com 59
1579670474.501130923 1 www.vod.lxdns.com www.vod.lxdns.com 59
1579670474.775697788 1 shark2.douyucdn.cn shark2.douyucdn.cn.w.cdngslb.com 599
1579670474.775697788 2 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 3 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 4 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 5 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 6 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 7 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 8 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 9 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 10 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 11 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 12 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn.w.cdngslb.com 59
1579670474.775697788 13 shark2.douyucdn.cn.w.cdngslb.com shark2.douyucdn.cn 59
1579670474.848898808 1 aliyun-pcdnts.douyucdn.cn aliyun-pcdnts.douyucdn.cn.m.alikunlun.net 599
1579670474.848898808 2 aliyun-pcdnts.douyucdn.cn.m.alikunlun.net aliyun-pcdnts.douyucdn.cn.m.alikunlun.net 59
1579670474.848898808 3 aliyun-pcdnts.douyucdn.cn.m.alikunlun.net aliyun-pcdnts.douyucdn.cn 59
1579670474.853493442 1 apic.douyucdn.cn apic.douyucdn.cn.w.kunlunar.com 574
1579670474.853493442 2 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 3 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 4 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 5 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 6 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 7 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 8 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 9 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 10 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 11 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 12 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn.w.kunlunar.com 59
1579670474.853493442 13 apic.douyucdn.cn.w.kunlunar.com apic.douyucdn.cn 59
1579670474.902902658 1 hdl1a.douyucdn.cn hdl1a.douyucdn.cn.wscdns.com 599
1579670474.902902658 2 hdl1a.douyucdn.cn.wscdns.com hdl1a.douyucdn.cn 59
1579670474.942452673 1 hdl1abak.douyucdn.cn hdl1abak.douyucdn.cn.wsdvs.com 599
1579670474.942452673 2 hdl1abak.douyucdn.cn.wsdvs.com hdl1abak.douyucdn.cn 59
1579670474.974481020 1 hdl3.douyucdn.cn hdl3.douyucdn.cn.wscdns.com 13
1579670474.974481020 2 hdl3.douyucdn.cn.wscdns.com hdl3.douyucdn.cn 59
1579670475.007456209 1 hdl3a.douyucdn.cn hdl3a.douyucdn.cn.wscdns.com 460
1579670475.007456209 2 hdl3a.douyucdn.cn.wscdns.com hdl3a.douyucdn.cn 59
1579670475.040160243 1 hdl3abak.douyucdn.cn hdl3abak.douyucdn.cn.wsdvs.com 590
1579670475.040160243 2 hdl3abak.douyucdn.cn.wsdvs.com hdl3abak.douyucdn.cn 59
1579670475.071364871 1 hdl3bak.douyucdn.cn hdl3bak.douyucdn.cn.wsdvs.com 239
1579670475.071364871 2 hdl3bak.douyucdn.cn.wsdvs.com hdl3bak.douyucdn.cn 59
1579670475.112021653 1 hdl5.douyucdn.cn hdl5.douyucdn.cn.wsdvs.com 599
1579670475.112021653 2 hdl5.douyucdn.cn.wsdvs.com hdl5.douyucdn.cn 59
1579670475.154489293 1 hdla.douyucdn.cn hdla.douyucdn.cn.wscdns.com 599
1579670475.154489293 2 hdla.douyucdn.cn.wscdns.com hdla.douyucdn.cn 59
1579670475.185114321 1 hdlabak.douyucdn.cn hdlabak.douyucdn.cn.wsdvs.com 447
1579670475.185114321 2 hdlabak.douyucdn.cn.wsdvs.com hdlabak.douyucdn.cn 59
