1580656888.313106448 1 www.gstatic.com www.gstatic.com 299
1580656888.621861852 1 accounts.google.com accounts.google.com 299
1580656888.745100812 1 enjoei.com.br enjoei.com.br 59
1580656888.745100812 2 enjoei.com.br enjoei.com.br 59
1580656888.745100812 3 enjoei.com.br enjoei.com.br 59
1580656888.745100812 4 enjoei.com.br enjoei.com.br 59
1580656888.908528310 1 www.enjoei.com.br d3idebyzperve.cloudfront.net 59
1580656888.908528310 2 d3idebyzperve.cloudfront.net d3idebyzperve.cloudfront.net 59
1580656888.908528310 3 d3idebyzperve.cloudfront.net d3idebyzperve.cloudfront.net 59
1580656888.908528310 4 d3idebyzperve.cloudfront.net d3idebyzperve.cloudfront.net 59
1580656888.908528310 5 d3idebyzperve.cloudfront.net www.enjoei.com.br 59
1580656889.164489474 1 polyfill.io polyfill.io 21418
1580656889.164489474 2 polyfill.io polyfill.io 21418
1580656889.164489474 3 polyfill.io polyfill.io 21418
1580656889.164489474 4 polyfill.io polyfill.io 21418
1580656889.183970104 1 browser.sentry-cdn.com browser.sentry-cdn.com 20674
1580656889.183970104 2 browser.sentry-cdn.com browser.sentry-cdn.com 20674
1580656889.183970104 3 browser.sentry-cdn.com browser.sentry-cdn.com 20674
1580656889.183970104 4 browser.sentry-cdn.com browser.sentry-cdn.com 20674
1580656889.213099859 1 assets1.enjoei.com.br d2zg64wkeoiac.cloudfront.net 59
1580656889.213099859 2 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213099859 3 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213099859 4 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213099859 5 d2zg64wkeoiac.cloudfront.net assets1.enjoei.com.br 59
1580656889.213989624 1 assets3.enjoei.com.br d2zg64wkeoiac.cloudfront.net 59
1580656889.213989624 2 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213989624 3 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213989624 4 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.213989624 5 d2zg64wkeoiac.cloudfront.net assets3.enjoei.com.br 59
1580656889.222303432 1 assets.enjoei.com.br d2zg64wkeoiac.cloudfront.net 59
1580656889.222303432 2 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.222303432 3 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.222303432 4 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.222303432 5 d2zg64wkeoiac.cloudfront.net assets.enjoei.com.br 59
1580656889.233712587 1 assets0.enjoei.com.br d2zg64wkeoiac.cloudfront.net 59
1580656889.233712587 2 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.233712587 3 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.233712587 4 d2zg64wkeoiac.cloudfront.net d2zg64wkeoiac.cloudfront.net 59
1580656889.233712587 5 d2zg64wkeoiac.cloudfront.net assets0.enjoei.com.br 59
1580656889.261386762 1 photos.enjoei.com.br d3ninw05x2l5it.cloudfront.net 59
1580656889.261386762 2 d3ninw05x2l5it.cloudfront.net d3ninw05x2l5it.cloudfront.net 59
1580656889.261386762 3 d3ninw05x2l5it.cloudfront.net d3ninw05x2l5it.cloudfront.net 59
1580656889.261386762 4 d3ninw05x2l5it.cloudfront.net d3ninw05x2l5it.cloudfront.net 59
1580656889.261386762 5 d3ninw05x2l5it.cloudfront.net photos.enjoei.com.br 59
1580656889.299006257 1 cdn-bot.hiplatform.com deu2fwx8ghy5u.cloudfront.net 899
1580656889.299006257 2 deu2fwx8ghy5u.cloudfront.net deu2fwx8ghy5u.cloudfront.net 59
1580656889.299006257 3 deu2fwx8ghy5u.cloudfront.net deu2fwx8ghy5u.cloudfront.net 59
1580656889.299006257 4 deu2fwx8ghy5u.cloudfront.net deu2fwx8ghy5u.cloudfront.net 59
1580656889.299006257 5 deu2fwx8ghy5u.cloudfront.net cdn-bot.hiplatform.com 59
1580656889.300046433 1 produtos.enjoei.com.br d38ifvvosr9zv4.cloudfront.net 59
1580656889.300046433 2 d38ifvvosr9zv4.cloudfront.net d38ifvvosr9zv4.cloudfront.net 59
1580656889.300046433 3 d38ifvvosr9zv4.cloudfront.net d38ifvvosr9zv4.cloudfront.net 59
1580656889.300046433 4 d38ifvvosr9zv4.cloudfront.net d38ifvvosr9zv4.cloudfront.net 59
1580656889.300046433 5 d38ifvvosr9zv4.cloudfront.net produtos.enjoei.com.br 59
1580656889.373586085 1 connect.facebook.net scontent.xx.fbcdn.net 1069
1580656889.373586085 2 scontent.xx.fbcdn.net connect.facebook.net 50
1580656889.394948309 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 273
