1579635232.233254126 1 www.gstatic.com www.gstatic.com 299
1579635232.374357793 1 espn.com espn.com 59
1579635232.374357793 2 espn.com espn.com 59
1579635232.374357793 3 espn.com espn.com 59
1579635232.374357793 4 espn.com espn.com 59
1579635232.393656609 1 accounts.google.com accounts.google.com 47
1579635232.724541774 1 www.espn.com www.espn.com 27
1579635232.724541774 2 www.espn.com www.espn.com 27
1579635232.724541774 3 www.espn.com www.espn.com 27
1579635232.724541774 4 www.espn.com www.espn.com 27
1579635233.078248948 1 secure.espn.com secure.espncdn.com.edgesuite.net 56
1579635233.078248948 2 secure.espncdn.com.edgesuite.net a1988.g1.akamai.net 19202
1579635233.078248948 3 a1988.g1.akamai.net a1988.g1.akamai.net 19
1579635233.078248948 4 a1988.g1.akamai.net secure.espn.com 19
1579635233.078514905 1 a.espncdn.com a.espncdn.com.stls.edgesuite.net 156
1579635233.078514905 2 a.espncdn.com.stls.edgesuite.net a1793.g1.akamai.net 21307
1579635233.078514905 3 a1793.g1.akamai.net a1793.g1.akamai.net 19
1579635233.078514905 4 a1793.g1.akamai.net a.espncdn.com 19
1579635233.079281485 1 tredir.go.com tredir.go.com 299
1579635233.080339930 1 cdn.registerdisney.go.com cdn.registerdisney.go.com.edgekey.net 236
1579635233.080339930 2 cdn.registerdisney.go.com.edgekey.net e11276.g.akamaiedge.net 17143
1579635233.080339930 3 e11276.g.akamaiedge.net cdn.registerdisney.go.com 19
1579635233.096046536 1 cdn.optimizely.com cdn.optimizely.com 19
1579635233.111003985 1 fan.api.espn.com fan.api.geo.hosted.espn.com 137
1579635233.111003985 2 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 3 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 4 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 5 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 6 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 7 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 8 fan.api.geo.hosted.espn.com fan.api.geo.hosted.espn.com 59
1579635233.111003985 9 fan.api.geo.hosted.espn.com fan.api.espn.com 59
1579635233.572787713 1 dpm.demdex.net gslb-2.demdex.net 281
1579635233.572787713 2 gslb-2.demdex.net edge-irl1.demdex.net 881
1579635233.572787713 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 881
1579635233.572787713 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 37
1579635233.572787713 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dpm.demdex.net 37
1579635233.576699986 1 a1.espncdn.com a1.espncdn.com.edgesuite.net 10
1579635233.576699986 2 a1.espncdn.com.edgesuite.net a1992.g1.akamai.net 20798
1579635233.576699986 3 a1992.g1.akamai.net a1992.g1.akamai.net 19
1579635233.576699986 4 a1992.g1.akamai.net a1.espncdn.com 19
1579635233.831431841 1 espndeportes.espn.com espndeportes.geo.hosted.espn.com 40
1579635233.831431841 2 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 3 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 4 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 5 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 6 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 7 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 8 espndeportes.geo.hosted.espn.com espndeportes.geo.hosted.espn.com 59
1579635233.831431841 9 espndeportes.geo.hosted.espn.com espndeportes.espn.com 59
1579635233.841537796 1 a4.espncdn.com a4.espncdn.com.edgesuite.net 30
1579635233.841537796 2 a4.espncdn.com.edgesuite.net a1880.g1.akamai.net 21288
1579635233.841537796 3 a1880.g1.akamai.net a1880.g1.akamai.net 19
1579635233.841537796 4 a1880.g1.akamai.net a4.espncdn.com 19
1579635233.859039205 1 a3.espncdn.com a3.espncdn.com.edgesuite.net 122
1579635233.859039205 2 a3.espncdn.com.edgesuite.net a1805.g1.akamai.net 20819
1579635233.859039205 3 a1805.g1.akamai.net a1805.g1.akamai.net 19
1579635233.859039205 4 a1805.g1.akamai.net a3.espncdn.com 19
1579635233.938442109 1 a2.espncdn.com a2.espncdn.com.edgesuite.net 154
1579635233.938442109 2 a2.espncdn.com.edgesuite.net a1830.g1.akamai.net 19872
1579635233.938442109 3 a1830.g1.akamai.net a1830.g1.akamai.net 19
1579635233.938442109 4 a1830.g1.akamai.net a2.espncdn.com 19
1579635234.082587327 1 cm.everesttech.net cm.everesttech.net.akadns.net 108
1579635234.082587327 2 cm.everesttech.net.akadns.net cm.everesttech.net 299
1579635234.455369655 1 static.chartbeat.com d3f7zc5bbfci5.cloudfront.net 6
1579635234.455369655 2 d3f7zc5bbfci5.cloudfront.net static.chartbeat.com 59
1579635234.890708431 1 www.googletagservices.com pagead46.l.doubleclick.net 21455
1579635234.890708431 2 pagead46.l.doubleclick.net www.googletagservices.com 155
1579635234.899934964 1 e.espncdn.com espndeportes-akamai.espn.go.com.edgesuite.net 299
1579635234.899934964 2 espndeportes-akamai.espn.go.com.edgesuite.net a28.g.akamai.net 21599
1579635234.899934964 3 a28.g.akamai.net a28.g.akamai.net 19
1579635234.899934964 4 a28.g.akamai.net e.espncdn.com 19
1579635234.918618235 1 png.icons8.com 1889544518.rsc.cdn77.org 177
1579635234.918618235 2 1889544518.rsc.cdn77.org png.icons8.com 0
