1580768760.007889705 1 www.gstatic.com www.gstatic.com 167
1580768760.136065854 1 fnn.jp fnn.jp 59
1580768760.136065854 2 fnn.jp fnn.jp 59
1580768760.136065854 3 fnn.jp fnn.jp 59
1580768760.136065854 4 fnn.jp fnn.jp 59
1580768760.179966112 1 accounts.google.com accounts.google.com 299
1580768761.436965106 1 www.fnn.jp 6f2edb755d1e21769119189f39021416.cdnext.stream.ne.jp 899
1580768761.436965106 2 6f2edb755d1e21769119189f39021416.cdnext.stream.ne.jp cdnext-svg001-002-ipb000.stream.ne.jp 299
1580768761.436965106 3 cdnext-svg001-002-ipb000.stream.ne.jp cdnext-svg001-002-ipb000.stream.ne.jp 29
1580768761.436965106 4 cdnext-svg001-002-ipb000.stream.ne.jp cdnext-svg001-002-ipb000.stream.ne.jp 29
1580768761.436965106 5 cdnext-svg001-002-ipb000.stream.ne.jp cdnext-svg001-002-ipb000.stream.ne.jp 29
1580768761.436965106 6 cdnext-svg001-002-ipb000.stream.ne.jp www.fnn.jp 29
1580768762.407729324 1 www.googletagmanager.com www-googletagmanager.l.google.com 21374
1580768762.407729324 2 www-googletagmanager.l.google.com www.googletagmanager.com 74
1580768762.409094586 1 yads.c.yimg.jp edge.g.yimg.jp 703
1580768762.409094586 2 edge.g.yimg.jp yads.c.yimg.jp 27
1580768762.427378453 1 flux-cdn.com flux-cdn.com 59
1580768762.427378453 2 flux-cdn.com flux-cdn.com 59
1580768762.427378453 3 flux-cdn.com flux-cdn.com 59
1580768762.427378453 4 flux-cdn.com flux-cdn.com 59
1580768762.605439708 1 www.google-analytics.com www-google-analytics.l.google.com 21409
1580768762.605439708 2 www-google-analytics.l.google.com www.google-analytics.com 109
1580768762.702350443 1 widgets.outbrain.com wildcard.outbrain.com.edgekey.net 14
1580768762.702350443 2 wildcard.outbrain.com.edgekey.net e10883.g.akamaiedge.net 10068
1580768762.702350443 3 e10883.g.akamaiedge.net widgets.outbrain.com 19
1580768762.848776491 1 a.teads.tv a.teads.tv.edgekey.net 31
1580768762.848776491 2 a.teads.tv.edgekey.net e9957.b.akamaiedge.net 103
1580768762.848776491 3 e9957.b.akamaiedge.net a.teads.tv 19
1580768763.505103826 1 currency.prebid.org d24v0qfgxmmkdg.cloudfront.net 1813
1580768763.505103826 2 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580768763.505103826 3 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580768763.505103826 4 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580768763.505103826 5 d24v0qfgxmmkdg.cloudfront.net currency.prebid.org 59
1580768763.512466598 1 fastlane.rubiconproject.com optimized-by.rubiconproject.net.akadns.net 220
1580768763.512466598 2 optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 3 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 4 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 5 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 6 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 7 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 305
1580768763.512466598 8 perf-optimized-by.rubiconproject.net.akadns.net fastlane.rubiconproject.com 305
1580768763.526696249 1 ib.adnxs.com g.geogslb.com 8201
1580768763.526696249 2 g.geogslb.com ib.anycast.adnxs.com 5361
1580768763.526696249 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 151
1580768763.526696249 10 ib.anycast.adnxs.com ib.adnxs.com 151
1580768763.539961804 1 y.one.impact-ad.jp pool-gce.dac-yieldone.iponweb.net 119
1580768763.539961804 2 pool-gce.dac-yieldone.iponweb.net y.one.impact-ad.jp 119
1580768763.556365712 1 d.socdm.com tg.dr.socdm.com 327
1580768763.556365712 2 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 3 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 4 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 5 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 6 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 7 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 8 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 9 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 10 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 11 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 12 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 13 tg.dr.socdm.com tg.dr.socdm.com 27
1580768763.556365712 14 tg.dr.socdm.com tg.dr.socdm.com 27
