1580669205.240907582 1 www.gstatic.com www.gstatic.com 299
1580669205.466953623 1 freefilm.to freefilm.to 299
1580669205.466953623 2 freefilm.to freefilm.to 299
1580669205.538809547 1 accounts.google.com accounts.google.com 299
1580669208.909286418 1 www.freefilm.to www.freefilm.to 299
1580669208.909286418 2 www.freefilm.to www.freefilm.to 299
1580669209.242243663 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 25
1580669209.242243663 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 25
1580669209.261942622 1 cdn.siteswithcontent.com cdn.siteswithcontent.com 273
1580669209.261942622 2 cdn.siteswithcontent.com cdn.siteswithcontent.com 273
1580669209.449370598 1 www.freeserial.to www.freeserial.to 299
1580669209.449370598 2 www.freeserial.to www.freeserial.to 299
1580669209.497293432 1 sk.search.etargetnet.com sk.search.etargetnet.com 7714
1580669209.516179622 1 www.googletagmanager.com www-googletagmanager.l.google.com 21488
1580669209.516179622 2 www-googletagmanager.l.google.com www.googletagmanager.com 223
1580669209.524214456 1 pushsar.com pushsar.com 203
1580669209.524214456 2 pushsar.com pushsar.com 203
1580669209.526171060 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1580669209.526171060 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580669209.582749170 1 ban.tipsport.sk ban.tipsport.sk 29
1580669209.859853895 1 jsc.mgid.com jsc.mgid.com 16
1580669209.859853895 2 jsc.mgid.com jsc.mgid.com 16
1580669209.859853895 3 jsc.mgid.com jsc.mgid.com 16
1580669209.859853895 4 jsc.mgid.com jsc.mgid.com 16
1580669209.859853895 5 jsc.mgid.com jsc.mgid.com 16
1580669210.107851178 1 c.mgid.com c.mgid.com 108
1580669210.107851178 2 c.mgid.com c.mgid.com 108
1580669210.107851178 3 c.mgid.com c.mgid.com 108
1580669210.107851178 4 c.mgid.com c.mgid.com 108
1580669210.107851178 5 c.mgid.com c.mgid.com 108
1580669210.396923627 1 stats.g.doubleclick.net stats.l.doubleclick.net 21433
1580669210.396923627 2 stats.l.doubleclick.net stats.l.doubleclick.net 133
1580669210.396923627 3 stats.l.doubleclick.net stats.l.doubleclick.net 133
1580669210.396923627 4 stats.l.doubleclick.net stats.l.doubleclick.net 133
1580669210.396923627 5 stats.l.doubleclick.net stats.g.doubleclick.net 133
1580669210.442284446 1 my.rtmark.net my.rtmark.net 299
1580669210.442284446 2 my.rtmark.net my.rtmark.net 299
1580669210.442284446 3 my.rtmark.net my.rtmark.net 299
1580669210.442284446 4 my.rtmark.net my.rtmark.net 299
1580669210.442284446 5 my.rtmark.net my.rtmark.net 299
1580669210.831597699 1 servicer.mgid.com servicer.mgid.com 188
1580669210.831597699 2 servicer.mgid.com servicer.mgid.com 188
1580669210.831597699 3 servicer.mgid.com servicer.mgid.com 188
1580669210.831597699 4 servicer.mgid.com servicer.mgid.com 188
1580669210.831597699 5 servicer.mgid.com servicer.mgid.com 188
1580669210.839408522 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1580669210.839408522 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580669211.043692329 1 cm.steepto.com cm.steepto.com 181
1580669211.043692329 2 cm.steepto.com cm.steepto.com 181
1580669211.043692329 3 cm.steepto.com cm.steepto.com 181
1580669211.043692329 4 cm.steepto.com cm.steepto.com 181
1580669211.043692329 5 cm.steepto.com cm.steepto.com 181
1580669211.124728099 1 cdn.steepto.com cdn.steepto.com 268
1580669211.124728099 2 cdn.steepto.com cdn.steepto.com 268
1580669211.124728099 3 cdn.steepto.com cdn.steepto.com 268
1580669211.124728099 4 cdn.steepto.com cdn.steepto.com 268
1580669211.124728099 5 cdn.steepto.com cdn.steepto.com 268
1580669211.126796021 1 s-img.mgid.com s-img.mgid.com 210
1580669211.126796021 2 s-img.mgid.com s-img.mgid.com 210
1580669211.126796021 3 s-img.mgid.com s-img.mgid.com 210
1580669211.126796021 4 s-img.mgid.com s-img.mgid.com 210
1580669211.126796021 5 s-img.mgid.com s-img.mgid.com 210
1580669211.142631007 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 823
1580669211.142631007 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 786
1580669211.142631007 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1580669211.323396755 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 10765
1580669211.323396755 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 43
1580669211.323396755 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 43
1580669211.480920682 1 cm.mgid.com cm.mgid.com 248
1580669211.480920682 2 cm.mgid.com cm.mgid.com 248
1580669211.480920682 3 cm.mgid.com cm.mgid.com 248
1580669211.480920682 4 cm.mgid.com cm.mgid.com 248
1580669211.480920682 5 cm.mgid.com cm.mgid.com 248
1580669212.184960855 1 <Root> mrxrdqeplblrh 86380
1580669212.185130578 1 <Root> cynairi 86398
1580669212.185372500 1 <Root> vhmllaypzlvp 86397
1580669215.189649620 1 ssl.gstatic.com ssl.gstatic.com 299
1580669221.834427853 1 update.googleapis.com update.googleapis.com 299
