1579671602.930129477 1 www.gstatic.com www.gstatic.com 80
1579671603.107121955 1 freelancer.com freelancer.com 59
1579671603.107121955 2 freelancer.com freelancer.com 59
1579671603.107121955 3 freelancer.com freelancer.com 59
1579671603.153370194 1 accounts.google.com accounts.google.com 80
1579671603.751191960 1 www.freelancer.com freelancer.map.fastly.net 59
1579671603.751191960 2 freelancer.map.fastly.net freelancer.map.fastly.net 29
1579671603.751191960 3 freelancer.map.fastly.net freelancer.map.fastly.net 29
1579671603.751191960 4 freelancer.map.fastly.net freelancer.map.fastly.net 29
1579671603.751191960 5 freelancer.map.fastly.net www.freelancer.com 29
1579671603.978660876 1 www.f-cdn.com freelancer.com.edgekey.net 2135
1579671603.978660876 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 299
1579671603.978660876 3 e3660.e2.akamaiedge.net www.f-cdn.com 19
1579671604.097786839 1 cdn2.f-cdn.com freelancer.com.edgekey.net 3051
1579671604.097786839 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 31
1579671604.097786839 3 e3660.e2.akamaiedge.net cdn2.f-cdn.com 19
1579671604.098188907 1 cdn3.f-cdn.com freelancer.com.edgekey.net 2808
1579671604.098188907 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 21
1579671604.098188907 3 e3660.e2.akamaiedge.net cdn3.f-cdn.com 19
1579671604.119055701 1 cdn4.f-cdn.com freelancer.com.edgekey.net 3267
1579671604.119055701 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 299
1579671604.119055701 3 e3660.e2.akamaiedge.net cdn4.f-cdn.com 19
1579671604.171021499 1 cdn5.f-cdn.com freelancer.com.edgekey.net 3566
1579671604.171021499 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 266
1579671604.171021499 3 e3660.e2.akamaiedge.net cdn5.f-cdn.com 19
1579671604.178910941 1 developers.freelancer.com developers.freelancer.com 59
1579671604.178910941 2 developers.freelancer.com developers.freelancer.com 59
1579671604.178910941 3 developers.freelancer.com developers.freelancer.com 59
1579671604.178910941 4 developers.freelancer.com developers.freelancer.com 59
1579671604.185629382 1 cdn6.f-cdn.com freelancer.com.edgekey.net 59
1579671604.185629382 2 freelancer.com.edgekey.net e3660.e2.akamaiedge.net 299
1579671604.185629382 3 e3660.e2.akamaiedge.net cdn6.f-cdn.com 19
