1580645062.353630572 1 www.gstatic.com www.gstatic.com 299
1580645062.535860322 1 fshare.vn fshare.vn 299
1580645062.535860322 2 fshare.vn fshare.vn 299
1580645062.535860322 3 fshare.vn fshare.vn 299
1580645062.609825580 1 accounts.google.com accounts.google.com 299
1580645067.200415787 1 www.fshare.vn fshare.vn 21532
1580645067.200415787 2 fshare.vn fshare.vn 299
1580645067.200415787 3 fshare.vn fshare.vn 299
1580645067.200415787 4 fshare.vn www.fshare.vn 299
1580645069.294817024 1 <Root> wzaetmz 86394
1580645069.295068403 1 <Root> fpfgwjse 86398
1580645069.295357790 1 <Root> kydicmft 86398
1580645070.748496819 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 182
1580645070.748496819 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 182
1580645070.776225425 1 fonts.googleapis.com fonts.googleapis.com 299
1580645070.888984262 1 fonts.gstatic.com gstaticadssl.l.google.com 196
1580645070.888984262 2 gstaticadssl.l.google.com fonts.gstatic.com 196
1580645071.393456412 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1580645071.393456412 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1580645071.507110115 1 media1.admicro.vn media1.admicro.vn 149
1580645072.295162312 1 ssl.gstatic.com ssl.gstatic.com 91
1580645072.497019680 1 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 2 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 3 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 4 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 5 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 6 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 7 storage.fshare.vn storage.fshare.vn 271
1580645072.497019680 8 storage.fshare.vn storage.fshare.vn 271
1580645073.964202928 1 www.googletagservices.com pagead46.l.doubleclick.net 21430
1580645073.964202928 2 pagead46.l.doubleclick.net www.googletagservices.com 130
1580645074.087736630 1 adservice.google.es pagead46.l.doubleclick.net 299
1580645074.087736630 2 pagead46.l.doubleclick.net adservice.google.es 299
1580645074.090465470 1 adservice.google.com pagead46.l.doubleclick.net 299
1580645074.090465470 2 pagead46.l.doubleclick.net adservice.google.com 299
1580645074.274106353 1 ss.yomedia.vn ss.yomedia.vn 327
1580645074.274106353 2 ss.yomedia.vn ss.yomedia.vn 327
1580645074.274106353 3 ss.yomedia.vn ss.yomedia.vn 327
1580645074.274106353 4 ss.yomedia.vn ss.yomedia.vn 327
1580645074.274911349 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 299
1580645074.274911349 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1580645074.442156895 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 282
1580645074.442156895 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 282
1580645079.683413034 1 clients1.google.com clients.l.google.com 299
1580645079.683413034 2 clients.l.google.com clients1.google.com 299
1580645079.695049497 1 hb.gammaplatform.com hb.gammaplatform.com 3206
1580645079.710014455 1 translate.googleapis.com translate.googleapis.com 299
1580645080.511108160 1 x.bidswitch.net alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 106
1580645080.511108160 2 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 3 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 4 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 5 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 6 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 7 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 8 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com 34
1580645080.511108160 9 alb-aws-fr-bswx-1-445786803.eu-central-1.elb.amazonaws.com x.bidswitch.net 34
1580645080.520256858 1 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 2 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 3 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 4 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 5 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 6 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 7 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 8 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 9 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 10 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 11 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 12 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 13 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 14 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 15 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 16 gocm.c.appier.net gocm.c.appier.net 171
1580645080.520256858 17 gocm.c.appier.net gocm.c.appier.net 171
1580645080.522881033 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 701
1580645080.522881033 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 49
1580645080.522881033 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 49
1580645080.529075146 1 csync.loopme.me csync.loopme.me 70
1580645080.529075146 2 csync.loopme.me csync.loopme.me 70
1580645080.529075146 3 csync.loopme.me csync.loopme.me 70
1580645080.529075146 4 csync.loopme.me csync.loopme.me 70
1580645080.529075146 5 csync.loopme.me csync.loopme.me 70
1580645080.543815789 1 sync-tm.everesttech.net sync.tubemogul.com 10690
1580645080.543815789 2 sync.tubemogul.com syncf.tubemogul.com 18
1580645080.543815789 3 syncf.tubemogul.com h2.shared.global.fastly.net 3276
1580645080.543815789 4 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1580645080.543815789 5 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1580645080.543815789 6 h2.shared.global.fastly.net h2.shared.global.fastly.net 29
1580645080.543815789 7 h2.shared.global.fastly.net sync-tm.everesttech.net 29
1580645080.556405581 1 dsp-trk.eskimi.com dsp-trk.eskimi.com 59
1580645080.556439548 1 tr.brand-display.com tr.brand-display.com 59
1580645080.556439548 2 tr.brand-display.com tr.brand-display.com 59
1580645080.556439548 3 tr.brand-display.com tr.brand-display.com 59
1580645080.647403214 1 cm.gammaplatform.com cm.gammaplatform.com 3305
1580645080.661160156 1 cm.ambientdsp.com cm.ambientdsp.com 3092
1580645081.324430091 1 ads.pubmatic.com pubmatic.edgekey.net 498
1580645081.324430091 2 pubmatic.edgekey.net e6603.g.akamaiedge.net 4361
1580645081.324430091 3 e6603.g.akamaiedge.net ads.pubmatic.com 19
1580645082.261130034 1 www.google-analytics.com www-google-analytics.l.google.com 21366
1580645082.261130034 2 www-google-analytics.l.google.com www.google-analytics.com 66
1580645082.868208653 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 21365
1580645082.868208653 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1580645082.931634216 1 connect.facebook.net scontent.xx.fbcdn.net 2594
1580645082.931634216 2 scontent.xx.fbcdn.net connect.facebook.net 41
1580645083.126374683 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1580645083.126374683 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580645083.126374683 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580645083.126374683 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580645083.126374683 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1580645083.268817498 1 www.google.com www.google.com 235
1580645083.365290412 1 www.google.es www.google.es 102
1580645083.634034095 1 www.facebook.com star-mini.c10r.facebook.com 2290
1580645083.634034095 2 star-mini.c10r.facebook.com www.facebook.com 52
1580645084.462213157 1 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 2 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 3 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 4 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 5 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 6 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 7 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 8 analytics.yomedia.vn analytics.yomedia.vn 100
1580645084.462213157 9 analytics.yomedia.vn analytics.yomedia.vn 100
1580645090.471058931 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 295
1580645090.471058931 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 295
1580645090.471108007 1 ubuntu.com connectivity-check.ubuntu.com 574
