1579647904.312500350 1 google.ca google.ca 299
1579647904.387338635 1 www.google.ca www.google.ca 299
1579647904.637182355 1 consent.google.com consent.google.com 299
1579647904.660471685 1 ssl.gstatic.com ssl.gstatic.com 299
1579647904.704707470 1 www.gstatic.com www.gstatic.com 299
1579647905.255092670 1 apis.google.com plus.l.google.com 21599
1579647905.255092670 2 plus.l.google.com apis.google.com 299
1579647905.294515718 1 ogs.google.com www3.l.google.com 3534
1579647905.294515718 2 www3.l.google.com ogs.google.com 299
1579647905.383476711 1 csi.gstatic.com csi.gstatic.com 299
1579647906.706213971 1 adservice.google.ca pagead46.l.doubleclick.net 299
1579647906.706213971 2 pagead46.l.doubleclick.net adservice.google.ca 299
1579647914.687952101 1 detectportal.firefox.com detectportal.prod.mozaws.net 50
1579647914.687952101 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 27
1579647914.687952101 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 5552
1579647914.687952101 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579647914.687952101 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579647914.688696277 1 detectportal.firefox.com detectportal.prod.mozaws.net 7
1579647914.688696277 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 10
1579647914.688696277 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 5741
1579647914.688696277 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579647914.688696277 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579647914.814410070 1 mozilla.org mozilla.org 19
1579647914.816660837 1 mozilla.org mozilla.org 1799
1579647914.816694712 1 mozilla.org mozilla.org 18
1579647914.824834198 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 22
1579647914.824834198 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 46
1579647914.824834198 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 46
1579647914.824834198 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 46
1579647914.824865264 1 location.services.mozilla.com prod.mozaws.net 47
1579647914.824865264 2 prod.mozaws.net location.services.mozilla.com 287
1579647914.845137620 1 detectportal.firefox.com detectportal.prod.mozaws.net 7
1579647914.845137620 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 10
1579647914.845137620 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 5741
1579647914.845137620 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579647914.845137620 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579647914.845174087 1 detectportal.firefox.com detectportal.prod.mozaws.net 15
1579647914.845174087 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 37
1579647914.845174087 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4569
1579647914.845174087 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579647914.845174087 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579647915.011074091 1 ocsp.digicert.com cs9.wac.phicdn.net 13838
1579647915.011074091 2 cs9.wac.phicdn.net ocsp.digicert.com 1442
1579647915.030740846 1 ocsp.digicert.com wac.phicdn.net 14901
1579647915.030740846 2 wac.phicdn.net ocsp.digicert.com 525
1579647915.683655048 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 23
1579647915.683655048 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579647915.683655048 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579647915.683655048 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579647915.683655048 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579647915.683703387 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 23
1579647915.683703387 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579647916.730911316 1 shavar.services.mozilla.com shavar.prod.mozaws.net 56
1579647916.730911316 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 56
1579647916.730911316 3 shavar.prod
