1579742286.527867823 1 google.co.cr google.co.cr 299
1579742286.586328140 1 www.google.co.cr www.google.co.cr 299
1579742286.856533765 1 consent.google.com consent.google.com 299
1579742286.861214392 1 ssl.gstatic.com ssl.gstatic.com 243
1579742286.895946854 1 www.gstatic.com www.gstatic.com 220
1579742287.463924806 1 apis.google.com plus.l.google.com 21569
1579742287.463924806 2 plus.l.google.com apis.google.com 269
1579742287.497423892 1 ogs.google.com www3.l.google.com 3599
1579742287.497423892 2 www3.l.google.com ogs.google.com 299
1579742287.588605945 1 adservice.google.co.cr pagead46.l.doubleclick.net 299
1579742287.588605945 2 pagead46.l.doubleclick.net adservice.google.co.cr 299
1579742295.529478326 1 detectportal.firefox.com detectportal.prod.mozaws.net 2
1579742295.529478326 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 29
1579742295.529478326 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21426
1579742295.529478326 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579742295.529478326 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579742295.530553430 1 detectportal.firefox.com detectportal.prod.mozaws.net 6
1579742295.530553430 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 14
1579742295.530553430 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1759
1579742295.530553430 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579742295.530553430 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579742295.633578620 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 42
1579742295.633578620 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 15
1579742295.633578620 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 15
1579742295.633578620 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 15
1579742295.647825467 1 mozilla.org mozilla.org 10
1579742295.650042831 1 mozilla.org mozilla.org 39
1579742295.653657262 1 location.services.mozilla.com prod.mozaws.net 15
1579742295.653657262 2 prod.mozaws.net location.services.mozilla.com 12
1579742295.670178300 1 mozilla.org mozilla.org 1798
1579742295.677944091 1 detectportal.firefox.com detectportal.prod.mozaws.net 17
1579742295.677944091 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 47
1579742295.677944091 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18825
1579742295.677944091 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579742295.677944091 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579742295.680088000 1 detectportal.firefox.com detectportal.prod.mozaws.net 17
1579742295.680088000 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 47
1579742295.680088000 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18825
1579742295.680088000 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579742295.680088000 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579742295.811870916 1 ocsp.digicert.com cs9.wac.phicdn.net 12518
1579742295.811870916 2 cs9.wac.phicdn.net ocsp.digicert.com 2596
1579742295.811919662 1 ocsp.digicert.com wac.phicdn.net 11624
1579742295.811919662 2 wac.phicdn.net ocsp.digicert.com 575
1579742296.464919572 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 17
1579742296.464919572 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579742296.464919572 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579742296.464919572 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579742296.464919572 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579742296.466646486 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 40
1579742296.466646486 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579742297.398347903 1 shavar.services.mozilla.com shavar.prod.mozaws.net 52
1579742297.398347903 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 52
1579742297.398347903 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 52
1
