1579708525.669759735 1 gov.taipei gov.taipei 12851
1579708534.260285321 1 detectportal.firefox.com detectportal.prod.mozaws.net 33
1579708534.260285321 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1579708534.260285321 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 5397
1579708534.260285321 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579708534.260285321 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579708534.260350313 1 detectportal.firefox.com detectportal.prod.mozaws.net 51
1579708534.260350313 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 22
1579708534.260350313 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 11999
1579708534.260350313 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579708534.260350313 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579708534.357928379 1 mozilla.org mozilla.org 45
1579708534.362132565 1 mozilla.org mozilla.org 3
1579708534.362353089 1 mozilla.org mozilla.org 1783
1579708534.365552587 1 location.services.mozilla.com prod.mozaws.net 24
1579708534.365552587 2 prod.mozaws.net location.services.mozilla.com 146
1579708534.385324567 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 48
1579708534.385324567 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 36
1579708534.385324567 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 36
1579708534.385324567 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 36
1579708534.385862613 1 detectportal.firefox.com detectportal.prod.mozaws.net 33
1579708534.385862613 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1579708534.385862613 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 5397
1579708534.385862613 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579708534.385862613 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579708534.410768593 1 detectportal.firefox.com detectportal.prod.mozaws.net 22
1579708534.410768593 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 9
1579708534.410768593 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12885
1579708534.410768593 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579708534.410768593 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579708534.584304946 1 ocsp.digicert.com cs9.wac.phicdn.net 12786
1579708534.584304946 2 cs9.wac.phicdn.net ocsp.digicert.com 3443
1579708534.584331637 1 ocsp.digicert.com wac.phicdn.net 8977
1579708534.584331637 2 wac.phicdn.net ocsp.digicert.com 528
1579708535.220707595 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 53
1579708535.220707595 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579708535.220707595 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579708535.220707595 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579708535.220707595 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579708535.222165772 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 45
1579708535.222165772 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579708536.212533828 1 shavar.services.mozilla.com prod.mozaws.net 25
1579708536.212533828 2 prod.mozaws.net shavar.services.mozilla.com 43
1579708536.212570530 1 shavar.services.mozilla.com shavar.prod.mozaws.net 18
1579708536.212570530 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 21
1579708536.212570530 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 21
1579708536.212570530 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 21
1579708536.212570530 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 21
1579708536.212570530 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 21
1579708536.212570530 7 shavar.prod.mozaws.net shavar.services.mozilla.com 21
1579708536.225623520 1 push.services.mozilla.com autopush.prod.mozaws.net 8
1579708536.225623520 2 autopush.prod.mozaws.net push.services.mozilla.com 8
1579708536.225657410 1 push.services.mozilla.com prod.mozaws.n
