1580651488.131627233 1 www.gstatic.com www.gstatic.com 299
1580651488.318130320 1 accounts.google.com accounts.google.com 299
1580651488.647651958 1 gushiwen.org gushiwen.org 599
1580651492.653350805 1 www.gushiwen.org www.gushiwen.org.w.cdngslb.com 599
1580651492.653350805 2 www.gushiwen.org.w.cdngslb.com www.gushiwen.org.w.cdngslb.com 59
1580651492.653350805 3 www.gushiwen.org.w.cdngslb.com www.gushiwen.org.w.cdngslb.com 59
1580651492.653350805 4 www.gushiwen.org.w.cdngslb.com www.gushiwen.org.w.cdngslb.com 59
1580651492.653350805 5 www.gushiwen.org.w.cdngslb.com www.gushiwen.org.w.cdngslb.com 59
1580651492.653350805 6 www.gushiwen.org.w.cdngslb.com www.gushiwen.org.w.cdngslb.com 59
1580651492.653350805 7 www.gushiwen.org.w.cdngslb.com www.gushiwen.org 59
1580651493.128233483 1 hm.baidu.com hm.e.shifen.com 434
1580651493.128233483 2 hm.e.shifen.com hm.baidu.com 299
1580651493.454088399 1 song.gushiwen.org song.gushiwen.org.cdn.dnsv1.com 3599
1580651493.454088399 2 song.gushiwen.org.cdn.dnsv1.com 1942197.dispatch.spcdntip.com 599
1580651493.454088399 3 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 4 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 5 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 6 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 7 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 8 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 9 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 10 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 11 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 12 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 13 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 14 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 15 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 16 1942197.dispatch.spcdntip.com 1942197.dispatch.spcdntip.com 59
1580651493.454088399 17 1942197.dispatch.spcdntip.com song.gushiwen.org 59
1580651493.590836124 1 clients1.google.com clients.l.google.com 299
1580651493.590836124 2 clients.l.google.com clients1.google.com 299
1580651493.605516551 1 translate.googleapis.com translate.googleapis.com 299
1580651495.075359618 1 <Root> vidbhnmevqkfv 86394
1580651495.075424076 1 <Root> ocnnmsbuoan 86358
1580651495.076386999 1 <Root> ulqcxoizaup 86398
1580651498.078254954 1 ssl.gstatic.com ssl.gstatic.com 299
