1580705633.275533128 1 www.gstatic.com www.gstatic.com 208
1580705633.421522794 1 hesgoal.com hesgoal.com 112
1580705633.577401711 1 accounts.google.com accounts.google.com 299
1580705637.232396111 1 www.hesgoal.com www.hesgoal.com 299
1580705637.434680837 1 code.jquery.com cds.s5x3j6q5.hwcdn.net 53
1580705637.434680837 2 cds.s5x3j6q5.hwcdn.net code.jquery.com 151
1580705637.455515364 1 2.bp.blogspot.com photos-ugc.l.googleusercontent.com 21599
1580705637.455515364 2 photos-ugc.l.googleusercontent.com 2.bp.blogspot.com 299
1580705637.462467572 1 3.bp.blogspot.com photos-ugc.l.googleusercontent.com 21599
1580705637.462467572 2 photos-ugc.l.googleusercontent.com 3.bp.blogspot.com 299
1580705637.464627912 1 4.bp.blogspot.com photos-ugc.l.googleusercontent.com 21599
1580705637.464627912 2 photos-ugc.l.googleusercontent.com 4.bp.blogspot.com 299
1580705637.480827519 1 1.bp.blogspot.com photos-ugc.l.googleusercontent.com 21599
1580705637.480827519 2 photos-ugc.l.googleusercontent.com 1.bp.blogspot.com 299
1580705637.484537279 1 platform.twitter.com cs472.wac.edgecastcdn.net 24
1580705637.484537279 2 cs472.wac.edgecastcdn.net cs1-apr-8315.wac.edgecastcdn.net 3599
1580705637.484537279 3 cs1-apr-8315.wac.edgecastcdn.net wac.apr-8315.edgecastdns.net 3599
1580705637.484537279 4 wac.apr-8315.edgecastdns.net cs1-lb-eu.8315.ecdns.net 299
1580705637.484537279 5 cs1-lb-eu.8315.ecdns.net cs491.wac.edgecastcdn.net 299
1580705637.484537279 6 cs491.wac.edgecastcdn.net platform.twitter.com 3599
1580705637.485937307 1 upload.wikimedia.org upload.wikimedia.org 599
1580705637.506125113 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 212
1580705637.506125113 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 212
1580705637.525585468 1 get.geojs.io get.geojs.io 15
1580705637.525585468 2 get.geojs.io get.geojs.io 15
1580705637.606162854 1 st.chatango.com st.chatango.com 299
1580705637.606162854 2 st.chatango.com st.chatango.com 299
1580705637.606162854 3 st.chatango.com st.chatango.com 299
1580705637.606162854 4 st.chatango.com st.chatango.com 299
1580705637.606162854 5 st.chatango.com st.chatango.com 299
1580705637.606162854 6 st.chatango.com st.chatango.com 299
1580705637.606842767 1 i.imgur.com prod.imgur.map.fastlylb.net 21152
1580705637.606842767 2 prod.imgur.map.fastlylb.net i.imgur.com 29
1580705637.818961495 1 jsc.mgid.com jsc.mgid.com 112
1580705637.818961495 2 jsc.mgid.com jsc.mgid.com 112
1580705637.818961495 3 jsc.mgid.com jsc.mgid.com 112
1580705637.818961495 4 jsc.mgid.com jsc.mgid.com 112
1580705637.818961495 5 jsc.mgid.com jsc.mgid.com 112
1580705637.855056615 1 twitter.com twitter.com 1792
1580705637.855056615 2 twitter.com twitter.com 1792
1580705637.931184797 1 s10.histats.com s10.histats.com.web.cdn.anycast.me 881
1580705637.931184797 2 s10.histats.com.web.cdn.anycast.me 46-105-201-240.any.cdn.anycast.me 298
1580705637.931184797 3 46-105-201-240.any.cdn.anycast.me s10.histats.com 21598
1580705638.095564314 1 translate.googleapis.com translate.googleapis.com 299
1580705638.182192268 1 s4.histats.com s4.histats.com 1724
1580705638.182192268 2 s4.histats.com s4.histats.com 1724
1580705638.182192268 3 s4.histats.com s4.histats.com 1724
1580705638.182192268 4 s4.histats.com s4.histats.com 1724
1580705638.182192268 5 s4.histats.com s4.histats.com 1724
1580705638.182192268 6 s4.histats.com s4.histats.com 1724
1580705638.182192268 7 s4.histats.com s4.histats.com 1724
1580705638.182192268 8 s4.histats.com s4.histats.com 1724
1580705638.284474962 1 syndication.twitter.com syndication.twitter.com 1280
1580705638.284474962 2 syndication.twitter.com syndication.twitter.com 1280
1580705638.284474962 3 syndication.twitter.com syndication.twitter.com 1280
1580705638.284474962 4 syndication.twitter.com syndication.twitter.com 1280
1580705638.566189173 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1580705638.566189173 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580705638.579271902 1 servicer.mgid.com servicer.mgid.com 299
1580705638.579271902 2 servicer.mgid.com servicer.mgid.com 299
1580705638.579271902 3 servicer.mgid.com servicer.mgid.com 299
1580705638.579271902 4 servicer.mgid.com servicer.mgid.com 299
1580705638.579271902 5 servicer.mgid.com servicer.mgid.com 299
1580705638.835107517 1 cm.steepto.com cm.steepto.com 255
1580705638.835107517 2 cm.steepto.com cm.steepto.com 255
1580705638.835107517 3 cm.steepto.com cm.steepto.com 255
1580705638.835107517 4 cm.steepto.com cm.steepto.com 255
1580705638.835107517 5 cm.steepto.com cm.steepto.com 255
1580705638.911517024 1 cdn.steepto.com cdn.steepto.com 5
1580705638.911517024 2 cdn.steepto.com cdn.steepto.com 5
1580705638.911517024 3 cdn.steepto.com cdn.steepto.com 5
1580705638.911517024 4 cdn.steepto.com cdn.steepto.com 5
1580705638.911517024 5 cdn.steepto.com cdn.steepto.com 5
1580705638.911747277 1 s-img.steepto.com s-img.steepto.com 238
1580705638.911747277 2 s-img.steepto.com s-img.steepto.com 238
1580705638.911747277 3 s-img.steepto.com s-img.steepto.com 238
1580705638.911747277 4 s-img.steepto.com s-img.steepto.com 238
1580705638.911747277 5 s-img.steepto.com s-img.steepto.com 238
1580705638.913063976 1 b.scorecardresearch.com b.scorecardresearch.com.edgesuite.net 21575
1580705638.913063976 2 b.scorecardresearch.com.edgesuite.net a1294.w20.akamai.net 3556
1580705638.913063976 3 a1294.w20.akamai.net a1294.w20.akamai.net 19
1580705638.913063976 4 a1294.w20.akamai.net b.scorecardresearch.com 19
1580705638.936735201 1 <Root> slimberry 44971
1580705638.951423610 1 <Root> qbodylabs 86397
1580705638.963868729 1 brainberries.co brainberries.co 299
1580705638.963868729 2 brainberries.co brainberries.co 299
1580705638.969623561 1 steepto.com steepto.com 173
1580705638.969623561 2 steepto.com steepto.com 173
1580705638.969623561 3 steepto.com steepto.com 173
1580705638.969623561 4 steepto.com steepto.com 173
1580705638.969623561 5 steepto.com steepto.com 173
1580705638.978416493 1 <Root> xn--un_remedio_simple_para_combatir_la_psoriasis_en_7_das-w3e 86383
1580705639.263272434 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 10799
1580705639.263272434 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 54
1580705639.263272434 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 54
1580705639.414391266 1 cm.mgid.com cm.mgid.com 87
1580705639.414391266 2 cm.mgid.com cm.mgid.com 87
1580705639.414391266 3 cm.mgid.com cm.mgid.com 87
1580705639.414391266 4 cm.mgid.com cm.mgid.com 87
1580705639.414391266 5 cm.mgid.com cm.mgid.com 87
1580705639.934975109 1 www.google-analytics.com www-google-analytics.l.google.com 21364
1580705639.934975109 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580705640.142579022 1 s17.chatango.com s17.chatango.com 299
1580705640.160545152 1 ust.chatango.com ust.chatango.com 222
1580705640.160545152 2 ust.chatango.com ust.chatango.com 222
1580705640.160545152 3 ust.chatango.com ust.chatango.com 222
1580705640.160545152 4 ust.chatango.com ust.chatango.com 222
1580705640.160545152 5 ust.chatango.com ust.chatango.com 222
1580705640.160545152 6 ust.chatango.com ust.chatango.com 222
1580705640.213125576 1 <Root> ppukseoxuvwnqy 86384
1580705640.214349196 1 <Root> ynysijbalul 86357
1580705640.214995675 1 <Root> hldziphw 86367
1580705640.265411468 1 clients1.google.com clients.l.google.com 207
1580705640.265411468 2 clients.l.google.com clients1.google.com 207
1580705640.390564980 1 silktide.com silktide.com 130
1580705643.215076857 1 ssl.gstatic.com ssl.gstatic.com 125
1580705650.438988233 1 update.googleapis.com update.googleapis.com 299
