1579654300.449735479 1 hip2save.com hip2save.com 708
1579654301.539804502 1 fonts.googleapis.com fonts.googleapis.com 299
1579654301.546375029 1 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579654301.546375029 2 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579654301.546375029 3 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579654301.546375029 4 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579654302.455542182 1 ap.lijit.com vap.lijit.com 4642
1579654302.455542182 2 vap.lijit.com vap.lijit.com 232
1579654302.455542182 3 vap.lijit.com vap.lijit.com 232
1579654302.455542182 4 vap.lijit.com vap.lijit.com 232
1579654302.455542182 5 vap.lijit.com vap.lijit.com 232
1579654302.455542182 6 vap.lijit.com vap.lijit.com 232
1579654302.455542182 7 vap.lijit.com ap.lijit.com 232
1579654302.465401951 1 www.google.com www.google.com 63
1579654302.477621719 1 assets.pinterest.com s.pinimg.com 2901
1579654302.477621719 2 s.pinimg.com s-pinimg-com.gslb.pinterest.com 225
1579654302.477621719 3 s-pinimg-com.gslb.pinterest.com 2-01-37d2-0006.cdx.cedexis.net 2632
1579654302.477621719 4 2-01-37d2-0006.cdx.cedexis.net dualstack.pinterest.map.fastly.net 531
1579654302.477621719 5 dualstack.pinterest.map.fastly.net assets.pinterest.com 29
1579654302.480459149 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 299
1579654302.480459149 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1579654302.482174307 1 secure.adnxs.com g.geogslb.com 6232
1579654302.482174307 2 g.geogslb.com ib.anycast.adnxs.com 10799
1579654302.482174307 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 14
1579654302.482174307 10 ib.anycast.adnxs.com secure.adnxs.com 14
1579654302.487896637 1 www.googletagservices.com pagead46.l.doubleclick.net 21518
1579654302.487896637 2 pagead46.l.doubleclick.net www.googletagservices.com 218
1579654302.491829268 1 ecdn.analysis.fi ecdn.analysis.fi 21532
1579654302.491829268 2 ecdn.analysis.fi ecdn.analysis.fi 21532
1579654302.597627855 1 ecdn.firstimpression.io ecdn.firstimpression.io 21599
1579654302.597627855 2 ecdn.firstimpression.io ecdn.firstimpression.io 21599
1579654302.597627855 3 ecdn.firstimpression.io ecdn.firstimpression.io 21599
1579654302.722028256 1 www.googletagmanager.com www-googletagmanager.l.google.com 21457
1579654302.722028256 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579654302.788232246 1 fastlane.rubiconproject.com optimized-by.rubiconproject.net.akadns.net 459
1579654302.788232246 2 optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 3 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 4 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 5 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 6 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 7 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 597
1579654302.788232246 8 perf-optimized-by.rubiconproject.net.akadns.net fastlane.rubiconproject.com 597
1579654302.810614858 1 adserver-us.adtech.advertising.com cs671.wpc.thetacdn.net 61
1579654302.810614858 2 cs671.wpc.thetacdn.net cs671.lb.wpc.apr-1b09e.edgecastdns.net 3599
1579654302.810614858 3 cs671.lb.wpc.apr-1b09e.edgecastdns.net cs925.wpc.thetacdn.net 299
1579654302.810614858 4 cs925.wpc.thetacdn.net adserver-us.adtech.advertising.com 3599
1579654302.818753130 1 chimpstatic.com chimpstatic.com 19
1579654302.823847538 1 tag.1rx.io tag.1rx.io 59
1579654302.828537696 1 as-sec.casalemedia.com as-sec.casalemedia.com.edgekey.net 8466
1579654302.828537696 2 as-sec.casalemedia.com.edgekey.net e8037.g.akamaiedge.net 9374
1579654302.828537696 3 e8037.g.akamaiedge.net as-sec.casalemedia.com 19
1579654302.829036777 1 ib.adnxs.com g.geogslb.com 13962
1579654302.829036777 2 g.geogslb.com ib.anycast.adnxs.com 10732
