1579722027.241459570 1 www.gstatic.com www.gstatic.com 299
1579722027.404157566 1 housebeautiful.com housebeautiful.com 299
1579722027.404157566 2 housebeautiful.com housebeautiful.com 299
1579722027.404157566 3 housebeautiful.com housebeautiful.com 299
1579722027.404157566 4 housebeautiful.com housebeautiful.com 299
1579722027.469977543 1 accounts.google.com accounts.google.com 299
1579722031.280715386 1 www.housebeautiful.com hearst-hdm.map.fastly.net 138
1579722031.280715386 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.280715386 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.280715386 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.280715386 5 hearst-hdm.map.fastly.net www.housebeautiful.com 29
1579722031.501592933 1 assets.hearstapps.com hearst-hdm.map.fastly.net 38
1579722031.501592933 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.501592933 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.501592933 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.501592933 5 hearst-hdm.map.fastly.net assets.hearstapps.com 29
1579722031.503879822 1 hips.hearstapps.com hearst-hdm.map.fastly.net 45
1579722031.503879822 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.503879822 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.503879822 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.503879822 5 hearst-hdm.map.fastly.net hips.hearstapps.com 29
1579722031.527565212 1 glimmer.hearstapps.com hearst-hdm.map.fastly.net 43
1579722031.527565212 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.527565212 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.527565212 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579722031.527565212 5 hearst-hdm.map.fastly.net glimmer.hearstapps.com 29
1579722031.534104865 1 nexus.ensighten.com nexus.ensighten.com 119
1579722032.063669967 1 c.evidon.com wildcard.evidon.com.edgekey.net 542
1579722032.063669967 2 wildcard.evidon.com.edgekey.net e12841.d.akamaiedge.net 9535
1579722032.063669967 3 e12841.d.akamaiedge.net c.evidon.com 19
