1579662487.825356063 1 kojaro.com kojaro.com 299
1579662488.646554472 1 www.kojaro.com www.kojaro.com 252
1579662489.079661330 1 images.kojaro.com images.kojaro.com 268
1579662493.809088401 1 www.googletagmanager.com www-googletagmanager.l.google.com 21394
1579662493.809088401 2 www-googletagmanager.l.google.com www.googletagmanager.com 94
1579662494.418568421 1 static.hotjar.com static.hotjar.com.c.section.io 2066
1579662494.418568421 2 static.hotjar.com.c.section.io map16-100.s.section.io 45
1579662494.418568421 3 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 4 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 5 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 6 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 7 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 8 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 9 map16-100.s.section.io map16-100.s.section.io 73
1579662494.418568421 10 map16-100.s.section.io static.hotjar.com 73
1579662494.435363346 1 www.google-analytics.com www-google-analytics.l.google.com 21330
1579662494.435363346 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579662494.444257025 1 rtb.adtube.ir rtb.adtube.ir 149
1579662494.454622300 1 app.najva.com app.najva.com 249
1579662494.454622300 2 app.najva.com app.najva.com 249
1579662494.468178196 1 kojaro.hirkan-co.com kojaro.hirkan-co.com 299
1579662494.468178196 2 kojaro.hirkan-co.com kojaro.hirkan-co.com 299
1579662494.480622592 1 landing.atighgasht.com landing.atighgasht.com 179
1579662494.480622592 2 landing.atighgasht.com landing.atighgasht.com 179
1579662494.687903115 1 script.hotjar.com script.hotjar.com.c.section.io 915
1579662494.687903115 2 script.hotjar.com.c.section.io map16-100.s.section.io 161
1579662494.687903115 3 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 4 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 5 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 6 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 7 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 8 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 9 map16-100.s.section.io map16-100.s.section.io 119
1579662494.687903115 10 map16-100.s.section.io script.hotjar.com 119
1579662494.842738579 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
