1579649242.483187673 1 www.gstatic.com www.gstatic.com 242
1579649242.601873786 1 leadfeeder.com leadfeeder.com 59
1579649242.601873786 2 leadfeeder.com leadfeeder.com 59
1579649242.601873786 3 leadfeeder.com leadfeeder.com 59
1579649242.601873786 4 leadfeeder.com leadfeeder.com 59
1579649242.634018169 1 accounts.google.com accounts.google.com 188
1579649246.368836107 1 www.leadfeeder.com www.leadfeeder.com 59
1579649246.368836107 2 www.leadfeeder.com www.leadfeeder.com 59
1579649246.368836107 3 www.leadfeeder.com www.leadfeeder.com 59
1579649246.368836107 4 www.leadfeeder.com www.leadfeeder.com 59
1579649246.731666732 1 fonts.googleapis.com fonts.googleapis.com 265
1579649246.787652527 1 www.google-analytics.com www-google-analytics.l.google.com 21437
1579649246.787652527 2 www-google-analytics.l.google.com www.google-analytics.com 137
1579649246.787843108 1 www.googletagmanager.com www-googletagmanager.l.google.com 21565
1579649246.787843108 2 www-googletagmanager.l.google.com www.googletagmanager.com 265
1579649246.914517322 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1579649246.914517322 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579649247.977377597 1 clients1.google.com clients.l.google.com 299
1579649247.977377597 2 clients.l.google.com clients1.google.com 299
1579649248.005611884 1 translate.googleapis.com translate.googleapis.com 299
1579649248.326417760 1 www.youtube.com youtube-ui.l.google.com 21525
1579649248.326417760 2 youtube-ui.l.google.com youtube-ui.l.google.com 225
1579649248.326417760 3 youtube-ui.l.google.com youtube-ui.l.google.com 225
1579649248.326417760 4 youtube-ui.l.google.com youtube-ui.l.google.com 225
1579649248.326417760 5 youtube-ui.l.google.com www.youtube.com 225
1579649248.368462626 1 trackcmp.net trackcmp.net 11
1579649248.368462626 2 trackcmp.net trackcmp.net 11
1579649248.368462626 3 trackcmp.net trackcmp.net 11
1579649248.368462626 4 trackcmp.net trackcmp.net 11
1579649248.368462626 5 trackcmp.net trackcmp.net 11
1579649248.380415727 1 snippet.growsumo.com snippet.growsumo.com 59
1579649248.380415727 2 snippet.growsumo.com snippet.growsumo.com 59
1579649248.380415727 3 snippet.growsumo.com snippet.growsumo.com 59
1579649248.380415727 4 snippet.growsumo.com snippet.growsumo.com 59
1579649248.397547332 1 static.hotjar.com static.hotjar.com.c.section.io 2379
1579649248.397547332 2 static.hotjar.com.c.section.io map16-100.s.section.io 242
1579649248.397547332 3 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 4 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 5 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 6 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 7 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 8 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 9 map16-100.s.section.io map16-100.s.section.io 119
1579649248.397547332 10 map16-100.s.section.io static.hotjar.com 119
1579649248.442297929 1 sc.lfeeder.com d1qeerccp1v4jj.cloudfront.net 265
1579649248.442297929 2 d1qeerccp1v4jj.cloudfront.net d1qeerccp1v4jj.cloudfront.net 59
1579649248.442297929 3 d1qeerccp1v4jj.cloudfront.net d1qeerccp1v4jj.cloudfront.net 59
1579649248.442297929 4 d1qeerccp1v4jj.cloudfront.net d1qeerccp1v4jj.cloudfront.net 59
1579649248.442297929 5 d1qeerccp1v4jj.cloudfront.net sc.lfeeder.com 59
1579649248.523850457 1 s.ytimg.com s.ytimg.com 299
1579649248.590107894 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579649248.590107894 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649248.590107894 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649248.590107894 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579649248.590107894 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579649248.606310801 1 grsm.io grsm.io 253
1579649248.664200423 1 tr.lfeeder.com dpbi5kubj17zo.cloudfront.net 299
1579649248.664200423 2 dpbi5kubj17zo.cloudfront.net dpbi5kubj17zo.cloudfront.net 59
1579649248.664200423 3 dpbi5kubj17zo.cloudfront.net dpbi5kubj17zo.cloudfront.net 59
1579649248.664200423 4 dpbi5kubj17zo.cloudfront.net dpbi5kubj17zo.cloudfront.net 59
1579649248.664200423 5 dpbi5kubj17zo.cloudfront.net tr.lfeeder.com 59
1579649248.687794313 1 script.hotjar.com script.hotjar.com.c.section.io 124
1579649248.687794313 2 script.hotjar.com.c.section.io map16-100.s.section.io 231
1579649248.687794313 3 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 4 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 5 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 6 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 7 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 8 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 9 map16-100.s.section.io map16-100.s.section.io 119
1579649248.687794313 10 map16-100.s.section.io script.hotjar.com 119
1579649248.688499310 1 www.google.com www.google.com 187
1579649248.773565932 1 vars.hotjar.com vars.hotjar.com.c.section.io 2911
1579649248.773565932 2 vars.hotjar.com.c.section.io map16-100.s.section.io 165
1579649248.773565932 3 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 4 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 5 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 6 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 7 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 8 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 9 map16-100.s.section.io map16-100.s.section.io 119
1579649248.773565932 10 map16-100.s.section.io vars.hotjar.com 119
1579649248.788617233 1 www.google.es www.google.es 299
1579649248.995644295 1 in.hotjar.com in.hotjar.com 41
1579649248.995644295 2 in.hotjar.com in.hotjar.com 41
1579649248.995644295 3 in.hotjar.com in.hotjar.com 41
