1579686209.585027964 1 www.gstatic.com www.gstatic.com 120
1579686209.686624543 1 libero.it libero.it 3068
1579686209.749943893 1 accounts.google.com accounts.google.com 299
1579686209.999673380 1 www.libero.it d31d9gezsyt1z8.cloudfront.net 26
1579686209.999673380 2 d31d9gezsyt1z8.cloudfront.net d31d9gezsyt1z8.cloudfront.net 59
1579686209.999673380 3 d31d9gezsyt1z8.cloudfront.net d31d9gezsyt1z8.cloudfront.net 59
1579686209.999673380 4 d31d9gezsyt1z8.cloudfront.net d31d9gezsyt1z8.cloudfront.net 59
1579686209.999673380 5 d31d9gezsyt1z8.cloudfront.net www.libero.it 59
1579686210.277678773 1 tags.crwdcntrl.net cs84.wac.edgecastcdn.net 20837
1579686210.277678773 2 cs84.wac.edgecastcdn.net tags.crwdcntrl.net 3242
1579686210.291155567 1 wips.plug.it wips.plug.it 38
1579686210.291155567 2 wips.plug.it wips.plug.it 38
1579686210.291155567 3 wips.plug.it wips.plug.it 38
1579686210.310899574 1 italiaonline01.wt-eu02.net italiaonline01.wt-eu02.net 237
1579686210.311109339 1 evnt.iol.it evnt.iol.it 148
1579686210.311109339 2 evnt.iol.it evnt.iol.it 148
1579686210.311109339 3 evnt.iol.it evnt.iol.it 148
1579686210.311368332 1 onetag.mgr.consensu.org onetag.mgr.consensu.org 671
1579686210.311368332 2 onetag.mgr.consensu.org onetag.mgr.consensu.org 671
1579686210.311368332 3 onetag.mgr.consensu.org onetag.mgr.consensu.org 671
1579686210.311385765 1 www.iolam.it www.iolam.it 3351
1579686210.332864863 1 cdn-gl.imrworldwide.com d2926jmvsihu4k.cloudfront.net 1
1579686210.332864863 2 d2926jmvsihu4k.cloudfront.net d2926jmvsihu4k.cloudfront.net 59
1579686210.332864863 3 d2926jmvsihu4k.cloudfront.net d2926jmvsihu4k.cloudfront.net 59
1579686210.332864863 4 d2926jmvsihu4k.cloudfront.net d2926jmvsihu4k.cloudfront.net 59
1579686210.332864863 5 d2926jmvsihu4k.cloudfront.net cdn-gl.imrworldwide.com 59
1579686210.338016063 1 secure.adnxs.com g.geogslb.com 17522
1579686210.338016063 2 g.geogslb.com ib.anycast.adnxs.com 6241
1579686210.338016063 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 275
1579686210.338016063 10 ib.anycast.adnxs.com secure.adnxs.com 275
1579686210.359737008 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 249
1579686210.359737008 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1579686210.365032424 1 aa.agkn.com aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com 119
1579686210.365032424 2 aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com 50
1579686210.365032424 3 aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com 50
1579686210.365032424 4 aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com 50
1579686210.365032424 5 aa-agkn-com-https-2145740884.eu-central-1.elb.amazonaws.com aa.agkn.com 50
1579686210.408594460 1 tpc.googlesyndication.com tpc.googlesyndication.com 299
1579686210.469110842 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 167
1579686210.469110842 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 167
1579686210.495028958 1 bidder.criteo.com bidder.par.vip.prod.criteo.com 299
1579686210.495028958 2 bidder.par.vip.prod.criteo.com bidder.criteo.com 299
1579686210.508967766 1 ib.adnxs.com g.geogslb.com 16482
1579686210.508967766 2 g.geogslb.com ib.anycast.adnxs.com 876
1579686210.508967766 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 225
1579686210.508967766 10 ib.anycast.adnxs.com ib.adnxs.com 225
1579686210.531978256 1 adservice.google.com pagead46.l.doubleclick.net 83
1579686210.531978256 2 pagead46.l.doubleclick.net adservice.google.com 83
1579686210.542682640 1 static.criteo.net static.am5.vip.prod.criteo.net 228
1579686210.542682640 2 static.am5.vip.prod.criteo.net static.criteo.net 235
1579686210.554820092 1 acdn.adnxs.com secure-adnxs.edgekey.net 757
1579686210.554820092 2 secure-adnxs.edgekey.net e6115.g.akamaiedge.net 16987
