1579666923.686481771 1 www.gstatic.com www.gstatic.com 12
1579666923.865938403 1 livejournal.com livejournal.com 599
1579666923.905353059 1 accounts.google.com accounts.google.com 299
1579666924.591644477 1 www.livejournal.com clb.livejournal.com 452
1579666924.591644477 2 clb.livejournal.com www.livejournal.com 568
1579666926.777876965 1 ssp.rambler.ru ssp.rambler.ru 3415
1579666926.777876965 2 ssp.rambler.ru ssp.rambler.ru 3415
1579666926.777876965 3 ssp.rambler.ru ssp.rambler.ru 3415
1579666926.777876965 4 ssp.rambler.ru ssp.rambler.ru 3415
1579666926.791697805 1 l-stat.livejournal.net l-stat.livejournal.net.edgekey.net 39
1579666926.791697805 2 l-stat.livejournal.net.edgekey.net e11969.f.akamaiedge.net 288
1579666926.791697805 3 e11969.f.akamaiedge.net l-stat.livejournal.net 19
1579666927.058873020 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579666927.058873020 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579666927.063363507 1 xc3.services.livejournal.com msk-clb.livejournal.com 3130
1579666927.063363507 2 msk-clb.livejournal.com xc3.services.livejournal.com 59
1579666927.067790480 1 www.googletagmanager.com www-googletagmanager.l.google.com 21369
1579666927.067790480 2 www-googletagmanager.l.google.com www.googletagmanager.com 69
1579666927.076077365 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 17887
1579666927.076077365 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 18036
1579666927.076077365 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1579666927.888902774 1 www.tns-counter.ru www.tns-counter.ru 2193
1579666927.888902774 2 www.tns-counter.ru www.tns-counter.ru 2193
1579666927.888902774 3 www.tns-counter.ru www.tns-counter.ru 2193
1579666927.888902774 4 www.tns-counter.ru www.tns-counter.ru 2193
1579666927.904790537 1 st.top100.ru st.top100.ru 42
1579666927.904790537 2 st.top100.ru st.top100.ru 42
1579666927.904790537 3 st.top100.ru st.top100.ru 42
1579666927.904790537 4 st.top100.ru st.top100.ru 42
1579666927.904790537 5 st.top100.ru st.top100.ru 42
1579666927.904790537 6 st.top100.ru st.top100.ru 42
1579666927.904790537 7 st.top100.ru st.top100.ru 42
1579666927.904790537 8 st.top100.ru st.top100.ru 42
1579666927.904790537 9 st.top100.ru st.top100.ru 42
1579666927.963556537 1 awaps.yandex.ru awaps.yandex.ru 599
1579666927.963556537 2 awaps.yandex.ru awaps.yandex.ru 599
1579666927.963556537 3 awaps.yandex.ru awaps.yandex.ru 599
1579666927.963556537 4 awaps.yandex.ru awaps.yandex.ru 599
1579666927.963556537 5 awaps.yandex.ru awaps.yandex.ru 599
1579666927.998567887 1 mc.yandex.ru mc.yandex.ru 293
1579666927.998567887 2 mc.yandex.ru mc.yandex.ru 293
1579666927.998567887 3 mc.yandex.ru mc.yandex.ru 293
1579666927.998567887 4 mc.yandex.ru mc.yandex.ru 293
1579666928.315172669 1 l-api.livejournal.com l-api.livejournal.com.edgekey.net 2793
1579666928.315172669 2 l-api.livejournal.com.edgekey.net e11969.f.akamaiedge.net 267
1579666928.315172669 3 e11969.f.akamaiedge.net l-api.livejournal.com 19
1579666930.103393056 1 clients1.google.com clients.l.google.com 299
1579666930.103393056 2 clients.l.google.com clients1.google.com 299
1579666930.113709064 1 static-mon.yandex.net cryprox.yandex.net 825
1579666930.113709064 2 cryprox.yandex.net static-mon.yandex.net 525
1579666930.210541004 1 stats.g.doubleclick.net stats.l.doubleclick.net 21312
1579666930.210541004 2 stats.l.doubleclick.net stats.l.doubleclick.net 266
1579666930.210541004 3 stats.l.doubleclick.net stats.l.doubleclick.net 266
1579666930.210541004 4 stats.l.doubleclick.net stats.l.doubleclick.net 266
1579666930.210541004 5 stats.l.doubleclick.net stats.g.doubleclick.net 266
1579666930.358760621 1 ads.adfox.ru ads.adfox.ru 85
1579666930.592721171 1 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 2 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 3 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 4 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 5 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 6 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 7 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 8 kraken.rambler.ru kraken.rambler.ru 219
1579666930.592721171 9 kraken.rambler.ru kraken.rambler.ru 219
1579666930.630272755 1 <Root> lokoezm 86383
1579666930.630335484 1 <Root> lkijhxrwxoz 86326
1579666930.631384896 1 <Root> cwlnsuuayffbawo 86331
1579666931.164671502 1 l-files.livejournal.net l-files.livejournal.net.edgekey.net 599
1579666931.164671502 2 l-files.livejournal.net.edgekey.net e11969.f.akamaiedge.net 299
1579666931.164671502 3 e11969.f.akamaiedge.net l-files.livejournal.net 19
1579666931.855041467 1 profile.ssp.rambler.ru profile.ssp.rambler.ru 3183
