1579671701.926963664 1 www.gstatic.com www.gstatic.com 299
1579671702.092244326 1 mercadolibre.com.ar mercadolibre.com.ar 59
1579671702.092244326 2 mercadolibre.com.ar mercadolibre.com.ar 59
1579671702.092244326 3 mercadolibre.com.ar mercadolibre.com.ar 59
1579671702.092244326 4 mercadolibre.com.ar mercadolibre.com.ar 59
1579671702.107193174 1 accounts.google.com accounts.google.com 299
1579671702.406580567 1 www.mercadolibre.com.ar d3n1b0ot4n5cbd.cloudfront.net 33
1579671702.406580567 2 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.406580567 3 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.406580567 4 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.406580567 5 d3n1b0ot4n5cbd.cloudfront.net www.mercadolibre.com.ar 59
1579671702.815788070 1 www.google.com www.google.com 162
1579671702.835688738 1 http2.mlstatic.com wildcard.mlstatic.com.edgekey.net 1501
1579671702.835688738 2 wildcard.mlstatic.com.edgekey.net e6220.g.akamaiedge.net 20782
1579671702.835688738 3 e6220.g.akamaiedge.net http2.mlstatic.com 19
1579671702.836341852 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579671702.836341852 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579671702.836908742 1 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 2 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 3 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 4 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 5 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 6 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 7 data.mercadolibre.com data.mercadolibre.com 31
1579671702.836908742 8 data.mercadolibre.com data.mercadolibre.com 31
1579671702.841332648 1 www.google.com.ar www.google.com.ar 299
1579671702.867480565 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579671702.867480565 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579671702.867480565 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579671702.867480565 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579671702.867480565 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579671702.868682653 1 analytics.mercadolibre.com d2g9ak52q0ogkf.cloudfront.net 1003
1579671702.868682653 2 d2g9ak52q0ogkf.cloudfront.net d2g9ak52q0ogkf.cloudfront.net 59
1579671702.868682653 3 d2g9ak52q0ogkf.cloudfront.net d2g9ak52q0ogkf.cloudfront.net 59
1579671702.868682653 4 d2g9ak52q0ogkf.cloudfront.net d2g9ak52q0ogkf.cloudfront.net 59
1579671702.868682653 5 d2g9ak52q0ogkf.cloudfront.net analytics.mercadolibre.com 59
1579671702.876286150 1 analytics.mercadolibre.com.ar domssl.mercadolibre.com.ar 1799
1579671702.876286150 2 domssl.mercadolibre.com.ar d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.876286150 3 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.876286150 4 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.876286150 5 d3n1b0ot4n5cbd.cloudfront.net d3n1b0ot4n5cbd.cloudfront.net 59
1579671702.876286150 6 d3n1b0ot4n5cbd.cloudfront.net analytics.mercadolibre.com.ar 59
1579671702.897961084 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 294
1579671702.897961084 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 294
1579671702.901510548 1 tpc.googlesyndication.com tpc.googlesyndication.com 299
1579671702.904451379 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 5735
1579671702.904451379 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1579671702.932392467 1 www.googletagservices.com pagead46.l.doubleclick.net 21328
1579671702.932392467 2 pagead46.l.doubleclick.net www.googletagservices.com 299
1579671702.947412833 1 adservice.google.com pagead46.l.doubleclick.net 272
1579671702.947412833 2 pagead46.l.doubleclick.net adservice.google.com 299
1579671703.005293375 1 static.mlstatic.com wildcard.mlstatic.com.edgekey.net 1799
1579671703.005293375 2 wildcard.mlstatic.com.edgekey.net e6220.g.akamaiedge.net 20916
1579671703.005293375 3 e6220.g.akamaiedge.net static.mlstatic.com 19
