1579690212.767445977 1 www.gstatic.com www.gstatic.com 220
1579690212.996453471 1 mercadolibre.com.ve mercadolibre.com.ve 299
1579690212.996453471 2 mercadolibre.com.ve mercadolibre.com.ve 299
1579690213.020304324 1 accounts.google.com accounts.google.com 65
1579690213.457411641 1 www.mercadolibre.com.ve d2azwpvdcs9sjf.cloudfront.net 59
1579690213.457411641 2 d2azwpvdcs9sjf.cloudfront.net d2azwpvdcs9sjf.cloudfront.net 59
1579690213.457411641 3 d2azwpvdcs9sjf.cloudfront.net d2azwpvdcs9sjf.cloudfront.net 59
1579690213.457411641 4 d2azwpvdcs9sjf.cloudfront.net d2azwpvdcs9sjf.cloudfront.net 59
1579690213.457411641 5 d2azwpvdcs9sjf.cloudfront.net www.mercadolibre.com.ve 59
1579690213.792104553 1 http2.mlstatic.com wildcard.mlstatic.com.edgekey.net 1241
1579690213.792104553 2 wildcard.mlstatic.com.edgekey.net e6220.g.akamaiedge.net 21507
1579690213.792104553 3 e6220.g.akamaiedge.net http2.mlstatic.com 19
1579690213.794655578 1 www.google-analytics.com www-google-analytics.l.google.com 21401
1579690213.794655578 2 www-google-analytics.l.google.com www.google-analytics.com 101
1579690213.794883530 1 www.google.com www.google.com 138
1579690213.815739887 1 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 2 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 3 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 4 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 5 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 6 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 7 data.mercadolibre.com data.mercadolibre.com 13
1579690213.815739887 8 data.mercadolibre.com data.mercadolibre.com 13
1579690213.831242310 1 www.google.com.ve www.google.com.ve 299
1579690213.838054276 1 analytics.mercadolibre.com d2g9ak52q0ogkf.cloudfront.net 1593
