1580617568.568532542 1 nbe.com.eg nbe.com.eg 3599
1580617569.508311790 1 www.nbe.com.eg www.nbe.com.eg 3599
1580617569.611949724 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1580617569.611949724 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580617569.611949724 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580617569.611949724 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1580617569.611949724 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1580617578.027156081 1 detectportal.firefox.com detectportal.prod.mozaws.net 7
1580617578.027156081 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 1
1580617578.027156081 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15050
1580617578.027156081 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580617578.027156081 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580617578.027594607 1 detectportal.firefox.com detectportal.prod.mozaws.net 7
1580617578.027594607 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 1
1580617578.027594607 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15050
1580617578.027594607 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580617578.027594607 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580617578.136911000 1 mozilla.org mozilla.org 29
1580617578.145814667 1 mozilla.org mozilla.org 1773
1580617578.145843783 1 mozilla.org mozilla.org 33
1580617578.154263223 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 28
1580617578.154263223 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 44
1580617578.154263223 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 44
1580617578.154263223 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 44
1580617578.154296396 1 location.services.mozilla.com prod.mozaws.net 52
1580617578.154296396 2 prod.mozaws.net location.services.mozilla.com 114
1580617578.178068284 1 detectportal.firefox.com detectportal.prod.mozaws.net 28
1580617578.178068284 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 38
1580617578.178068284 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 11910
1580617578.178068284 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580617578.178068284 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580617578.179160440 1 detectportal.firefox.com detectportal.prod.mozaws.net 33
1580617578.179160440 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 12
1580617578.179160440 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14632
1580617578.179160440 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580617578.179160440 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580617578.403376430 1 ocsp.digicert.com wac.phicdn.net 10194
1580617578.403376430 2 wac.phicdn.net ocsp.digicert.com 127
1580617578.409768167 1 ocsp.digicert.com cs9.wac.phicdn.net 10215
1580617578.409768167 2 cs9.wac.phicdn.net ocsp.digicert.com 3599
1580617578.970835221 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 28
1580617578.970835221 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580617578.977715752 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 51
1580617578.977715752 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580617578.977715752 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580617578.977715752 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580617578.977715752 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580617579.957076031 1 shavar.services.mozilla.com shavar.prod.mozaws.net 23
1580617579.957076031 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580617579.957076031 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580617579.957076031 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580617579.957076031 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580617579.957076031 6 shavar.prod.mozaws.net shavar.prod.mozaws.net
