1580769011.120574233 1 nch.com.au nch.com.au 1764
1580769011.354541923 1 www.nch.com.au www.nch.com.au 1132
1580769011.354541923 2 www.nch.com.au www.nch.com.au 1132
1580769012.588230740 1 secure.nch.com.au secure.nch.com.au 1133
1580769012.605585261 1 www.google-analytics.com www-google-analytics.l.google.com 21504
1580769012.605585261 2 www-google-analytics.l.google.com www.google-analytics.com 204
1580769012.974633897 1 ssl.google-analytics.com ssl-google-analytics.l.google.com 21599
1580769012.974633897 2 ssl-google-analytics.l.google.com ssl.google-analytics.com 299
1580769021.397741397 1 detectportal.firefox.com detectportal.prod.mozaws.net 46
1580769021.397741397 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 34
1580769021.397741397 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 16556
1580769021.397741397 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580769021.397741397 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580769021.407057920 1 detectportal.firefox.com detectportal.prod.mozaws.net 16
1580769021.407057920 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 39
1580769021.407057920 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 19119
1580769021.407057920 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580769021.407057920 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580769021.514542180 1 mozilla.org mozilla.org 54
1580769021.514950630 1 mozilla.org mozilla.org 48
1580769021.532207411 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 57
1580769021.532207411 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 59
1580769021.532207411 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 59
1580769021.532207411 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 59
1580769021.534903898 1 mozilla.org mozilla.org 1740
1580769021.536145462 1 location.services.mozilla.com prod.mozaws.net 4
1580769021.536145462 2 prod.mozaws.net location.services.mozilla.com 248
1580769021.542122391 1 detectportal.firefox.com detectportal.prod.mozaws.net 56
1580769021.542122391 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 15
1580769021.542122391 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1135
1580769021.542122391 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580769021.542122391 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580769021.543900641 1 detectportal.firefox.com detectportal.prod.mozaws.net 56
1580769021.543900641 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 15
1580769021.543900641 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1135
1580769021.543900641 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580769021.543900641 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580769021.736717932 1 ocsp.digicert.com cs9.wac.phicdn.net 19322
1580769021.736717932 2 cs9.wac.phicdn.net ocsp.digicert.com 2601
1580769021.763500354 1 ocsp.digicert.com wac.phicdn.net 18803
1580769021.763500354 2 wac.phicdn.net ocsp.digicert.com 599
1580769022.335647436 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 39
1580769022.335647436 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 51
1580769022.372023918 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 56
1580769022.372023918 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580769022.372023918 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580769022.372023918 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580769022.372023918 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580769023.319574240 1 shavar.services.mozilla.com shavar.prod.mozaws.net 1
1580769023.319574240 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580769023.319574240 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580769023.319574240 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 51
1580769023.319574240 5 shavar.prod.mozaws.net s
