1579734815.300261892 1 www.gstatic.com www.gstatic.com 299
1579734815.515814301 1 accounts.google.com accounts.google.com 299
1579734815.552939554 1 netfirms.com netfirms.com 599
1579734819.225151112 1 www.netfirms.com www.netfirms.com 23
1579734819.225151112 2 www.netfirms.com www.netfirms.com 23
1579734819.681780922 1 cdn.optimizely.com cdn.optimizely.com 19
1579734820.222921402 1 fonts.googleapis.com fonts.googleapis.com 299
1579734820.296463552 1 fonts.gstatic.com gstaticadssl.l.google.com 192
1579734820.296463552 2 gstaticadssl.l.google.com fonts.gstatic.com 192
1579734820.662209879 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579734820.662209879 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579734820.673914008 1 clients1.google.com clients.l.google.com 160
1579734820.673914008 2 clients.l.google.com clients1.google.com 160
1579734821.061892960 1 translate.googleapis.com translate.googleapis.com 299
1579734821.206704262 1 logx.optimizely.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 401
1579734821.206704262 2 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 3 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 4 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 5 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 6 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 7 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 8 p13nlog-1106815646.us-east-1.elb.amazonaws.com p13nlog-1106815646.us-east-1.elb.amazonaws.com 29
1579734821.206704262 9 p13nlog-1106815646.us-east-1.elb.amazonaws.com logx.optimizely.com 29
1579734821.294642415 1 www.google-analytics.com www-google-analytics.l.google.com 21339
1579734821.294642415 2 www-google-analytics.l.google.com www.google-analytics.com 39
1579734821.298940316 1 www.googleadservices.com pagead.l.doubleclick.net 299
1579734821.298940316 2 pagead.l.doubleclick.net www.googleadservices.com 299
1579734821.300225628 1 static.hotjar.com static.hotjar.com.c.section.io 685
1579734821.300225628 2 static.hotjar.com.c.section.io map16-100.s.section.io 39
1579734821.300225628 3 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 4 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 5 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 6 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 7 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 8 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 9 map16-100.s.section.io map16-100.s.section.io 68
1579734821.300225628 10 map16-100.s.section.io static.hotjar.com 68
1579734821.330354019 1 consent.trustarc.com consent.trustarc.com 59
1579734821.330354019 2 consent.trustarc.com consent.trustarc.com 59
1579734821.330354019 3 consent.trustarc.com consent.trustarc.com 59
1579734821.330354019 4 consent.trustarc.com consent.trustarc.com 59
1579734821.516884574 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 39
1579734821.516884574 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 39
1579734821.529128886 1 script.hotjar.com script.hotjar.com.c.section.io 825
1579734821.529128886 2 script.hotjar.com.c.section.io map16-100.s.section.io 78
1579734821.529128886 3 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 4 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 5 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 6 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 7 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 8 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 9 map16-100.s.section.io map16-100.s.section.io 119
1579734821.529128886 10 map16-100.s.section.io script.hotjar.com 119
1579734821.652240996 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579734821.652240996 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579734821.652240996 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579734821.652240996 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579734821.652240996 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579734821.656924160 1 vars.hotjar.com vars.hotjar.com.c.section.io 2430
1579734821.656924160 2 vars.hotjar.com.c.section.io map16-100.s.section.io 208
1579734821.656924160 3 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 4 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 5 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 6 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 7 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 8 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 9 map16-100.s.section.io map16-100.s.section.io 119
1579734821.656924160 10 map16-100.s.section.io vars.hotjar.com 119
1579734821.716235004 1 consent-pref.trustarc.com consent-pref.trustarc.com 59
1579734821.716235004 2 consent-pref.trustarc.com consent-pref.trustarc.com 59
1579734821.716235004 3 consent-pref.trustarc.com consent-pref.trustarc.com 59
1579734821.716235004 4 consent-pref.trustarc.com consent-pref.trustarc.com 59
1579734821.728870577 1 www.google.com www.google.com 212
1579734821.729485441 1 www.google.es www.google.es 248
1579734821.965338145 1 in.hotjar.com in.hotjar.com 39
1579734821.965338145 2 in.hotjar.com in.hotjar.com 39
1579734821.965338145 3 in.hotjar.com in.hotjar.com 39
1579734821.965338145 4 in.hotjar.com in.hotjar.com 39
1579734821.965338145 5 in.hotjar.com in.hotjar.com 39
1579734821.965338145 6 in.hotjar.com in.hotjar.com 39
1579734821.965338145 7 in.hotjar.com in.hotjar.com 39
1579734821.965338145 8 in.hotjar.com in.hotjar.com 39
1579734821.970919682 1 consent-st.trustarc.com consent-st.trustarc.com 0
1579734821.970919682 2 consent-st.trustarc.com consent-st.trustarc.com 0
1579734821.970919682 3 consent-st.trustarc.com consent-st.trustarc.com 0
1579734821.970919682 4 consent-st.trustarc.com consent-st.trustarc.com 0
1579734822.231405715 1 <Root> oatqiakfsqrfybh 86369
1579734822.232066377 1 <Root> ojgfnigooddl 86398
1579734822.233295840 1 <Root> xbdoovypvjesy 86386
1579734822.488479552 1 prefmgr-cookie.truste-svc.net prefmgr-cookie.truste-svc.net 59
1579734822.488479552 2 prefmgr-cookie.truste-svc.net prefmgr-cookie.truste-svc.net 59
1579734822.488479552 3 prefmgr-cookie.truste-svc.net prefmgr-cookie.truste-svc.net 59
1579734825.234384267 1 ssl.gstatic.com ssl.gstatic.com 261
1579734830.426040163 1 update.googleapis.com update.googleapis.com 299
