1580780276.403526898 1 npc.gov.cn npc.gov.cn 21599
1580780276.963902437 1 www.npc.gov.cn www.npc.gov.cn.w.cdngslb.com 1769
1580780276.963902437 2 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 3 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 4 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 5 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 6 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 7 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 8 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 9 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 10 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 11 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 12 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn.w.cdngslb.com 29
1580780276.963902437 13 www.npc.gov.cn.w.cdngslb.com www.npc.gov.cn 29
1580780278.395372189 1 v.npc.gov.cn v.npc.gov.cn.wscdns.com 1799
1580780278.395372189 2 v.npc.gov.cn.wscdns.com v.npc.gov.cn 59
1580780278.954293925 1 p1.img.cctvpic.com ssl.cctv.com.edgekey.net 119
1580780278.954293925 2 ssl.cctv.com.edgekey.net e10965.dsca.akamaiedge.net 20870
1580780278.954293925 3 e10965.dsca.akamaiedge.net p1.img.cctvpic.com 19
1580780278.966289070 1 p3.img.cctvpic.com ssl.cctv.com.edgekey.net 119
1580780278.966289070 2 ssl.cctv.com.edgekey.net e10965.dsca.akamaiedge.net 21523
1580780278.966289070 3 e10965.dsca.akamaiedge.net p3.img.cctvpic.com 19
1580780279.350012812 1 p4.img.cctvpic.com ssl.cctv.com.edgekey.net 119
1580780279.350012812 2 ssl.cctv.com.edgekey.net e10965.dsca.akamaiedge.net 21096
1580780279.350012812 3 e10965.dsca.akamaiedge.net p4.img.cctvpic.com 19
1580780279.743472932 1 dcs.conac.cn dcs.conac.cn 2629
1580780279.743472932 2 dcs.conac.cn dcs.conac.cn 2629
1580780279.878197776 1 r.img.cctvpic.com ssl.cctv.com.edgekey.net 119
1580780279.878197776 2 ssl.cctv.com.edgekey.net e10965.dsca.akamaiedge.net 21522
1580780279.878197776 3 e10965.dsca.akamaiedge.net r.img.cctvpic.com 18
1580780279.988779802 1 js.data.cctv.com ssl.cctv.com.edgekey.net 119
1580780279.988779802 2 ssl.cctv.com.edgekey.net e10965.dsca.akamaiedge.net 587
1580780279.988779802 3 e10965.dsca.akamaiedge.net js.data.cctv.com 19
1580780280.080507966 1 p.data.cctv.com p.data.cctv.com 101
1580780280.321171182 1 fxsjcj.kaipuyun.cn fxsjcj.kaipuyun.cn 599
