1579702112.575430730 1 www.gstatic.com www.gstatic.com 128
1579702112.774276932 1 okko.tv okko.tv 599
1579702112.789400598 1 accounts.google.com accounts.google.com 24
1579702116.960473155 1 ctx.playfamily.ru ctx.playfamily.ru 59
1579702116.983042327 1 static.okko.tv okkostatic.cdnvideo.ru 178
1579702116.983042327 2 okkostatic.cdnvideo.ru static.okko.tv 89
1579702117.419596269 1 www.googletagmanager.com www-googletagmanager.l.google.com 21398
1579702117.419596269 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579702117.765457753 1 translate.googleapis.com translate.googleapis.com 81
1579702118.371290648 1 connect.facebook.net scontent.xx.fbcdn.net 470
1579702118.371290648 2 scontent.xx.fbcdn.net connect.facebook.net 34
1579702118.412484467 1 www.google-analytics.com www-google-analytics.l.google.com 21598
1579702118.412484467 2 www-google-analytics.l.google.com www.google-analytics.com 298
1579702118.450599592 1 mc.yandex.ru mc.yandex.ru 234
1579702118.450599592 2 mc.yandex.ru mc.yandex.ru 234
1579702118.450599592 3 mc.yandex.ru mc.yandex.ru 234
1579702118.450599592 4 mc.yandex.ru mc.yandex.ru 234
1579702118.462040255 1 vk.com vk.com 849
1579702118.462040255 2 vk.com vk.com 849
1579702118.462040255 3 vk.com vk.com 849
1579702118.462040255 4 vk.com vk.com 849
1579702118.462040255 5 vk.com vk.com 849
1579702118.462040255 6 vk.com vk.com 849
1579702118.462238912 1 st.top100.ru st.top100.ru 138
1579702118.462238912 2 st.top100.ru st.top100.ru 138
1579702118.462238912 3 st.top100.ru st.top100.ru 138
1579702118.462238912 4 st.top100.ru st.top100.ru 138
1579702118.462238912 5 st.top100.ru st.top100.ru 138
1579702118.462238912 6 st.top100.ru st.top100.ru 138
1579702118.462238912 7 st.top100.ru st.top100.ru 138
1579702118.462238912 8 st.top100.ru st.top100.ru 138
1579702118.462238912 9 st.top100.ru st.top100.ru 138
1579702118.467627119 1 9758376.fls.doubleclick.net dart.l.doubleclick.net 21565
1579702118.467627119 2 dart.l.doubleclick.net 9758376.fls.doubleclick.net 265
1579702118.621402468 1 adservice.google.com pagead46.l.doubleclick.net 105
1579702118.621402468 2 pagead46.l.doubleclick.net adservice.google.com 105
1579702118.642049424 1 www.googleadservices.com pagead.l.doubleclick.net 299
1579702118.642049424 2 pagead.l.doubleclick.net www.googleadservices.com 299
1579702118.664367111 1 ocsp.usertrust.com ocsp.usertrust.com 722
1579702118.741470546 1 ocsp.sectigo.com ocsp.sectigo.com 2974
1579702118.816388931 1 googleads.g.doubleclick.net pagead46.l.doubleclick.net 299
1579702118.816388931 2 pagead46.l.doubleclick.net googleads.g.doubleclick.net 299
1579702118.919798305 1 www.google.com www.google.com 248
1579702119.023507191 1 www.google.es www.google.es 299
1579702119.526049674 1 <Root> kjzlcoo 86394
1579702119.526558458 1 <Root> ttohiawkcu 86396
1579702119.529140663 1 <Root> fjihkoy 86388
1579702119.542923957 1 dsp.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 2 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 3 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 4 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 5 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 6 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 7 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 8 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 9 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 10 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 59
1579702119.542923957 11 prod-hzeu-lba.upravel.com dsp.upravel.com 59
1579702119.831267531 1 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 2 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 3 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 4 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 5 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 6 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 7 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 8 kraken.rambler.ru kraken.rambler.ru 276
1579702119.831267531 9 kraken.rambler.ru kraken.rambler.ru 276
1579702119.867833929 1 stats.g.doubleclick.net stats.l.doubleclick.net 21312
1579702119.867833929 2 stats.l.doubleclick.net stats.l.doubleclick.net 12
1579702119.867833929 3 stats.l.doubleclick.net stats.l.doubleclick.net 12
1579702119.867833929 4 stats.l.doubleclick.net stats.l.doubleclick.net 12
1579702119.867833929 5 stats.l.doubleclick.net stats.g.doubleclick.net 12
1579702119.869156671 1 sync.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 2 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 3 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 4 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 5 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 6 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 7 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
1579702119.869156671 8 prod-hzeu-lba.upravel.com prod-hzeu-lba.upravel.com 41
