1580641468.365696532 1 www.gstatic.com www.gstatic.com 299
1580641468.652050384 1 accounts.google.com accounts.google.com 120
1580641468.664540944 1 oraclecorp.com oraclecorp.com 30
1580641468.897694740 1 oraclecorp.com oraclecorp.com 55
1580641469.073767500 1 google.com google.com 299
1580641469.074892499 1 google.com google.com 299
1580641469.423836166 1 oraclecorp.com oraclecorp.com 29
1580641474.490687336 1 oraclecorp.com oraclecorp.com 24
1580641474.604234482 1 oraclecorp.com oraclecorp.com 24
1580641474.645176655 1 google.com google.com 299
1580641474.661009386 1 google.com google.com 299
1580641475.300721477 1 <Root> iabdsuen 86374
1580641475.300849216 1 <Root> lpoqqmhb 86395
1580641475.301097589 1 <Root> gzplcjitw 86386
1580641478.876066885 1 update.googleapis.com update.googleapis.com 299
1580641478.907445676 1 ssl.gstatic.com ssl.gstatic.com 299
1580641490.450524033 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 297
1580641490.450524033 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 297
1580641490.450638073 1 ubuntu.com connectivity-check.ubuntu.com 584
