1579683950.771048653 1 pay.ir pay.ir 59
1579683951.932446667 1 cdn.pay.ir cdn.pay.ir 4845
1579683961.844971340 1 detectportal.firefox.com detectportal.prod.mozaws.net 13
1579683961.844971340 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 54
1579683961.844971340 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15863
1579683961.844971340 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579683961.844971340 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579683961.849609080 1 detectportal.firefox.com detectportal.prod.mozaws.net 16
1579683961.849609080 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 53
1579683961.849609080 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15271
1579683961.849609080 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579683961.849609080 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579683961.954557812 1 mozilla.org mozilla.org 48
1579683961.962978128 1 mozilla.org mozilla.org 38
1579683961.962997650 1 mozilla.org mozilla.org 1792
1579683961.963139575 1 detectportal.firefox.com detectportal.prod.mozaws.net 40
1579683961.963139575 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 29
1579683961.963139575 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15168
1579683961.963139575 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 17
1579683961.963139575 5 a1089.dscd.akamai.net detectportal.firefox.com 17
1579683961.966270705 1 location.services.mozilla.com prod.mozaws.net 56
1579683961.966270705 2 prod.mozaws.net location.services.mozilla.com 80
1579683961.987046829 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 55
1579683961.987046829 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 55
1579683961.987046829 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 55
1579683961.987046829 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 55
1579683961.989341902 1 detectportal.firefox.com detectportal.prod.mozaws.net 36
1579683961.989341902 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 25
1579683961.989341902 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15164
1579683961.989341902 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579683961.989341902 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579683962.172030384 1 ocsp.digicert.com cs9.wac.phicdn.net 8140
1579683962.172030384 2 cs9.wac.phicdn.net ocsp.digicert.com 3296
1579683962.172101221 1 ocsp.digicert.com wac.phicdn.net 6019
1579683962.172101221 2 wac.phicdn.net ocsp.digicert.com 549
1579683962.695847338 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 21
1579683962.695847338 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 21
1579683962.722686041 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 22
1579683962.722686041 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579683962.722686041 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579683962.722686041 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579683962.722686041 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579683963.719210043 1 shavar.services.mozilla.com shavar.prod.mozaws.net 39
1579683963.719210043 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 45
1579683963.719210043 9 shavar.prod.mozaws.net shavar.services.mozilla.com 45
1579683963.719273365 1 shavar.services.mozilla.com prod.mozaws.net 15
1579683963.719273365 2 prod.mozaws.net shavar.services.mozilla.com 94
1579683963.723700223 1 push.s
