1579795063.562687880 1 pearson-intl.com pearson-intl.com 599
1579795063.834260778 1 www.pearson-intl.com www.pearson-intl.com 599
1579795071.955750981 1 detectportal.firefox.com detectportal.prod.mozaws.net 36
1579795071.955750981 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 27
1579795071.955750981 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12943
1579795071.955750981 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579795071.955750981 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579795071.988754912 1 detectportal.firefox.com detectportal.prod.mozaws.net 12
1579795071.988754912 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 56
1579795071.988754912 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14377
1579795071.988754912 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579795071.988754912 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579795072.075409231 1 location.services.mozilla.com prod.mozaws.net 23
1579795072.075409231 2 prod.mozaws.net location.services.mozilla.com 263
1579795072.076190362 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 42
1579795072.076190362 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 58
1579795072.076190362 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 58
1579795072.076190362 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 58
1579795072.123305482 1 mozilla.org mozilla.org 51
1579795072.124206288 1 mozilla.org mozilla.org 1790
1579795072.138376521 1 mozilla.org mozilla.org 43
1579795072.155207465 1 detectportal.firefox.com detectportal.prod.mozaws.net 25
1579795072.155207465 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 20
1579795072.155207465 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18663
1579795072.155207465 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579795072.155207465 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579795072.160359634 1 detectportal.firefox.com detectportal.prod.mozaws.net 13
1579795072.160359634 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 36
1579795072.160359634 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 2205
1579795072.160359634 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579795072.160359634 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579795072.265066367 1 ocsp.digicert.com cs9.wac.phicdn.net 13099
1579795072.265066367 2 cs9.wac.phicdn.net ocsp.digicert.com 1617
1579795072.279134336 1 ocsp.digicert.com wac.phicdn.net 10472
1579795072.279134336 2 wac.phicdn.net ocsp.digicert.com 510
1579795072.823349963 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 23
1579795072.823349963 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 26
1579795072.851275538 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 47
1579795072.851275538 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579795072.851275538 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579795072.851275538 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579795072.851275538 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579795073.874452559 1 shavar.services.mozilla.com prod.mozaws.net 41
1579795073.874452559 2 prod.mozaws.net shavar.services.mozilla.com 255
1579795073.874500031 1 shavar.services.mozilla.com shavar.prod.mozaws.net 32
1579795073.874500031 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 18
1579795073.874500031 9 shavar.prod.mozaws.net shavar.services.m
