1579678870.620641269 1 picclick.fr picclick.fr 3599
1579678872.852791374 1 www.google-analytics.com www-google-analytics.l.google.com 21448
1579678872.852791374 2 www-google-analytics.l.google.com www.google-analytics.com 148
1579678876.226865778 1 js-agent.newrelic.com f4.shared.global.fastly.net 20676
1579678876.226865778 2 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579678876.226865778 3 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579678876.226865778 4 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1579678876.226865778 5 f4.shared.global.fastly.net js-agent.newrelic.com 29
1579678876.348965021 1 bam.nr-data.net bam.nr-data.net 8734
1579678876.348965021 2 bam.nr-data.net bam.nr-data.net 8734
1579678876.348965021 3 bam.nr-data.net bam.nr-data.net 8734
1579678876.348965021 4 bam.nr-data.net bam.nr-data.net 8734
1579678884.271705218 1 detectportal.firefox.com detectportal.prod.mozaws.net 27
1579678884.271705218 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 45
1579678884.271705218 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20241
1579678884.271705218 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 13
1579678884.271705218 5 a1089.dscd.akamai.net detectportal.firefox.com 13
1579678884.295044408 1 detectportal.firefox.com detectportal.prod.mozaws.net 22
1579678884.295044408 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 42
1579678884.295044408 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20940
1579678884.295044408 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579678884.295044408 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579678884.402661035 1 mozilla.org mozilla.org 47
1579678884.408881038 1 mozilla.org mozilla.org 46
1579678884.408908349 1 mozilla.org mozilla.org 1788
1579678884.418776367 1 location.services.mozilla.com prod.mozaws.net 49
1579678884.418776367 2 prod.mozaws.net location.services.mozilla.com 241
1579678884.438501415 1 detectportal.firefox.com detectportal.prod.mozaws.net 27
1579678884.438501415 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 42
1579678884.438501415 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20348
1579678884.438501415 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579678884.438501415 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579678884.438802287 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 56
1579678884.438802287 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 4
1579678884.438802287 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 4
1579678884.438802287 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 4
1579678884.440813381 1 detectportal.firefox.com detectportal.prod.mozaws.net 26
1579678884.440813381 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 40
1579678884.440813381 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14708
1579678884.440813381 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579678884.440813381 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579678884.598342588 1 ocsp.digicert.com cs9.wac.phicdn.net 17250
1579678884.598342588 2 cs9.wac.phicdn.net ocsp.digicert.com 3275
1579678884.598370454 1 ocsp.digicert.com wac.phicdn.net 3410
1579678884.598370454 2 wac.phicdn.net ocsp.digicert.com 401
1579678885.114609296 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 8
1579678885.114609296 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 53
1579678885.144476881 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 15
1579678885.144476881 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579678885.144476881 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579678885.144476881 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579678885.144476881 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579678886.120739862 1 shavar.services.mozilla.com p
