1579693738.210261096 1 pornktube.porn pornktube.porn 112
1579693738.824337661 1 www.pornktube.porn www.pornktube.porn 247
1579693739.550542846 1 js.wpnjs.com cds.r5g7e7f8.hwcdn.net 2570
1579693739.550542846 2 cds.r5g7e7f8.hwcdn.net cds.r5g7e7f8.hwcdn.net 32
1579693739.550542846 3 cds.r5g7e7f8.hwcdn.net js.wpnjs.com 32
1579693739.552749241 1 i.pornktube.porn cdn60741912.ahacdn.me 271
1579693739.552749241 2 cdn60741912.ahacdn.me cdn60741912.ahacdn.me 137
1579693739.552749241 3 cdn60741912.ahacdn.me i.pornktube.porn 137
1579693740.217129678 1 ads.exosrv.com static.exosrv.com 21296
1579693740.217129678 2 static.exosrv.com yvk8gxz2.ab1n.net 9231
1579693740.217129678 3 yvk8gxz2.ab1n.net cds.i3t2g3k8.hwcdn.net 2066
1579693740.217129678 4 cds.i3t2g3k8.hwcdn.net cds.i3t2g3k8.hwcdn.net 43
1579693740.217129678 5 cds.i3t2g3k8.hwcdn.net ads.exosrv.com 43
1579693740.226538567 1 counter.yadro.ru counter.yadro.ru 386
1579693740.226538567 2 counter.yadro.ru counter.yadro.ru 386
1579693740.226538567 3 counter.yadro.ru counter.yadro.ru 386
1579693740.226538567 4 counter.yadro.ru counter.yadro.ru 386
1579693740.269114390 1 js.wpnsrv.com cds.f3h2g4d2.hwcdn.net 1909
1579693740.269114390 2 cds.f3h2g4d2.hwcdn.net cds.f3h2g4d2.hwcdn.net 204
1579693740.269114390 3 cds.f3h2g4d2.hwcdn.net js.wpnsrv.com 204
1579693740.274176902 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1579693740.274176902 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579693740.577928418 1 syndication.exosrv.com tk6if76q.ab1n.net 15617
1579693740.577928418 2 tk6if76q.ab1n.net syndication.exosrv.com 2296
1579693748.735533514 1 detectportal.firefox.com detectportal.prod.mozaws.net 58
1579693748.735533514 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1579693748.735533514 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21438
1579693748.735533514 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579693748.735533514 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579693748.735946259 1 detectportal.firefox.com detectportal.prod.mozaws.net 58
1579693748.735946259 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1579693748.735946259 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21438
1579693748.735946259 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579693748.735946259 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579693748.846782542 1 mozilla.org mozilla.org 5
1579693748.849532188 1 mozilla.org mozilla.org 12
1579693748.849820726 1 mozilla.org mozilla.org 1772
1579693748.866045861 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 21
1579693748.866045861 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 21
1579693748.866045861 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 21
1579693748.866045861 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 21
1579693748.880258726 1 detectportal.firefox.com detectportal.prod.mozaws.net 10
1579693748.880258726 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 25
1579693748.880258726 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20183
1579693748.880258726 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579693748.880258726 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579693748.880295873 1 detectportal.firefox.com detectportal.prod.mozaws.net 10
1579693748.880295873 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 25
1579693748.880295873 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20183
1579693748.880295873 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579693748.880295873 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579693748.885872448 1 location.services.mozilla.com prod.mozaws.net 15
1579693748.885872448 2 prod.mozaws.net location.services.mozilla.com 277
1579693749.092983630 1 ocsp.digicert.com wac.phicdn.net 10313
1579693749.092983630 2 wac.phicdn.net ocsp.digicert.com 562
1579693749.093031365 1 ocsp.digicert.com cs9.wa
