1579740830.671967135 1 raz-plus.com raz-plus.com 533
1579740831.329474780 1 ocsp.entrust.net ocsp.entrust.net.edgekey.net 603
1579740831.329474780 2 ocsp.entrust.net.edgekey.net e6913.dscx.akamaiedge.net 34
1579740831.329474780 3 e6913.dscx.akamaiedge.net ocsp.entrust.net 19
1579740831.632798509 1 www.raz-plus.com www.raz-plus.com 599
1579740833.352735727 1 bat.bing.com bat-bing-com.a-0001.a-msedge.net 1886
1579740833.352735727 2 bat-bing-com.a-0001.a-msedge.net dual-a-0001.a-msedge.net 7
1579740833.352735727 3 dual-a-0001.a-msedge.net dual-a-0001.a-msedge.net 7
1579740833.352735727 4 dual-a-0001.a-msedge.net bat.bing.com 7
1579740833.353273532 1 www.googletagmanager.com www-googletagmanager.l.google.com 21429
1579740833.353273532 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579740833.534700558 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579740833.534700558 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579740833.796630383 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579740833.796630383 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579740833.796630383 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579740833.796630383 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579740833.796630383 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579740843.743106478 1 content.kidsa-z.com content.kidsa-z.com 535
1579740846.302967342 1 www.kidsa-z.com www.kidsa-z.com 578
1579740857.991495313 1 detectportal.firefox.com detectportal.prod.mozaws.net 13
1579740857.991495313 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 50
1579740857.991495313 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1564
1579740857.991495313 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579740857.991495313 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579740857.992985881 1 detectportal.firefox.com detectportal.prod.mozaws.net 29
1579740857.992985881 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1579740857.992985881 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12338
1579740857.992985881 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579740857.992985881 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579740858.094287590 1 mozilla.org mozilla.org 41
1579740858.094686105 1 detectportal.firefox.com detectportal.prod.mozaws.net 12
1579740858.094686105 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 49
1579740858.094686105 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1563
1579740858.094686105 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 18
1579740858.094686105 5 a1089.dscd.akamai.net detectportal.firefox.com 18
1579740858.101838648 1 location.services.mozilla.com prod.mozaws.net 43
1579740858.101838648 2 prod.mozaws.net location.services.mozilla.com 225
1579740858.102248530 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 30
1579740858.102248530 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 13
1579740858.102248530 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 13
1579740858.102248530 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 13
1579740858.113968400 1 mozilla.org mozilla.org 10
1579740858.114017380 1 mozilla.org mozilla.org 1782
1579740858.122569588 1 detectportal.firefox.com detectportal.prod.mozaws.net 12
1579740858.122569588 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 49
1579740858.122569588 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 1563
1579740858.122569588 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579740858.122569588 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579740858.259408223 1 ocsp.digicert.com cs9.wac.phicdn.net 10002
1579740858.259408223 2 cs9.wac.phicdn.net ocsp.digicert.com 3511
1579740858.279456154 1 ocsp.digicert.com wac.phicdn.net 8610
1579740858.279456154 2 wac.phicdn.net ocsp.digicert.com 227
