1579766793.462857074 1 rond.ir rond.ir 21599
1579766793.782121877 1 www.rond.ir www.rond.ir 17538
1579766794.948743643 1 code.jquery.com cds.s5x3j6q5.hwcdn.net 239
1579766794.948743643 2 cds.s5x3j6q5.hwcdn.net code.jquery.com 278
1579766795.109173332 1 a1.pandavast.com a1.pandavast.com 299
1579766795.109173332 2 a1.pandavast.com a1.pandavast.com 299
1579766795.590364900 1 www.google-analytics.com www-google-analytics.l.google.com 21534
1579766795.590364900 2 www-google-analytics.l.google.com www.google-analytics.com 234
1579766805.439083190 1 detectportal.firefox.com detectportal.prod.mozaws.net 26
1579766805.439083190 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 26
1579766805.439083190 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 19615
1579766805.439083190 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579766805.439083190 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579766805.439137760 1 detectportal.firefox.com detectportal.prod.mozaws.net 50
1579766805.439137760 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 57
1579766805.439137760 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20319
1579766805.439137760 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579766805.439137760 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579766805.554788014 1 mozilla.org mozilla.org 1749
1579766805.554819882 1 mozilla.org mozilla.org 58
1579766805.568142894 1 mozilla.org mozilla.org 58
1579766805.570423521 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 42
1579766805.570423521 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 43
1579766805.570423521 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 43
1579766805.570423521 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 43
1579766805.570664837 1 location.services.mozilla.com prod.mozaws.net 42
1579766805.570664837 2 prod.mozaws.net location.services.mozilla.com 163
1579766805.584524521 1 detectportal.firefox.com detectportal.prod.mozaws.net 52
1579766805.584524521 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 46
1579766805.584524521 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21412
1579766805.584524521 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579766805.584524521 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579766805.584558105 1 detectportal.firefox.com detectportal.prod.mozaws.net 52
1579766805.584558105 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 46
1579766805.584558105 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21412
1579766805.584558105 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579766805.584558105 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579766805.738042484 1 ocsp.digicert.com wac.phicdn.net 4265
1579766805.738042484 2 wac.phicdn.net ocsp.digicert.com 198
1579766805.752142275 1 ocsp.digicert.com cs9.wac.phicdn.net 2380
1579766805.752142275 2 cs9.wac.phicdn.net ocsp.digicert.com 2310
1579766806.331758322 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 38
1579766806.331758322 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 46
1579766806.360742869 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 14
1579766806.360742869 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579766806.360742869 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579766806.360742869 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579766806.360742869 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579766807.386284178 1 shavar.services.mozilla.com shavar.prod.mozaws.net 37
1579766807.386284178 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 35
1579766807.386284178 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 35
1579766807.386284178 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 35
1579766807.386284178 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 35
1579766807.386284178 6 sh
