1579635749.635359231 1 www.gstatic.com www.gstatic.com 299
1579635749.772012738 1 runnersworld.com runnersworld.com 299
1579635749.772012738 2 runnersworld.com runnersworld.com 299
1579635749.772012738 3 runnersworld.com runnersworld.com 299
1579635749.772012738 4 runnersworld.com runnersworld.com 299
1579635749.863923118 1 accounts.google.com accounts.google.com 299
1579635750.250957151 1 www.runnersworld.com hearst-hdm.map.fastly.net 193
1579635750.250957151 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.250957151 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.250957151 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.250957151 5 hearst-hdm.map.fastly.net www.runnersworld.com 29
1579635750.588358905 1 assets.hearstapps.com hearst-hdm.map.fastly.net 22
1579635750.588358905 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.588358905 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.588358905 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.588358905 5 hearst-hdm.map.fastly.net assets.hearstapps.com 29
1579635750.591310908 1 hips.hearstapps.com hearst-hdm.map.fastly.net 55
1579635750.591310908 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.591310908 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.591310908 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.591310908 5 hearst-hdm.map.fastly.net hips.hearstapps.com 29
1579635750.624377799 1 nexus.ensighten.com nexus.ensighten.com 119
1579635750.713709681 1 glimmer.hearstapps.com hearst-hdm.map.fastly.net 49
1579635750.713709681 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.713709681 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.713709681 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579635750.713709681 5 hearst-hdm.map.fastly.net glimmer.hearstapps.com 29
1579635751.198383823 1 c.evidon.com wildcard.evidon.com.edgekey.net 470
1579635751.198383823 2 wildcard.evidon.com.edgekey.net e12841.d.akamaiedge.net 6987
1579635751.198383823 3 e12841.d.akamaiedge.net c.evidon.com 19
1579635751.236162159 1 translate.googleapis.com translate.googleapis.com 299
1579635752.112156071 1 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579635752.112156071 2 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579635752.112156071 3 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579635752.112156071 4 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579635752.183044947 1 iabmap.evidon.com d2pw3r8ecoh3h0.cloudfront.net 289
1579635752.183044947 2 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579635752.183044947 3 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579635752.183044947 4 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579635752.183044947 5 d2pw3r8ecoh3h0.cloudfront.net iabmap.evidon.com 59
1579635752.186197705 1 l.betrad.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 5924
1579635752.186197705 2 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 3 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 4 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 5 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 6 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 7 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 8 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 58
1579635752.186197705 9 privacycollector-production-457481513.us-east-1.elb.amazonaws.com l.betrad.com 58
1579635754.902803394 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 2290
1579635754.902803394 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579635754.902803394 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579635754.902803394 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579635754.902803394 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1579635754.904224722 1 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 2 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 3 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 4 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 5 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 6 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 7 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635754.904224722 8 srv-2020-01-21-19.pixel.parsely.com srv-2020-01-21-19.pixel.parsely.com 59
1579635755.051243939 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579635755.051243939 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579635755.071983053 1 evidon.mgr.consensu.org evidon.mgr.consensu.org 1146
1579635755.071983053 2 evidon.mgr.consensu.org evidon.mgr.consensu.org 1146
1579635755.071983053 3 evidon.mgr.consensu.org evidon.mgr.consensu.org 1146
