1580631863.506768786 1 www.gstatic.com www.gstatic.com 299
1580631863.729881580 1 scoop.it scoop.it 299
1580631863.762491063 1 accounts.google.com accounts.google.com 21
1580631867.276991729 1 www.scoop.it web.scoop.it 3590
1580631867.276991729 2 web.scoop.it www.scoop.it 737
1580631867.535049704 1 fonts.googleapis.com fonts.googleapis.com 249
1580631867.542062792 1 no-cache.hubspot.com no-cache.hubspot.com 298
1580631867.542062792 2 no-cache.hubspot.com no-cache.hubspot.com 298
1580631867.542062792 3 no-cache.hubspot.com no-cache.hubspot.com 298
1580631867.542062792 4 no-cache.hubspot.com no-cache.hubspot.com 298
1580631867.542062792 5 no-cache.hubspot.com no-cache.hubspot.com 298
1580631867.553701463 1 d1uszyxwp7gk2r.cloudfront.net d1uszyxwp7gk2r.cloudfront.net 59
1580631867.553701463 2 d1uszyxwp7gk2r.cloudfront.net d1uszyxwp7gk2r.cloudfront.net 59
1580631867.553701463 3 d1uszyxwp7gk2r.cloudfront.net d1uszyxwp7gk2r.cloudfront.net 59
1580631867.553701463 4 d1uszyxwp7gk2r.cloudfront.net d1uszyxwp7gk2r.cloudfront.net 59
1580631867.587499991 1 js.hscta.net js.hscta.net 299
1580631867.587499991 2 js.hscta.net js.hscta.net 299
1580631867.587499991 3 js.hscta.net js.hscta.net 299
1580631867.587499991 4 js.hscta.net js.hscta.net 299
1580631867.587499991 5 js.hscta.net js.hscta.net 299
1580631867.630111933 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1580631867.630111933 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580631869.555387715 1 www.google-analytics.com www-google-analytics.l.google.com 21470
1580631869.555387715 2 www-google-analytics.l.google.com www.google-analytics.com 204
1580631869.813413791 1 static.hotjar.com static.hotjar.com.c.section.io 3098
1580631869.813413791 2 static.hotjar.com.c.section.io map20-100.s.section.io 113
1580631869.813413791 3 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 4 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 5 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 6 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 7 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 8 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 9 map20-100.s.section.io map20-100.s.section.io 119
1580631869.813413791 10 map20-100.s.section.io static.hotjar.com 119
