1579702174.326689324 1 www.gstatic.com www.gstatic.com 283
1579702174.499082315 1 semanticscholar.org semanticscholar.org 299
1579702174.499082315 2 semanticscholar.org semanticscholar.org 299
1579702174.573151881 1 accounts.google.com accounts.google.com 224
1579702175.072146586 1 www.semanticscholar.org www.semanticscholar.org 299
1579702175.072146586 2 www.semanticscholar.org www.semanticscholar.org 299
1579702175.759090080 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579702175.759090080 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579702175.766029826 1 cdn.heapanalytics.com d38au5kn48shwv.cloudfront.net 6
1579702175.766029826 2 d38au5kn48shwv.cloudfront.net cdn.heapanalytics.com 59
1579702175.766310171 1 cdn.polyfill.io dualstack.f3.shared.global.fastly.net 4033
1579702175.766310171 2 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579702175.766310171 3 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579702175.766310171 4 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579702175.766310171 5 dualstack.f3.shared.global.fastly.net cdn.polyfill.io 29
1579702175.799527722 1 dab4rbh62k56j.cloudfront.net dab4rbh62k56j.cloudfront.net 28
1579702175.799527722 2 dab4rbh62k56j.cloudfront.net dab4rbh62k56j.cloudfront.net 28
1579702175.799527722 3 dab4rbh62k56j.cloudfront.net dab4rbh62k56j.cloudfront.net 28
1579702175.799527722 4 dab4rbh62k56j.cloudfront.net dab4rbh62k56j.cloudfront.net 28
1579702175.834848175 1 fonts.googleapis.com fonts.googleapis.com 299
1579702175.844114849 1 js.hs-scripts.com js.hs-scripts.com 66
1579702175.844114849 2 js.hs-scripts.com js.hs-scripts.com 66
1579702175.844114849 3 js.hs-scripts.com js.hs-scripts.com 66
1579702175.844114849 4 js.hs-scripts.com js.hs-scripts.com 66
1579702175.844114849 5 js.hs-scripts.com js.hs-scripts.com 66
1579702175.856619495 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579702175.856619495 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579702175.934898201 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1579702175.934898201 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579702176.473713388 1 js.hs-analytics.net js.hs-analytics.net 116
1579702176.473713388 2 js.hs-analytics.net js.hs-analytics.net 116
1579702176.473713388 3 js.hs-analytics.net js.hs-analytics.net 116
1579702176.473713388 4 js.hs-analytics.net js.hs-analytics.net 116
1579702176.473713388 5 js.hs-analytics.net js.hs-analytics.net 116
1579702176.495438808 1 js.hsadspixel.net js.hsadspixel.net 78
1579702176.495438808 2 js.hsadspixel.net js.hsadspixel.net 78
1579702176.495438808 3 js.hsadspixel.net js.hsadspixel.net 78
1579702176.495438808 4 js.hsadspixel.net js.hsadspixel.net 78
1579702176.495438808 5 js.hsadspixel.net js.hsadspixel.net 78
1579702176.849889828 1 heapanalytics.com heapanalytics.com 55
1579702176.849889828 2 heapanalytics.com heapanalytics.com 55
1579702176.849889828 3 heapanalytics.com heapanalytics.com 55
1579702176.849889828 4 heapanalytics.com heapanalytics.com 55
1579702177.358293435 1 js.hsforms.net js.hsforms.net 268
1579702177.358293435 2 js.hsforms.net js.hsforms.net 268
1579702177.358293435 3 js.hsforms.net js.hsforms.net 268
1579702177.358293435 4 js.hsforms.net js.hsforms.net 268
1579702177.358293435 5 js.hsforms.net js.hsforms.net 268
1579702177.439526754 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579702177.439526754 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579702177.439526754 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
