1580781815.913545368 1 www.gstatic.com www.gstatic.com 299
1580781816.092131955 1 smartlog.jp smartlog.jp 59
1580781816.092131955 2 smartlog.jp smartlog.jp 59
1580781816.124501332 1 accounts.google.com accounts.google.com 94
1580781821.063726660 1 flux-cdn.com flux-cdn.com 24
1580781821.063726660 2 flux-cdn.com flux-cdn.com 24
1580781821.063726660 3 flux-cdn.com flux-cdn.com 24
1580781821.063726660 4 flux-cdn.com flux-cdn.com 24
1580781821.063900272 1 www.googletagservices.com pagead46.l.doubleclick.net 21360
1580781821.063900272 2 pagead46.l.doubleclick.net www.googletagservices.com 139
1580781821.064143780 1 stat2.smartlog.jp stat2.smartlog.jp 24
1580781821.064143780 2 stat2.smartlog.jp stat2.smartlog.jp 24
1580781821.064143780 3 stat2.smartlog.jp stat2.smartlog.jp 24
1580781821.064143780 4 stat2.smartlog.jp stat2.smartlog.jp 24
1580781821.085197456 1 smartlog-stat2.imgix.net dualstack.com.imgix.map.fastly.net 2280
1580781821.085197456 2 dualstack.com.imgix.map.fastly.net smartlog-stat2.imgix.net 29
1580781821.092871484 1 assets.smartlog.jp assets.smartlog.jp 59
1580781821.092871484 2 assets.smartlog.jp assets.smartlog.jp 59
1580781821.092871484 3 assets.smartlog.jp assets.smartlog.jp 59
1580781821.092871484 4 assets.smartlog.jp assets.smartlog.jp 59
1580781821.202523608 1 ajax.googleapis.com ajax.googleapis.com 299
1580781821.304954538 1 currency.prebid.org d24v0qfgxmmkdg.cloudfront.net 834
1580781821.304954538 2 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580781821.304954538 3 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580781821.304954538 4 d24v0qfgxmmkdg.cloudfront.net d24v0qfgxmmkdg.cloudfront.net 59
1580781821.304954538 5 d24v0qfgxmmkdg.cloudfront.net currency.prebid.org 59
1580781821.350555837 1 www.google-analytics.com www-google-analytics.l.google.com 21520
1580781821.350555837 2 www-google-analytics.l.google.com www.google-analytics.com 220
1580781821.439390612 1 adservice.google.es pagead46.l.doubleclick.net 299
1580781821.439390612 2 pagead46.l.doubleclick.net adservice.google.es 299
1580781821.439968568 1 adservice.google.com pagead46.l.doubleclick.net 299
1580781821.439968568 2 pagead46.l.doubleclick.net adservice.google.com 299
1580781821.439980039 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 21599
1580781821.439980039 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1580781822.122577290 1 stats.g.doubleclick.net stats.l.doubleclick.net 21438
1580781822.122577290 2 stats.l.doubleclick.net stats.l.doubleclick.net 138
1580781822.122577290 3 stats.l.doubleclick.net stats.l.doubleclick.net 138
1580781822.122577290 4 stats.l.doubleclick.net stats.l.doubleclick.net 138
1580781822.122577290 5 stats.l.doubleclick.net stats.g.doubleclick.net 138
1580781822.347472149 1 tpc.googlesyndication.com tpc.googlesyndication.com 59
1580781822.476002122 1 static.criteo.net static.par.vip.prod.criteo.net 299
1580781822.476002122 2 static.par.vip.prod.criteo.net static.criteo.net 299
1580781822.489907549 1 bidder.criteo.com bidder.par.vip.prod.criteo.com 299
1580781822.489907549 2 bidder.par.vip.prod.criteo.com bidder.criteo.com 299
1580781822.492956993 1 s-rtb-pb.send.microad.jp s-rtb-pb.send.microad.jp 375
1580781822.497228685 1 ib.adnxs.com g.geogslb.com 16716
1580781822.497228685 2 g.geogslb.com ib.anycast.adnxs.com 10799
1580781822.497228685 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 195
1580781822.497228685 10 ib.anycast.adnxs.com ib.adnxs.com 195
1580781822.503476733 1 pb.ladsp.com pb.ladsp.com 27
1580781822.503476733 2 pb.ladsp.com pb.ladsp.com 27
1580781822.503476733 3 pb.ladsp.com pb.ladsp.com 27
1580781822.503476733 4 pb.ladsp.com pb.ladsp.com 27
1580781822.503476733 5 pb.ladsp.com pb.ladsp.com 27
1580781822.503476733 6 pb.ladsp.com pb.ladsp.com 27
1580781822.504522109 1 ad.as.amanad.adtdp.com ad.as.amanad.adtdp.com 59
1580781822.504522109 2 ad.as.amanad.adtdp.com ad.as.amanad.adtdp.com 59
1580781822.504522109 3 ad.as.amanad.adtdp.com ad.as.amanad.adtdp.com 59
1580781822.504522109 4 ad.as.amanad.adtdp.com ad.as.amanad.adtdp.com 59
1580781822.517966923 1 d.socdm.com tg.dr.socdm.com 135
1580781822.517966923 2 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 3 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 4 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 5 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 6 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 7 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 8 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 9 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 10 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 11 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 12 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 13 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 14 tg.dr.socdm.com tg.dr.socdm.com 59
1580781822.517966923 15 tg.dr.socdm.com d.socdm.com 59
1580781822.543538292 1 prebid-asia.creativecdn.com prebid-asia.creativecdn.com 683
1580781822.548363844 1 ad2.apx.appier.net ad2.apx.appier.net 101
1580781822.550089727 1 adserver-as.adtech.advertising.com cs671.wac.thetacdn.net 162
