1580735044.587068112 1 softcatalog.info softcatalog.info 13421
1580735045.278393722 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1580735045.278393722 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1580735045.894787705 1 cdn.softdownloads.ru cdn.softdownloads.ru 21599
1580735046.304013141 1 www.google-analytics.com www-google-analytics.l.google.com 21417
1580735046.304013141 2 www-google-analytics.l.google.com www.google-analytics.com 117
1580735047.155369023 1 stats.g.doubleclick.net stats.l.doubleclick.net 21593
1580735047.155369023 2 stats.l.doubleclick.net stats.l.doubleclick.net 293
1580735047.155369023 3 stats.l.doubleclick.net stats.l.doubleclick.net 293
1580735047.155369023 4 stats.l.doubleclick.net stats.l.doubleclick.net 293
1580735047.155369023 5 stats.l.doubleclick.net stats.g.doubleclick.net 293
1580735047.308097275 1 www.google.com www.google.com 206
1580735047.466639063 1 www.google.es www.google.es 213
1580735050.839594254 1 cdn.jsdelivr.net cdn.jsdelivr.net.cdn.cloudflare.net 53
1580735050.839594254 2 cdn.jsdelivr.net.cdn.cloudflare.net cdn.jsdelivr.net.cdn.cloudflare.net 77
1580735050.839594254 3 cdn.jsdelivr.net.cdn.cloudflare.net cdn.jsdelivr.net.cdn.cloudflare.net 77
1580735050.839594254 4 cdn.jsdelivr.net.cdn.cloudflare.net cdn.jsdelivr.net.cdn.cloudflare.net 77
1580735050.839594254 5 cdn.jsdelivr.net.cdn.cloudflare.net cdn.jsdelivr.net.cdn.cloudflare.net 77
1580735050.839594254 6 cdn.jsdelivr.net.cdn.cloudflare.net cdn.jsdelivr.net 77
1580735051.237342120 1 mc.yandex.ru mc.yandex.ru 233
1580735051.237342120 2 mc.yandex.ru mc.yandex.ru 233
1580735051.237342120 3 mc.yandex.ru mc.yandex.ru 233
1580735051.237342120 4 mc.yandex.ru mc.yandex.ru 233
1580735051.306164756 1 mc.webvisor.org mc.webvisor.org 77
1580735051.306164756 2 mc.webvisor.org mc.webvisor.org 77
1580735059.280441125 1 detectportal.firefox.com detectportal.prod.mozaws.net 30
1580735059.280441125 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 8
1580735059.280441125 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9543
1580735059.280441125 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 2
1580735059.280441125 5 a1089.dscd.akamai.net detectportal.firefox.com 2
1580735059.280481638 1 detectportal.firefox.com detectportal.prod.mozaws.net 30
1580735059.280481638 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 8
1580735059.280481638 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9543
1580735059.280481638 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 2
1580735059.280481638 5 a1089.dscd.akamai.net detectportal.firefox.com 2
1580735059.415181820 1 location.services.mozilla.com prod.mozaws.net 50
1580735059.415181820 2 prod.mozaws.net location.services.mozilla.com 172
1580735059.433433185 1 mozilla.org mozilla.org 36
1580735059.433612179 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 5
1580735059.433612179 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 4
1580735059.433612179 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 4
1580735059.433612179 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 4
1580735059.472385922 1 mozilla.org mozilla.org 12
1580735059.495490261 1 mozilla.org mozilla.org 1790
1580735059.511140452 1 detectportal.firefox.com detectportal.prod.mozaws.net 27
1580735059.511140452 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1580735059.511140452 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8610
1580735059.511140452 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580735059.511140452 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580735059.511170146 1 detectportal.firefox.com detectportal.prod.mozaws.net 27
1580735059.511170146 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1580735059.511170146 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8610
1580735059.511170146 4 a1089.dscd.akamai.net a1089.dscd.a
