1579666539.042126482 1 sonxeber.az sonxeber.az 236
1579666539.742206912 1 maxcdn.bootstrapcdn.com cds.j3z9t3p6.hwcdn.net 130
1579666539.742206912 2 cds.j3z9t3p6.hwcdn.net maxcdn.bootstrapcdn.com 130
1579666539.763354963 1 ajax.googleapis.com ajax.googleapis.com 299
1579666539.769502193 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 160
1579666539.769502193 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 160
1579666540.082763570 1 betnetmed.advertserve.com betnetmed.advertserve.com 232
1579666540.147971961 1 ads2.newmedia.az ads2.newmedia.az 299
1579666540.147971961 2 ads2.newmedia.az ads2.newmedia.az 299
1579666540.307900628 1 counter.yadro.ru counter.yadro.ru 310
1579666540.307900628 2 counter.yadro.ru counter.yadro.ru 310
1579666540.307900628 3 counter.yadro.ru counter.yadro.ru 310
1579666540.307900628 4 counter.yadro.ru counter.yadro.ru 310
1579666540.407986293 1 content.adriver.ru content.adriver.ru 4
1579666540.407986293 2 content.adriver.ru content.adriver.ru 4
1579666540.407986293 3 content.adriver.ru content.adriver.ru 4
1579666540.407986293 4 content.adriver.ru content.adriver.ru 4
1579666540.407986293 5 content.adriver.ru content.adriver.ru 4
1579666540.407986293 6 content.adriver.ru content.adriver.ru 4
1579666540.407986293 7 content.adriver.ru content.adriver.ru 4
1579666540.407986293 8 content.adriver.ru content.adriver.ru 4
1579666540.407986293 9 content.adriver.ru content.adriver.ru 4
1579666540.428251518 1 cdn.advertserve.com cds.y3x4g6p6.hwcdn.net 179
1579666540.428251518 2 cds.y3x4g6p6.hwcdn.net cds.y3x4g6p6.hwcdn.net 285
1579666540.428251518 3 cds.y3x4g6p6.hwcdn.net cdn.advertserve.com 285
1579666540.650590596 1 ad.adriver.ru ad.adriver.ru 23
1579666540.650590596 2 ad.adriver.ru ad.adriver.ru 23
1579666540.650590596 3 ad.adriver.ru ad.adriver.ru 23
1579666540.650590596 4 ad.adriver.ru ad.adriver.ru 23
1579666540.650590596 5 ad.adriver.ru ad.adriver.ru 23
1579666540.913414814 1 mc.yandex.ru mc.yandex.ru 287
1579666540.913414814 2 mc.yandex.ru mc.yandex.ru 287
1579666540.913414814 3 mc.yandex.ru mc.yandex.ru 287
1579666540.913414814 4 mc.yandex.ru mc.yandex.ru 287
1579666540.913446328 1 connect.facebook.net scontent.xx.fbcdn.net 2913
1579666540.913446328 2 scontent.xx.fbcdn.net connect.facebook.net 14
1579666540.932423274 1 www.google-analytics.com www-google-analytics.l.google.com 21476
1579666540.932423274 2 www-google-analytics.l.google.com www.google-analytics.com 250
1579666541.046194434 1 servers4.adriver.ru servers4.adriver.ru 1645
1579666541.128827020 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579666541.128827020 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579666541.128827020 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579666541.128827020 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579666541.128827020 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579666541.540228227 1 staticxx.facebook.com scontent.xx.fbcdn.net 3224
1579666541.540228227 2 scontent.xx.fbcdn.net staticxx.facebook.com 59
