1579710355.158919362 1 www.gstatic.com www.gstatic.com 279
1579710355.306095264 1 streamelements.com streamelements.com 19
1579710355.310358780 1 accounts.google.com accounts.google.com 299
1579710359.365478751 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 181
1579710359.365478751 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 181
1579710359.382235393 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579710359.382235393 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579710359.546430925 1 cdn.streamelements.com cdn.streamelements.com 61
1579710359.546430925 2 cdn.streamelements.com cdn.streamelements.com 61
1579710359.550567374 1 connect.facebook.net scontent.xx.fbcdn.net 2967
1579710359.550567374 2 scontent.xx.fbcdn.net connect.facebook.net 51
1579710359.553686785 1 static.hotjar.com static.hotjar.com.c.section.io 2810
1579710359.553686785 2 static.hotjar.com.c.section.io map16-100.s.section.io 286
1579710359.553686785 3 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 4 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 5 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 6 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 7 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 8 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 9 map16-100.s.section.io map16-100.s.section.io 110
1579710359.553686785 10 map16-100.s.section.io static.hotjar.com 110
1579710359.557508637 1 www.google-analytics.com www-google-analytics.l.google.com 21334
1579710359.557508637 2 www-google-analytics.l.google.com www.google-analytics.com 34
1579710359.711230877 1 script.hotjar.com script.hotjar.com.c.section.io 3396
1579710359.711230877 2 script.hotjar.com.c.section.io map16-100.s.section.io 212
1579710359.711230877 3 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 4 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 5 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 6 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 7 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 8 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 9 map16-100.s.section.io map16-100.s.section.io 119
1579710359.711230877 10 map16-100.s.section.io script.hotjar.com 119
1579710359.727752271 1 stats.g.doubleclick.net stats.l.doubleclick.net 21418
1579710359.727752271 2 stats.l.doubleclick.net stats.l.doubleclick.net 118
1579710359.727752271 3 stats.l.doubleclick.net stats.l.doubleclick.net 118
1579710359.727752271 4 stats.l.doubleclick.net stats.l.doubleclick.net 118
1579710359.727752271 5 stats.l.doubleclick.net stats.g.doubleclick.net 118
1579710360.399289780 1 fonts.googleapis.com fonts.googleapis.com 48
1579710360.404449987 1 use.typekit.net use.typekit.net-v3.edgekey.net 7
1579710360.404449987 2 use.typekit.net-v3.edgekey.net e6653.f.akamaiedge.net 14207
1579710360.404449987 3 e6653.f.akamaiedge.net use.typekit.net 19
1579710360.459432463 1 assets.zendesk.com cf.zdassets.com 2601
